spec.jvm2008.report.run.location=HULL37
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:49 BST 2016, end=Thu May 26 14:21:49 BST 2016, operations=1.0, operationsPerMinute=566.0377358490566
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:49 BST 2016, end=Thu May 26 14:21:50 BST 2016, operations=1.0, operationsPerMinute=118.34319526627219
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:50 BST 2016, end=Thu May 26 14:22:11 BST 2016, operations=1.0, operationsPerMinute=2.818092151613358
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:11 BST 2016, end=Thu May 26 14:22:16 BST 2016, operations=1.0, operationsPerMinute=11.985617259288853
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:16 BST 2016, end=Thu May 26 14:22:18 BST 2016, operations=1.0, operationsPerMinute=38.684719535783366
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:18 BST 2016, end=Thu May 26 14:22:27 BST 2016, operations=1.0, operationsPerMinute=6.317119393556538
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:27 BST 2016, end=Thu May 26 14:22:35 BST 2016, operations=1.0, operationsPerMinute=7.703171138785467
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:35 BST 2016, end=Thu May 26 14:22:42 BST 2016, operations=1.0, operationsPerMinute=8.894159501927067
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:42 BST 2016, end=Thu May 26 14:22:45 BST 2016, operations=1.0, operationsPerMinute=19.880715705765407
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:45 BST 2016, end=Thu May 26 14:22:46 BST 2016, operations=1.0, operationsPerMinute=64.58557588805166
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:46 BST 2016, end=Thu May 26 14:22:47 BST 2016, operations=1.0, operationsPerMinute=48.97959183673469
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:47 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=1.0, operationsPerMinute=8.939213349225268
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:54 BST 2016, end=Thu May 26 14:22:55 BST 2016, operations=1.0, operationsPerMinute=35.39823008849557
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:55 BST 2016, end=Thu May 26 14:22:57 BST 2016, operations=1.0, operationsPerMinute=47.65687053216839
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:57 BST 2016, end=Thu May 26 14:23:00 BST 2016, operations=1.0, operationsPerMinute=20.19522046449007
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:23:00 BST 2016, end=Thu May 26 14:23:07 BST 2016, operations=1.0, operationsPerMinute=8.173273395995096
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:07 BST 2016, end=Thu May 26 14:23:34 BST 2016, operations=1.0, operationsPerMinute=2.175252873146503
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:35 BST 2016, end=Thu May 26 14:23:36 BST 2016, operations=1.0, operationsPerMinute=40.21447721179624
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:51 BST 2016, end=Thu May 26 14:25:51 BST 2016, operations=374.92037392636547, operationsPerMinute=187.46018696318274, mode=normal, start=Thu May 26 14:25:53 BST 2016, end=Thu May 26 14:29:53 BST 2016, operations=802.5363207809272, operationsPerMinute=200.6340801952318
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:58 BST 2016, end=Thu May 26 14:31:58 BST 2016, operations=159.51075166868986, operationsPerMinute=79.75537583434493, mode=normal, start=Thu May 26 14:32:02 BST 2016, end=Thu May 26 14:36:02 BST 2016, operations=319.7234926760127, operationsPerMinute=79.93087316900318
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:07 BST 2016, end=Thu May 26 14:38:07 BST 2016, operations=319.91144222948856, operationsPerMinute=159.95572111474428, mode=normal, start=Thu May 26 14:38:09 BST 2016, end=Thu May 26 14:42:09 BST 2016, operations=641.6688056820703, operationsPerMinute=160.41720142051759
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:12 BST 2016, end=Thu May 26 14:44:12 BST 2016, operations=112.98462148216797, operationsPerMinute=56.49231074108398, mode=normal, start=Thu May 26 14:44:19 BST 2016, end=Thu May 26 14:48:19 BST 2016, operations=221.762642904872, operationsPerMinute=55.440660726218
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:24 BST 2016, end=Thu May 26 14:50:24 BST 2016, operations=199.64209949020724, operationsPerMinute=99.82104974510362, mode=normal, start=Thu May 26 14:50:27 BST 2016, end=Thu May 26 14:54:27 BST 2016, operations=395.58465391306675, operationsPerMinute=98.89616347826669
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:31 BST 2016, end=Thu May 26 14:56:31 BST 2016, operations=331.6504582809035, operationsPerMinute=165.82522914045174, mode=normal, start=Thu May 26 14:56:33 BST 2016, end=Thu May 26 15:00:33 BST 2016, operations=670.3450872559015, operationsPerMinute=167.58627181397537
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:56 BST 2016, end=Thu May 26 15:03:56 BST 2016, operations=229.68262856111912, operationsPerMinute=114.84131428055956, mode=normal, start=Thu May 26 15:03:59 BST 2016, end=Thu May 26 15:07:59 BST 2016, operations=441.88220783459064, operationsPerMinute=110.47055195864766
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:08:03 BST 2016, end=Thu May 26 15:10:03 BST 2016, operations=167.57789464164318, operationsPerMinute=83.78894732082159, mode=normal, start=Thu May 26 15:10:06 BST 2016, end=Thu May 26 15:14:06 BST 2016, operations=332.32029224595453, operationsPerMinute=83.08007306148863
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:10 BST 2016, end=Thu May 26 15:16:10 BST 2016, operations=58.44680240461231, operationsPerMinute=29.223401202306157, mode=normal, start=Thu May 26 15:16:21 BST 2016, end=Thu May 26 15:20:21 BST 2016, operations=127.34482977710695, operationsPerMinute=31.836207444276738
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:32 BST 2016, end=Thu May 26 15:22:32 BST 2016, operations=11.885665572733988, operationsPerMinute=5.942832786366994, mode=normal, start=Thu May 26 15:23:33 BST 2016, end=Thu May 26 15:27:33 BST 2016, operations=23.941909084641583, operationsPerMinute=5.985477271160396
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:13 BST 2016, end=Thu May 26 15:30:13 BST 2016, operations=62.30089680661673, operationsPerMinute=31.150448403308364, mode=normal, start=Thu May 26 15:30:24 BST 2016, end=Thu May 26 15:34:24 BST 2016, operations=123.93888583547361, operationsPerMinute=30.984721458868403
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:34:36 BST 2016, end=Thu May 26 15:36:36 BST 2016, operations=38.549682912933406, operationsPerMinute=19.274841456466703, mode=normal, start=Thu May 26 15:36:50 BST 2016, end=Thu May 26 15:40:50 BST 2016, operations=75.89978992565638, operationsPerMinute=18.974947481414095
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:41:06 BST 2016, end=Thu May 26 15:43:06 BST 2016, operations=499.1366759107523, operationsPerMinute=249.56833795537614, mode=normal, start=Thu May 26 15:43:08 BST 2016, end=Thu May 26 15:47:08 BST 2016, operations=1102.377251020897, operationsPerMinute=275.5943127552242
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:47:09 BST 2016, end=Thu May 26 15:49:09 BST 2016, operations=384.77102576155477, operationsPerMinute=192.38551288077738, mode=normal, start=Thu May 26 15:49:11 BST 2016, end=Thu May 26 15:53:11 BST 2016, operations=844.3162651985924, operationsPerMinute=211.0790662996481
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:53:13 BST 2016, end=Thu May 26 15:55:13 BST 2016, operations=279.1414805230935, operationsPerMinute=139.57074026154675, mode=normal, start=Thu May 26 15:55:17 BST 2016, end=Thu May 26 15:59:17 BST 2016, operations=556.063026843356, operationsPerMinute=139.015756710839
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:59:19 BST 2016, end=Thu May 26 16:01:19 BST 2016, operations=371.0554881041824, operationsPerMinute=185.5277440520912, mode=normal, start=Thu May 26 16:01:21 BST 2016, end=Thu May 26 16:05:21 BST 2016, operations=754.4195491126525, operationsPerMinute=188.60488727816312
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:05:23 BST 2016, end=Thu May 26 16:07:23 BST 2016, operations=92.28290262350995, operationsPerMinute=46.14145131175498, mode=normal, start=Thu May 26 16:07:29 BST 2016, end=Thu May 26 16:11:29 BST 2016, operations=188.579946812286, operationsPerMinute=47.1449867030715
benchmark-name=serial, mod=warmup, start=Thu May 26 16:11:38 BST 2016, end=Thu May 26 16:13:38 BST 2016, operations=176.59824437932585, operationsPerMinute=88.29912218966292, mode=normal, start=Thu May 26 16:13:43 BST 2016, end=Thu May 26 16:17:43 BST 2016, operations=326.44783513109365, operationsPerMinute=81.61195878277341
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:17:47 BST 2016, end=Thu May 26 16:19:47 BST 2016, operations=133.3965068654273, operationsPerMinute=66.69825343271366, mode=normal, start=Thu May 26 16:19:49 BST 2016, end=Thu May 26 16:23:49 BST 2016, operations=216.38915148996225, operationsPerMinute=54.09728787249056
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:24:32 BST 2016, end=Thu May 26 16:26:32 BST 2016, operations=363.7991416070812, operationsPerMinute=181.8995708035406, mode=normal, start=Thu May 26 16:26:34 BST 2016, end=Thu May 26 16:30:34 BST 2016, operations=727.9737790684686, operationsPerMinute=181.99344476711715
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:30:37 BST 2016, end=Thu May 26 16:32:37 BST 2016, operations=547.6474023543662, operationsPerMinute=273.8237011771831, mode=normal, start=Thu May 26 16:32:38 BST 2016, end=Thu May 26 16:36:38 BST 2016, operations=1108.2888806049882, operationsPerMinute=277.07222015124705
##-nursultan-##,HULL37,n/a,n/a,n/a,check,Thu May 26 14:21:49 BST 2016,Thu May 26 14:21:49 BST 2016,1.0,566.0377358490566,startup.helloworld,Thu May 26 14:21:49 BST 2016,Thu May 26 14:21:50 BST 2016,1.0,118.34319526627219,startup.compiler.compiler,Thu May 26 14:21:50 BST 2016,Thu May 26 14:22:11 BST 2016,1.0,2.818092151613358,startup.compiler.sunflow,Thu May 26 14:22:11 BST 2016,Thu May 26 14:22:16 BST 2016,1.0,11.985617259288853,startup.compress,Thu May 26 14:22:16 BST 2016,Thu May 26 14:22:18 BST 2016,1.0,38.684719535783366,startup.crypto.aes,Thu May 26 14:22:18 BST 2016,Thu May 26 14:22:27 BST 2016,1.0,6.317119393556538,startup.crypto.rsa,Thu May 26 14:22:27 BST 2016,Thu May 26 14:22:35 BST 2016,1.0,7.703171138785467,startup.crypto.signverify,Thu May 26 14:22:35 BST 2016,Thu May 26 14:22:42 BST 2016,1.0,8.894159501927067,startup.mpegaudio,Thu May 26 14:22:42 BST 2016,Thu May 26 14:22:45 BST 2016,1.0,19.880715705765407,startup.scimark.fft,Thu May 26 14:22:45 BST 2016,Thu May 26 14:22:46 BST 2016,1.0,64.58557588805166,startup.scimark.lu,Thu May 26 14:22:46 BST 2016,Thu May 26 14:22:47 BST 2016,1.0,48.97959183673469,startup.scimark.monte_carlo,Thu May 26 14:22:47 BST 2016,Thu May 26 14:22:54 BST 2016,1.0,8.939213349225268,startup.scimark.sor,Thu May 26 14:22:54 BST 2016,Thu May 26 14:22:55 BST 2016,1.0,35.39823008849557,startup.scimark.sparse,Thu May 26 14:22:55 BST 2016,Thu May 26 14:22:57 BST 2016,1.0,47.65687053216839,startup.serial,Thu May 26 14:22:57 BST 2016,Thu May 26 14:23:00 BST 2016,1.0,20.19522046449007,startup.sunflow,Thu May 26 14:23:00 BST 2016,Thu May 26 14:23:07 BST 2016,1.0,8.173273395995096,startup.xml.transform,Thu May 26 14:23:07 BST 2016,Thu May 26 14:23:34 BST 2016,1.0,2.175252873146503,startup.xml.validation,Thu May 26 14:23:35 BST 2016,Thu May 26 14:23:36 BST 2016,1.0,40.21447721179624,compiler.compiler,Thu May 26 14:23:51 BST 2016,Thu May 26 14:25:51 BST 2016,374.92037392636547,187.46018696318274,Thu May 26 14:25:53 BST 2016,Thu May 26 14:29:53 BST 2016,802.5363207809272,200.6340801952318,compiler.sunflow,Thu May 26 14:29:58 BST 2016,Thu May 26 14:31:58 BST 2016,159.51075166868986,79.75537583434493,Thu May 26 14:32:02 BST 2016,Thu May 26 14:36:02 BST 2016,319.7234926760127,79.93087316900318,compress,Thu May 26 14:36:07 BST 2016,Thu May 26 14:38:07 BST 2016,319.91144222948856,159.95572111474428,Thu May 26 14:38:09 BST 2016,Thu May 26 14:42:09 BST 2016,641.6688056820703,160.41720142051759,crypto.aes,Thu May 26 14:42:12 BST 2016,Thu May 26 14:44:12 BST 2016,112.98462148216797,56.49231074108398,Thu May 26 14:44:19 BST 2016,Thu May 26 14:48:19 BST 2016,221.762642904872,55.440660726218,crypto.rsa,Thu May 26 14:48:24 BST 2016,Thu May 26 14:50:24 BST 2016,199.64209949020724,99.82104974510362,Thu May 26 14:50:27 BST 2016,Thu May 26 14:54:27 BST 2016,395.58465391306675,98.89616347826669,crypto.signverify,Thu May 26 14:54:31 BST 2016,Thu May 26 14:56:31 BST 2016,331.6504582809035,165.82522914045174,Thu May 26 14:56:33 BST 2016,Thu May 26 15:00:33 BST 2016,670.3450872559015,167.58627181397537,derby,Thu May 26 15:01:56 BST 2016,Thu May 26 15:03:56 BST 2016,229.68262856111912,114.84131428055956,Thu May 26 15:03:59 BST 2016,Thu May 26 15:07:59 BST 2016,441.88220783459064,110.47055195864766,mpegaudio,Thu May 26 15:08:03 BST 2016,Thu May 26 15:10:03 BST 2016,167.57789464164318,83.78894732082159,Thu May 26 15:10:06 BST 2016,Thu May 26 15:14:06 BST 2016,332.32029224595453,83.08007306148863,scimark.fft.large,Thu May 26 15:14:10 BST 2016,Thu May 26 15:16:10 BST 2016,58.44680240461231,29.223401202306157,Thu May 26 15:16:21 BST 2016,Thu May 26 15:20:21 BST 2016,127.34482977710695,31.836207444276738,scimark.lu.large,Thu May 26 15:20:32 BST 2016,Thu May 26 15:22:32 BST 2016,11.885665572733988,5.942832786366994,Thu May 26 15:23:33 BST 2016,Thu May 26 15:27:33 BST 2016,23.941909084641583,5.985477271160396,scimark.sor.large,Thu May 26 15:28:13 BST 2016,Thu May 26 15:30:13 BST 2016,62.30089680661673,31.150448403308364,Thu May 26 15:30:24 BST 2016,Thu May 26 15:34:24 BST 2016,123.93888583547361,30.984721458868403,scimark.sparse.large,Thu May 26 15:34:36 BST 2016,Thu May 26 15:36:36 BST 2016,38.549682912933406,19.274841456466703,Thu May 26 15:36:50 BST 2016,Thu May 26 15:40:50 BST 2016,75.89978992565638,18.974947481414095,scimark.fft.small,Thu May 26 15:41:06 BST 2016,Thu May 26 15:43:06 BST 2016,499.1366759107523,249.56833795537614,Thu May 26 15:43:08 BST 2016,Thu May 26 15:47:08 BST 2016,1102.377251020897,275.5943127552242,scimark.lu.small,Thu May 26 15:47:09 BST 2016,Thu May 26 15:49:09 BST 2016,384.77102576155477,192.38551288077738,Thu May 26 15:49:11 BST 2016,Thu May 26 15:53:11 BST 2016,844.3162651985924,211.0790662996481,scimark.sor.small,Thu May 26 15:53:13 BST 2016,Thu May 26 15:55:13 BST 2016,279.1414805230935,139.57074026154675,Thu May 26 15:55:17 BST 2016,Thu May 26 15:59:17 BST 2016,556.063026843356,139.015756710839,scimark.sparse.small,Thu May 26 15:59:19 BST 2016,Thu May 26 16:01:19 BST 2016,371.0554881041824,185.5277440520912,Thu May 26 16:01:21 BST 2016,Thu May 26 16:05:21 BST 2016,754.4195491126525,188.60488727816312,scimark.monte_carlo,Thu May 26 16:05:23 BST 2016,Thu May 26 16:07:23 BST 2016,92.28290262350995,46.14145131175498,Thu May 26 16:07:29 BST 2016,Thu May 26 16:11:29 BST 2016,188.579946812286,47.1449867030715,serial,Thu May 26 16:11:38 BST 2016,Thu May 26 16:13:38 BST 2016,176.59824437932585,88.29912218966292,Thu May 26 16:13:43 BST 2016,Thu May 26 16:17:43 BST 2016,326.44783513109365,81.61195878277341,sunflow,Thu May 26 16:17:47 BST 2016,Thu May 26 16:19:47 BST 2016,133.3965068654273,66.69825343271366,Thu May 26 16:19:49 BST 2016,Thu May 26 16:23:49 BST 2016,216.38915148996225,54.09728787249056,xml.transform,Thu May 26 16:24:32 BST 2016,Thu May 26 16:26:32 BST 2016,363.7991416070812,181.8995708035406,Thu May 26 16:26:34 BST 2016,Thu May 26 16:30:34 BST 2016,727.9737790684686,181.99344476711715,xml.validation,Thu May 26 16:30:37 BST 2016,Thu May 26 16:32:37 BST 2016,547.6474023543662,273.8237011771831,Thu May 26 16:32:38 BST 2016,Thu May 26 16:36:38 BST 2016,1108.2888806049882,277.07222015124705
