spec.jvm2008.report.run.location=KRC029
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:01 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:01 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:22 BST 2016, operations=1.0, operationsPerMinute=2.871637790753326
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:03:22 BST 2016, end=Fri Jun 03 15:03:26 BST 2016, operations=1.0, operationsPerMinute=16.3265306122449
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:03:26 BST 2016, end=Fri Jun 03 15:03:27 BST 2016, operations=1.0, operationsPerMinute=44.54342984409799
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:03:27 BST 2016, end=Fri Jun 03 15:03:36 BST 2016, operations=1.0, operationsPerMinute=6.87915615684476
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:36 BST 2016, end=Fri Jun 03 15:03:44 BST 2016, operations=1.0, operationsPerMinute=7.866789038940606
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:44 BST 2016, end=Fri Jun 03 15:03:50 BST 2016, operations=1.0, operationsPerMinute=8.863938543359433
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:50 BST 2016, end=Fri Jun 03 15:03:53 BST 2016, operations=1.0, operationsPerMinute=23.65930599369085
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:53 BST 2016, end=Fri Jun 03 15:03:54 BST 2016, operations=1.0, operationsPerMinute=70.4225352112676
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:54 BST 2016, end=Fri Jun 03 15:03:55 BST 2016, operations=1.0, operationsPerMinute=57.47126436781609
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:55 BST 2016, end=Fri Jun 03 15:04:01 BST 2016, operations=1.0, operationsPerMinute=9.612303748798462
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:04:01 BST 2016, end=Fri Jun 03 15:04:03 BST 2016, operations=1.0, operationsPerMinute=38.16793893129771
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:04:03 BST 2016, end=Fri Jun 03 15:04:04 BST 2016, operations=1.0, operationsPerMinute=54.89478499542543
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:04:04 BST 2016, end=Fri Jun 03 15:04:06 BST 2016, operations=1.0, operationsPerMinute=25.817555938037867
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:04:06 BST 2016, end=Fri Jun 03 15:04:13 BST 2016, operations=1.0, operationsPerMinute=9.142160597287825
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:04:13 BST 2016, end=Fri Jun 03 15:04:35 BST 2016, operations=1.0, operationsPerMinute=2.725166916473634
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:04:35 BST 2016, end=Fri Jun 03 15:04:36 BST 2016, operations=1.0, operationsPerMinute=66.96428571428571
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:48 BST 2016, end=Fri Jun 03 15:06:48 BST 2016, operations=380.3539685947593, operationsPerMinute=190.17698429737965, mode=normal, start=Fri Jun 03 15:06:50 BST 2016, end=Fri Jun 03 15:10:50 BST 2016, operations=818.2284616198709, operationsPerMinute=204.55711540496773
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:54 BST 2016, end=Fri Jun 03 15:12:54 BST 2016, operations=162.85538263132747, operationsPerMinute=81.42769131566374, mode=normal, start=Fri Jun 03 15:12:59 BST 2016, end=Fri Jun 03 15:16:59 BST 2016, operations=323.7233172763985, operationsPerMinute=80.93082931909963
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:17:02 BST 2016, end=Fri Jun 03 15:19:02 BST 2016, operations=309.73475981240176, operationsPerMinute=154.86737990620088, mode=normal, start=Fri Jun 03 15:19:05 BST 2016, end=Fri Jun 03 15:23:05 BST 2016, operations=657.4964576723312, operationsPerMinute=164.3741144180828
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:23:08 BST 2016, end=Fri Jun 03 15:25:08 BST 2016, operations=107.73223428870875, operationsPerMinute=53.86611714435438, mode=normal, start=Fri Jun 03 15:25:15 BST 2016, end=Fri Jun 03 15:29:15 BST 2016, operations=223.63573709895527, operationsPerMinute=55.90893427473882
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:29:21 BST 2016, end=Fri Jun 03 15:31:21 BST 2016, operations=187.14720284584155, operationsPerMinute=93.57360142292077, mode=normal, start=Fri Jun 03 15:31:25 BST 2016, end=Fri Jun 03 15:35:25 BST 2016, operations=364.0072363279825, operationsPerMinute=91.00180908199563
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:35:30 BST 2016, end=Fri Jun 03 15:37:30 BST 2016, operations=311.6422918080147, operationsPerMinute=155.82114590400735, mode=normal, start=Fri Jun 03 15:37:32 BST 2016, end=Fri Jun 03 15:41:32 BST 2016, operations=650.9884034459128, operationsPerMinute=162.7471008614782
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:42:47 BST 2016, end=Fri Jun 03 15:44:47 BST 2016, operations=274.61405538859424, operationsPerMinute=137.30702769429712, mode=normal, start=Fri Jun 03 15:44:49 BST 2016, end=Fri Jun 03 15:48:49 BST 2016, operations=558.3878690606709, operationsPerMinute=139.59696726516773
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:48:52 BST 2016, end=Fri Jun 03 15:50:52 BST 2016, operations=173.6841336335838, operationsPerMinute=86.8420668167919, mode=normal, start=Fri Jun 03 15:50:57 BST 2016, end=Fri Jun 03 15:54:57 BST 2016, operations=352.3000529379164, operationsPerMinute=88.0750132344791
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:55:01 BST 2016, end=Fri Jun 03 15:57:01 BST 2016, operations=65.7715839181438, operationsPerMinute=32.8857919590719, mode=normal, start=Fri Jun 03 15:57:13 BST 2016, end=Fri Jun 03 16:01:13 BST 2016, operations=114.94766381928608, operationsPerMinute=28.73691595482152
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:01:26 BST 2016, end=Fri Jun 03 16:03:26 BST 2016, operations=11.48344117043074, operationsPerMinute=5.74172058521537, mode=normal, start=Fri Jun 03 16:04:12 BST 2016, end=Fri Jun 03 16:08:12 BST 2016, operations=22.395578929637303, operationsPerMinute=5.598894732409326
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:09:07 BST 2016, end=Fri Jun 03 16:11:07 BST 2016, operations=60.04644499918341, operationsPerMinute=30.023222499591704, mode=normal, start=Fri Jun 03 16:11:19 BST 2016, end=Fri Jun 03 16:15:19 BST 2016, operations=112.47260964299107, operationsPerMinute=28.11815241074777
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:15:35 BST 2016, end=Fri Jun 03 16:17:35 BST 2016, operations=36.03181874762551, operationsPerMinute=18.015909373812754, mode=normal, start=Fri Jun 03 16:17:55 BST 2016, end=Fri Jun 03 16:21:55 BST 2016, operations=82.68070783716311, operationsPerMinute=20.670176959290778
