spec.jvm2008.report.run.location=UNION32
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Fri Jun 03 15:03:45 BST 2016, end=Fri Jun 03 15:03:45 BST 2016, operations=1.0, operationsPerMinute=1153.8461538461538
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:03:45 BST 2016, end=Fri Jun 03 15:03:45 BST 2016, operations=1.0, operationsPerMinute=491.8032786885246
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:03:45 BST 2016, end=Fri Jun 03 15:04:06 BST 2016, operations=1.0, operationsPerMinute=2.951739066266542
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:06 BST 2016, end=Fri Jun 03 15:04:10 BST 2016, operations=1.0, operationsPerMinute=13.443871835088505
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:10 BST 2016, end=Fri Jun 03 15:04:12 BST 2016, operations=1.0, operationsPerMinute=40.21447721179624
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:12 BST 2016, end=Fri Jun 03 15:04:21 BST 2016, operations=1.0, operationsPerMinute=6.3559322033898304
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:21 BST 2016, end=Fri Jun 03 15:04:29 BST 2016, operations=1.0, operationsPerMinute=7.35023888276369
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:04:29 BST 2016, end=Fri Jun 03 15:04:36 BST 2016, operations=1.0, operationsPerMinute=8.804108584005869
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:04:36 BST 2016, end=Fri Jun 03 15:04:39 BST 2016, operations=1.0, operationsPerMinute=20.554984583761563
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:04:39 BST 2016, end=Fri Jun 03 15:04:40 BST 2016, operations=1.0, operationsPerMinute=69.60556844547564
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:04:40 BST 2016, end=Fri Jun 03 15:04:41 BST 2016, operations=1.0, operationsPerMinute=52.40174672489083
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:04:41 BST 2016, end=Fri Jun 03 15:04:47 BST 2016, operations=1.0, operationsPerMinute=9.237875288683602
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:04:47 BST 2016, end=Fri Jun 03 15:04:49 BST 2016, operations=1.0, operationsPerMinute=37.75959723096287
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:04:49 BST 2016, end=Fri Jun 03 15:04:50 BST 2016, operations=1.0, operationsPerMinute=46.26060138781804
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:04:50 BST 2016, end=Fri Jun 03 15:04:53 BST 2016, operations=1.0, operationsPerMinute=21.51308712800287
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:04:53 BST 2016, end=Fri Jun 03 15:05:00 BST 2016, operations=1.0, operationsPerMinute=9.205277692543724
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:00 BST 2016, end=Fri Jun 03 15:05:25 BST 2016, operations=1.0, operationsPerMinute=2.3717289904340264
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:25 BST 2016, end=Fri Jun 03 15:05:26 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:05:41 BST 2016, end=Fri Jun 03 15:07:41 BST 2016, operations=432.109993854784, operationsPerMinute=216.054996927392, mode=normal, start=Fri Jun 03 15:07:45 BST 2016, end=Fri Jun 03 15:11:45 BST 2016, operations=880.2319342627534, operationsPerMinute=220.05798356568835
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:11:51 BST 2016, end=Fri Jun 03 15:13:51 BST 2016, operations=174.49752714458862, operationsPerMinute=87.24876357229431, mode=normal, start=Fri Jun 03 15:13:59 BST 2016, end=Fri Jun 03 15:17:59 BST 2016, operations=349.01156620068014, operationsPerMinute=87.25289155017003
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:06 BST 2016, end=Fri Jun 03 15:20:06 BST 2016, operations=469.89403818507054, operationsPerMinute=234.94701909253527, mode=normal, start=Fri Jun 03 15:20:10 BST 2016, end=Fri Jun 03 15:24:10 BST 2016, operations=945.9289098823925, operationsPerMinute=236.48222747059813
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:13 BST 2016, end=Fri Jun 03 15:26:13 BST 2016, operations=125.39305424569385, operationsPerMinute=62.69652712284692, mode=normal, start=Fri Jun 03 15:26:22 BST 2016, end=Fri Jun 03 15:30:22 BST 2016, operations=265.0700398218281, operationsPerMinute=66.26750995545703
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:30:33 BST 2016, end=Fri Jun 03 15:32:33 BST 2016, operations=225.68614999469207, operationsPerMinute=112.84307499734604, mode=normal, start=Fri Jun 03 15:32:40 BST 2016, end=Fri Jun 03 15:36:40 BST 2016, operations=427.2312552263804, operationsPerMinute=106.8078138065951
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:36:47 BST 2016, end=Fri Jun 03 15:38:47 BST 2016, operations=396.5963737849041, operationsPerMinute=198.29818689245204, mode=normal, start=Fri Jun 03 15:38:50 BST 2016, end=Fri Jun 03 15:42:50 BST 2016, operations=788.2853222832788, operationsPerMinute=197.0713305708197
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:44:34 BST 2016, end=Fri Jun 03 15:46:34 BST 2016, operations=335.1200917018071, operationsPerMinute=167.56004585090355, mode=normal, start=Fri Jun 03 15:46:38 BST 2016, end=Fri Jun 03 15:50:38 BST 2016, operations=675.4114166349127, operationsPerMinute=168.85285415872818
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:50:43 BST 2016, end=Fri Jun 03 15:52:43 BST 2016, operations=190.78688818848173, operationsPerMinute=95.39344409424086, mode=normal, start=Fri Jun 03 15:52:54 BST 2016, end=Fri Jun 03 15:56:54 BST 2016, operations=399.4499810351748, operationsPerMinute=99.8624952587937
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:57:01 BST 2016, end=Fri Jun 03 15:59:01 BST 2016, operations=91.45502046850936, operationsPerMinute=45.72751023425468, mode=normal, start=Fri Jun 03 15:59:17 BST 2016, end=Fri Jun 03 16:03:17 BST 2016, operations=179.85968045548094, operationsPerMinute=44.964920113870235
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:03:30 BST 2016, end=Fri Jun 03 16:05:30 BST 2016, operations=20.577587912373225, operationsPerMinute=10.288793956186613, mode=normal, start=Fri Jun 03 16:06:30 BST 2016, end=Fri Jun 03 16:10:30 BST 2016, operations=41.176270700181995, operationsPerMinute=10.294067675045499
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:11:50 BST 2016, end=Fri Jun 03 16:13:50 BST 2016, operations=119.42201859981482, operationsPerMinute=59.71100929990741, mode=normal, start=Fri Jun 03 16:14:03 BST 2016, end=Fri Jun 03 16:18:03 BST 2016, operations=242.2210961889543, operationsPerMinute=60.555274047238576
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:18:17 BST 2016, end=Fri Jun 03 16:20:17 BST 2016, operations=62.43619636104257, operationsPerMinute=31.218098180521284, mode=normal, start=Fri Jun 03 16:20:33 BST 2016, end=Fri Jun 03 16:24:33 BST 2016, operations=124.91256481532798, operationsPerMinute=31.228141203831996
