spec.jvm2008.report.run.location=BEDSONTC037
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 03:26:38 BST 2016, end=Sun Jun 19 03:26:38 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 03:26:38 BST 2016, end=Sun Jun 19 03:26:38 BST 2016, operations=1.0, operationsPerMinute=319.1489361702128
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 03:26:38 BST 2016, end=Sun Jun 19 03:26:51 BST 2016, operations=1.0, operationsPerMinute=4.4589774078478
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 03:26:51 BST 2016, end=Sun Jun 19 03:26:55 BST 2016, operations=1.0, operationsPerMinute=17.81472684085511
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 03:26:55 BST 2016, end=Sun Jun 19 03:26:56 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 03:26:56 BST 2016, end=Sun Jun 19 03:27:05 BST 2016, operations=1.0, operationsPerMinute=6.895759108148488
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 03:27:05 BST 2016, end=Sun Jun 19 03:27:13 BST 2016, operations=1.0, operationsPerMinute=7.6962544894817855
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 03:27:13 BST 2016, end=Sun Jun 19 03:27:19 BST 2016, operations=1.0, operationsPerMinute=9.013068949977468
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 03:27:19 BST 2016, end=Sun Jun 19 03:27:22 BST 2016, operations=1.0, operationsPerMinute=25.651988029072253
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 03:27:22 BST 2016, end=Sun Jun 19 03:27:22 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 03:27:22 BST 2016, end=Sun Jun 19 03:27:23 BST 2016, operations=1.0, operationsPerMinute=64.1711229946524
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 03:27:23 BST 2016, end=Sun Jun 19 03:27:29 BST 2016, operations=1.0, operationsPerMinute=10.570824524312897
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 03:27:29 BST 2016, end=Sun Jun 19 03:27:30 BST 2016, operations=1.0, operationsPerMinute=40.51316677920324
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 03:27:30 BST 2016, end=Sun Jun 19 03:27:31 BST 2016, operations=1.0, operationsPerMinute=59.230009871668315
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 03:27:31 BST 2016, end=Sun Jun 19 03:27:34 BST 2016, operations=1.0, operationsPerMinute=27.485112230874943
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 03:27:34 BST 2016, end=Sun Jun 19 03:27:40 BST 2016, operations=1.0, operationsPerMinute=9.139375476009139
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 03:27:40 BST 2016, end=Sun Jun 19 03:28:01 BST 2016, operations=1.0, operationsPerMinute=2.8610938915645416
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 03:28:01 BST 2016, end=Sun Jun 19 03:28:02 BST 2016, operations=1.0, operationsPerMinute=72.63922518159806
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 03:28:12 BST 2016, end=Sun Jun 19 03:30:12 BST 2016, operations=482.4512793407589, operationsPerMinute=241.22563967037945, mode=normal, start=Sun Jun 19 03:30:13 BST 2016, end=Sun Jun 19 03:34:13 BST 2016, operations=1004.020401706561, operationsPerMinute=251.00510042664024
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 03:34:17 BST 2016, end=Sun Jun 19 03:36:17 BST 2016, operations=201.69016162549036, operationsPerMinute=100.84508081274518, mode=normal, start=Sun Jun 19 03:36:20 BST 2016, end=Sun Jun 19 03:40:20 BST 2016, operations=392.71897477785143, operationsPerMinute=98.17974369446286
benchmark-name=compress, mod=warmup, start=Sun Jun 19 03:40:24 BST 2016, end=Sun Jun 19 03:42:24 BST 2016, operations=398.1159296562978, operationsPerMinute=199.0579648281489, mode=normal, start=Sun Jun 19 03:42:26 BST 2016, end=Sun Jun 19 03:46:26 BST 2016, operations=797.3163992638447, operationsPerMinute=199.32909981596117
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 03:46:28 BST 2016, end=Sun Jun 19 03:48:28 BST 2016, operations=139.32795920720685, operationsPerMinute=69.66397960360342, mode=normal, start=Sun Jun 19 03:48:32 BST 2016, end=Sun Jun 19 03:52:32 BST 2016, operations=293.79441678928185, operationsPerMinute=73.44860419732046
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 03:52:37 BST 2016, end=Sun Jun 19 03:54:37 BST 2016, operations=236.027028127915, operationsPerMinute=118.0135140639575, mode=normal, start=Sun Jun 19 03:54:41 BST 2016, end=Sun Jun 19 03:58:41 BST 2016, operations=472.3480221312653, operationsPerMinute=118.08700553281632
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 03:58:44 BST 2016, end=Sun Jun 19 04:00:44 BST 2016, operations=406.89196793319377, operationsPerMinute=203.44598396659688, mode=normal, start=Sun Jun 19 04:00:45 BST 2016, end=Sun Jun 19 04:04:45 BST 2016, operations=808.3186065824541, operationsPerMinute=202.07965164561352
benchmark-name=derby, mod=warmup, start=Sun Jun 19 04:05:07 BST 2016, end=Sun Jun 19 04:07:07 BST 2016, operations=367.43113423002103, operationsPerMinute=183.71556711501051, mode=normal, start=Sun Jun 19 04:07:09 BST 2016, end=Sun Jun 19 04:11:09 BST 2016, operations=733.3426699637209, operationsPerMinute=183.33566749093023
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 04:11:11 BST 2016, end=Sun Jun 19 04:13:11 BST 2016, operations=207.43741959255354, operationsPerMinute=103.71870979627677, mode=normal, start=Sun Jun 19 04:13:14 BST 2016, end=Sun Jun 19 04:17:14 BST 2016, operations=415.6968376898044, operationsPerMinute=103.9242094224511
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 04:17:19 BST 2016, end=Sun Jun 19 04:19:19 BST 2016, operations=70.6378913989344, operationsPerMinute=35.3189456994672, mode=normal, start=Sun Jun 19 04:19:26 BST 2016, end=Sun Jun 19 04:23:26 BST 2016, operations=145.26106901125118, operationsPerMinute=36.315267252812795
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 04:23:34 BST 2016, end=Sun Jun 19 04:25:34 BST 2016, operations=13.892951992909477, operationsPerMinute=6.946475996454739, mode=normal, start=Sun Jun 19 04:26:18 BST 2016, end=Sun Jun 19 04:30:18 BST 2016, operations=27.89505734369548, operationsPerMinute=6.97376433592387
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 04:30:52 BST 2016, end=Sun Jun 19 04:32:52 BST 2016, operations=74.42023604542881, operationsPerMinute=37.210118022714404, mode=normal, start=Sun Jun 19 04:33:01 BST 2016, end=Sun Jun 19 04:37:01 BST 2016, operations=149.4845499797903, operationsPerMinute=37.371137494947575
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 04:37:12 BST 2016, end=Sun Jun 19 04:39:12 BST 2016, operations=42.80145770467411, operationsPerMinute=21.400728852337053, mode=normal, start=Sun Jun 19 04:39:24 BST 2016, end=Sun Jun 19 04:43:24 BST 2016, operations=85.42253512002193, operationsPerMinute=21.355633780005483
