spec.jvm2008.report.run.location=HOPE28
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 09:27:45 BST 2016, end=Fri Jun 24 09:27:45 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 09:27:45 BST 2016, end=Fri Jun 24 09:27:45 BST 2016, operations=1.0, operationsPerMinute=91.6030534351145
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 09:27:45 BST 2016, end=Fri Jun 24 09:28:06 BST 2016, operations=1.0, operationsPerMinute=2.8406400909004828
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 09:28:06 BST 2016, end=Fri Jun 24 09:28:11 BST 2016, operations=1.0, operationsPerMinute=12.906001290600129
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 09:28:11 BST 2016, end=Fri Jun 24 09:28:13 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 09:28:13 BST 2016, end=Fri Jun 24 09:28:23 BST 2016, operations=1.0, operationsPerMinute=5.963029218843173
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 09:28:23 BST 2016, end=Fri Jun 24 09:28:31 BST 2016, operations=1.0, operationsPerMinute=6.967831842991522
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 09:28:31 BST 2016, end=Fri Jun 24 09:28:39 BST 2016, operations=1.0, operationsPerMinute=8.218052321599782
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 09:28:39 BST 2016, end=Fri Jun 24 09:28:42 BST 2016, operations=1.0, operationsPerMinute=19.132653061224488
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 09:28:42 BST 2016, end=Fri Jun 24 09:28:43 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 09:28:43 BST 2016, end=Fri Jun 24 09:28:44 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 09:28:44 BST 2016, end=Fri Jun 24 09:28:51 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 09:28:51 BST 2016, end=Fri Jun 24 09:28:52 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 09:28:52 BST 2016, end=Fri Jun 24 09:28:54 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 09:28:54 BST 2016, end=Fri Jun 24 09:28:57 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 09:28:57 BST 2016, end=Fri Jun 24 09:29:04 BST 2016, operations=1.0, operationsPerMinute=8.271298593879239
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 09:29:04 BST 2016, end=Fri Jun 24 09:29:32 BST 2016, operations=1.0, operationsPerMinute=2.1248716223394837
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 09:29:32 BST 2016, end=Fri Jun 24 09:29:34 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 09:29:49 BST 2016, end=Fri Jun 24 09:31:49 BST 2016, operations=351.1384198517789, operationsPerMinute=175.56920992588945, mode=normal, start=Fri Jun 24 09:31:51 BST 2016, end=Fri Jun 24 09:35:51 BST 2016, operations=720.5565729488928, operationsPerMinute=180.1391432372232
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 09:35:57 BST 2016, end=Fri Jun 24 09:37:57 BST 2016, operations=142.334134630282, operationsPerMinute=71.167067315141, mode=normal, start=Fri Jun 24 09:38:02 BST 2016, end=Fri Jun 24 09:42:02 BST 2016, operations=284.9677801861238, operationsPerMinute=71.24194504653094
benchmark-name=compress, mod=warmup, start=Fri Jun 24 09:42:06 BST 2016, end=Fri Jun 24 09:44:06 BST 2016, operations=270.3388208530721, operationsPerMinute=135.16941042653605, mode=normal, start=Fri Jun 24 09:44:09 BST 2016, end=Fri Jun 24 09:48:09 BST 2016, operations=542.1331996415362, operationsPerMinute=135.53329991038405
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 09:48:12 BST 2016, end=Fri Jun 24 09:50:12 BST 2016, operations=85.27587390710167, operationsPerMinute=42.637936953550835, mode=normal, start=Fri Jun 24 09:50:21 BST 2016, end=Fri Jun 24 09:54:21 BST 2016, operations=179.5633187901662, operationsPerMinute=44.89082969754155
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 09:54:30 BST 2016, end=Fri Jun 24 09:56:30 BST 2016, operations=145.09112108502626, operationsPerMinute=72.54556054251313, mode=normal, start=Fri Jun 24 09:56:36 BST 2016, end=Fri Jun 24 10:00:36 BST 2016, operations=290.4698889041029, operationsPerMinute=72.61747222602573
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 10:00:40 BST 2016, end=Fri Jun 24 10:02:40 BST 2016, operations=251.41273900938978, operationsPerMinute=125.70636950469489, mode=normal, start=Fri Jun 24 10:02:43 BST 2016, end=Fri Jun 24 10:06:43 BST 2016, operations=497.42311125359447, operationsPerMinute=124.35577781339862
benchmark-name=derby, mod=warmup, start=Fri Jun 24 10:08:13 BST 2016, end=Fri Jun 24 10:10:13 BST 2016, operations=202.93860718957302, operationsPerMinute=101.46930359478651, mode=normal, start=Fri Jun 24 10:10:15 BST 2016, end=Fri Jun 24 10:14:15 BST 2016, operations=409.36953973182784, operationsPerMinute=102.34238493295696
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 10:14:19 BST 2016, end=Fri Jun 24 10:16:19 BST 2016, operations=133.67426208151932, operationsPerMinute=66.83713104075966, mode=normal, start=Fri Jun 24 10:16:25 BST 2016, end=Fri Jun 24 10:20:25 BST 2016, operations=267.6891030884886, operationsPerMinute=66.92227577212215
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 10:20:30 BST 2016, end=Fri Jun 24 10:22:30 BST 2016, operations=62.08434161994888, operationsPerMinute=31.04217080997444, mode=normal, start=Fri Jun 24 10:22:40 BST 2016, end=Fri Jun 24 10:26:40 BST 2016, operations=120.5072628073948, operationsPerMinute=30.1268157018487
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 10:26:51 BST 2016, end=Fri Jun 24 10:28:51 BST 2016, operations=11.521357707321659, operationsPerMinute=5.7606788536608295, mode=normal, start=Fri Jun 24 10:29:27 BST 2016, end=Fri Jun 24 10:33:27 BST 2016, operations=23.027870289471092, operationsPerMinute=5.756967572367773
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 10:34:08 BST 2016, end=Fri Jun 24 10:36:08 BST 2016, operations=55.060932607873845, operationsPerMinute=27.530466303936922, mode=normal, start=Fri Jun 24 10:36:18 BST 2016, end=Fri Jun 24 10:40:18 BST 2016, operations=110.0979350935162, operationsPerMinute=27.52448377337905
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 10:40:30 BST 2016, end=Fri Jun 24 10:42:30 BST 2016, operations=37.20744884917172, operationsPerMinute=18.60372442458586, mode=normal, start=Fri Jun 24 10:42:48 BST 2016, end=Fri Jun 24 10:46:48 BST 2016, operations=74.47732126664626, operationsPerMinute=18.619330316661564
