spec.jvm2008.report.run.location=OLDLIB084
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 01:01:58 BST 2016, end=Sun Jun 19 01:01:58 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 01:01:58 BST 2016, end=Sun Jun 19 01:01:59 BST 2016, operations=1.0, operationsPerMinute=116.50485436893204
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 01:01:59 BST 2016, end=Sun Jun 19 01:02:23 BST 2016, operations=1.0, operationsPerMinute=2.4533856722276743
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 01:02:23 BST 2016, end=Sun Jun 19 01:02:28 BST 2016, operations=1.0, operationsPerMinute=11.874134177716208
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 01:02:28 BST 2016, end=Sun Jun 19 01:02:30 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 01:02:30 BST 2016, end=Sun Jun 19 01:02:40 BST 2016, operations=1.0, operationsPerMinute=5.8286380415776184
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 01:02:40 BST 2016, end=Sun Jun 19 01:02:49 BST 2016, operations=1.0, operationsPerMinute=7.136909718092066
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 01:02:49 BST 2016, end=Sun Jun 19 01:02:56 BST 2016, operations=1.0, operationsPerMinute=8.290728202293769
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 01:02:56 BST 2016, end=Sun Jun 19 01:02:59 BST 2016, operations=1.0, operationsPerMinute=19.430051813471504
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 01:02:59 BST 2016, end=Sun Jun 19 01:03:00 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 01:03:00 BST 2016, end=Sun Jun 19 01:03:01 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 01:03:01 BST 2016, end=Sun Jun 19 01:03:08 BST 2016, operations=1.0, operationsPerMinute=8.863938543359433
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 01:03:08 BST 2016, end=Sun Jun 19 01:03:10 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 01:03:10 BST 2016, end=Sun Jun 19 01:03:11 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 01:03:11 BST 2016, end=Sun Jun 19 01:03:14 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 01:03:14 BST 2016, end=Sun Jun 19 01:03:22 BST 2016, operations=1.0, operationsPerMinute=7.981907675934548
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 01:03:22 BST 2016, end=Sun Jun 19 01:03:50 BST 2016, operations=1.0, operationsPerMinute=2.1431633090441493
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 01:03:50 BST 2016, end=Sun Jun 19 01:03:51 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 01:04:08 BST 2016, end=Sun Jun 19 01:06:08 BST 2016, operations=353.72850330861985, operationsPerMinute=176.86425165430992, mode=normal, start=Sun Jun 19 01:06:09 BST 2016, end=Sun Jun 19 01:10:09 BST 2016, operations=727.3186310811741, operationsPerMinute=181.82965777029352
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 01:10:15 BST 2016, end=Sun Jun 19 01:12:15 BST 2016, operations=139.3790637727224, operationsPerMinute=69.6895318863612, mode=normal, start=Sun Jun 19 01:12:19 BST 2016, end=Sun Jun 19 01:16:19 BST 2016, operations=276.7442692829323, operationsPerMinute=69.18606732073307
benchmark-name=compress, mod=warmup, start=Sun Jun 19 01:16:25 BST 2016, end=Sun Jun 19 01:18:25 BST 2016, operations=271.41556266481723, operationsPerMinute=135.70778133240862, mode=normal, start=Sun Jun 19 01:18:27 BST 2016, end=Sun Jun 19 01:22:27 BST 2016, operations=542.0970771845862, operationsPerMinute=135.52426929614654
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:22:30 BST 2016, end=Sun Jun 19 01:24:30 BST 2016, operations=76.47483918491186, operationsPerMinute=38.23741959245593, mode=normal, start=Sun Jun 19 01:24:36 BST 2016, end=Sun Jun 19 01:28:36 BST 2016, operations=181.7313327660087, operationsPerMinute=45.432833191502176
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:28:45 BST 2016, end=Sun Jun 19 01:30:45 BST 2016, operations=145.86855870109412, operationsPerMinute=72.93427935054706, mode=normal, start=Sun Jun 19 01:30:49 BST 2016, end=Sun Jun 19 01:34:49 BST 2016, operations=288.78439026008897, operationsPerMinute=72.19609756502224
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:34:54 BST 2016, end=Sun Jun 19 01:36:54 BST 2016, operations=238.04533578173573, operationsPerMinute=119.02266789086787, mode=normal, start=Sun Jun 19 01:36:57 BST 2016, end=Sun Jun 19 01:40:57 BST 2016, operations=480.8877803091435, operationsPerMinute=120.22194507728588
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:42:38 BST 2016, end=Sun Jun 19 01:44:38 BST 2016, operations=198.32502831834816, operationsPerMinute=99.16251415917408, mode=normal, start=Sun Jun 19 01:44:42 BST 2016, end=Sun Jun 19 01:48:42 BST 2016, operations=389.2988423825036, operationsPerMinute=97.3247105956259
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:48:46 BST 2016, end=Sun Jun 19 01:50:46 BST 2016, operations=127.66688644753361, operationsPerMinute=63.83344322376681, mode=normal, start=Sun Jun 19 01:50:51 BST 2016, end=Sun Jun 19 01:54:51 BST 2016, operations=255.48934393485473, operationsPerMinute=63.87233598371368
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:54:57 BST 2016, end=Sun Jun 19 01:56:57 BST 2016, operations=82.9316299299743, operationsPerMinute=41.46581496498715, mode=normal, start=Sun Jun 19 01:57:05 BST 2016, end=Sun Jun 19 02:01:05 BST 2016, operations=162.8805612730925, operationsPerMinute=40.720140318273124
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 02:01:12 BST 2016, end=Sun Jun 19 02:03:12 BST 2016, operations=19.847623117530624, operationsPerMinute=9.923811558765312, mode=normal, start=Sun Jun 19 02:03:49 BST 2016, end=Sun Jun 19 02:07:49 BST 2016, operations=39.655962871105196, operationsPerMinute=9.913990717776299
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 02:08:22 BST 2016, end=Sun Jun 19 02:10:22 BST 2016, operations=52.20365090906624, operationsPerMinute=26.10182545453312, mode=normal, start=Sun Jun 19 02:10:32 BST 2016, end=Sun Jun 19 02:14:32 BST 2016, operations=104.4247035151675, operationsPerMinute=26.106175878791873
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 02:14:44 BST 2016, end=Sun Jun 19 02:16:44 BST 2016, operations=59.655048931336864, operationsPerMinute=29.827524465668432, mode=normal, start=Sun Jun 19 02:16:54 BST 2016, end=Sun Jun 19 02:20:54 BST 2016, operations=118.41969681251959, operationsPerMinute=29.604924203129897
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 02:21:04 BST 2016, end=Sun Jun 19 02:23:04 BST 2016, operations=487.92788988708907, operationsPerMinute=243.96394494354453, mode=normal, start=Sun Jun 19 02:23:05 BST 2016, end=Sun Jun 19 02:27:05 BST 2016, operations=979.9150735619457, operationsPerMinute=244.97876839048644
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:27:06 BST 2016, end=Sun Jun 19 02:29:06 BST 2016, operations=349.0487584985105, operationsPerMinute=174.52437924925525, mode=normal, start=Sun Jun 19 02:29:08 BST 2016, end=Sun Jun 19 02:33:08 BST 2016, operations=680.3164867941016, operationsPerMinute=170.0791216985254
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:33:11 BST 2016, end=Sun Jun 19 02:35:11 BST 2016, operations=226.88698012826615, operationsPerMinute=113.44349006413307, mode=normal, start=Sun Jun 19 02:35:15 BST 2016, end=Sun Jun 19 02:39:15 BST 2016, operations=452.8702080680419, operationsPerMinute=113.21755201701048
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 02:39:18 BST 2016, end=Sun Jun 19 02:41:18 BST 2016, operations=288.31519303356777, operationsPerMinute=144.15759651678388, mode=normal, start=Sun Jun 19 02:41:22 BST 2016, end=Sun Jun 19 02:45:22 BST 2016, operations=570.5954032442527, operationsPerMinute=142.64885081106317
