spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 14:40:17 BST 2016, end=Tue Jul 05 14:40:18 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 14:40:18 BST 2016, end=Tue Jul 05 14:40:18 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 14:40:18 BST 2016, end=Tue Jul 05 14:40:31 BST 2016, operations=1.0, operationsPerMinute=4.487994614406463
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 14:40:31 BST 2016, end=Tue Jul 05 14:40:34 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 14:40:34 BST 2016, end=Tue Jul 05 14:40:36 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 14:40:36 BST 2016, end=Tue Jul 05 14:40:44 BST 2016, operations=1.0, operationsPerMinute=7.005253940455342
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 14:40:44 BST 2016, end=Tue Jul 05 14:40:52 BST 2016, operations=1.0, operationsPerMinute=7.424823660438064
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 14:40:52 BST 2016, end=Tue Jul 05 14:41:00 BST 2016, operations=1.0, operationsPerMinute=8.379888268156424
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 14:41:00 BST 2016, end=Tue Jul 05 14:41:02 BST 2016, operations=1.0, operationsPerMinute=24.81389578163772
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 14:41:02 BST 2016, end=Tue Jul 05 14:41:03 BST 2016, operations=1.0, operationsPerMinute=78.53403141361257
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 14:41:03 BST 2016, end=Tue Jul 05 14:41:04 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 14:41:04 BST 2016, end=Tue Jul 05 14:41:09 BST 2016, operations=1.0, operationsPerMinute=10.423905489923557
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 14:41:09 BST 2016, end=Tue Jul 05 14:41:11 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 14:41:11 BST 2016, end=Tue Jul 05 14:41:12 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 14:41:12 BST 2016, end=Tue Jul 05 14:41:14 BST 2016, operations=1.0, operationsPerMinute=27.285129604365622
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 14:41:14 BST 2016, end=Tue Jul 05 14:41:21 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 14:41:21 BST 2016, end=Tue Jul 05 14:41:42 BST 2016, operations=1.0, operationsPerMinute=2.8875306800134752
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 14:41:42 BST 2016, end=Tue Jul 05 14:41:42 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 14:41:53 BST 2016, end=Tue Jul 05 14:43:53 BST 2016, operations=435.18430853812544, operationsPerMinute=217.59215426906272, mode=normal, start=Tue Jul 05 14:43:55 BST 2016, end=Tue Jul 05 14:47:55 BST 2016, operations=894.0384727797957, operationsPerMinute=223.50961819494893
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 14:47:59 BST 2016, end=Tue Jul 05 14:49:59 BST 2016, operations=177.0296856123806, operationsPerMinute=88.5148428061903, mode=normal, start=Tue Jul 05 14:50:03 BST 2016, end=Tue Jul 05 14:54:03 BST 2016, operations=353.55699310225475, operationsPerMinute=88.38924827556369
benchmark-name=compress, mod=warmup, start=Tue Jul 05 14:54:07 BST 2016, end=Tue Jul 05 14:56:07 BST 2016, operations=299.80357465134153, operationsPerMinute=149.90178732567077, mode=normal, start=Tue Jul 05 14:56:13 BST 2016, end=Tue Jul 05 15:00:13 BST 2016, operations=467.1251913589757, operationsPerMinute=116.78129783974393
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 15:00:15 BST 2016, end=Tue Jul 05 15:02:15 BST 2016, operations=41.123337957988156, operationsPerMinute=20.561668978994078, mode=normal, start=Tue Jul 05 15:03:20 BST 2016, end=Tue Jul 05 15:07:20 BST 2016, operations=223.30398865739903, operationsPerMinute=55.82599716434976
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 15:07:27 BST 2016, end=Tue Jul 05 15:09:27 BST 2016, operations=176.0646929541595, operationsPerMinute=88.03234647707976, mode=normal, start=Tue Jul 05 15:09:30 BST 2016, end=Tue Jul 05 15:13:30 BST 2016, operations=350.8572966218911, operationsPerMinute=87.71432415547278
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 15:13:33 BST 2016, end=Tue Jul 05 15:15:33 BST 2016, operations=245.19788428555302, operationsPerMinute=122.59894214277651, mode=normal, start=Tue Jul 05 15:15:35 BST 2016, end=Tue Jul 05 15:19:35 BST 2016, operations=610.360779960346, operationsPerMinute=152.5901949900865
benchmark-name=derby, mod=warmup, start=Tue Jul 05 15:19:57 BST 2016, end=Tue Jul 05 15:21:57 BST 2016, operations=276.87598619998835, operationsPerMinute=138.43799309999417, mode=normal, start=Tue Jul 05 15:21:59 BST 2016, end=Tue Jul 05 15:25:59 BST 2016, operations=555.1821348668775, operationsPerMinute=138.79553371671938
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 15:26:02 BST 2016, end=Tue Jul 05 15:28:02 BST 2016, operations=155.02043693045204, operationsPerMinute=77.51021846522602, mode=normal, start=Tue Jul 05 15:28:08 BST 2016, end=Tue Jul 05 15:32:08 BST 2016, operations=311.76299066425963, operationsPerMinute=77.94074766606491
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 15:32:12 BST 2016, end=Tue Jul 05 15:34:12 BST 2016, operations=66.03324977132598, operationsPerMinute=33.01662488566299, mode=normal, start=Tue Jul 05 15:34:20 BST 2016, end=Tue Jul 05 15:38:20 BST 2016, operations=152.97746647297367, operationsPerMinute=38.24436661824342
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 15:39:35 BST 2016, end=Tue Jul 05 15:41:35 BST 2016, operations=13.982945804031647, operationsPerMinute=6.991472902015824, mode=normal, start=Tue Jul 05 15:42:35 BST 2016, end=Tue Jul 05 15:46:35 BST 2016, operations=28.194179433581656, operationsPerMinute=7.048544858395414
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 15:47:16 BST 2016, end=Tue Jul 05 15:49:16 BST 2016, operations=56.661354389177575, operationsPerMinute=28.330677194588787, mode=normal, start=Tue Jul 05 15:49:30 BST 2016, end=Tue Jul 05 15:53:30 BST 2016, operations=101.05101198767693, operationsPerMinute=25.262752996919232
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 15:55:54 BST 2016, end=Tue Jul 05 15:57:54 BST 2016, operations=37.47620637348926, operationsPerMinute=18.73810318674463, mode=normal, start=Tue Jul 05 15:58:07 BST 2016, end=Tue Jul 05 16:02:07 BST 2016, operations=70.76984226319622, operationsPerMinute=17.692460565799056
