spec.jvm2008.report.run.location=TOLL03
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Tue Jun 28 18:04:45 BST 2016, end=Tue Jun 28 18:04:45 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 18:04:45 BST 2016, end=Tue Jun 28 18:04:46 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 18:04:46 BST 2016, end=Tue Jun 28 18:05:14 BST 2016, operations=1.0, operationsPerMinute=2.153470676907616
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 18:05:14 BST 2016, end=Tue Jun 28 18:05:20 BST 2016, operations=1.0, operationsPerMinute=10.121457489878543
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 18:05:20 BST 2016, end=Tue Jun 28 18:05:22 BST 2016, operations=1.0, operationsPerMinute=32.59098316132537
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 18:05:22 BST 2016, end=Tue Jun 28 18:05:33 BST 2016, operations=1.0, operationsPerMinute=5.1697397897639155
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 18:05:33 BST 2016, end=Tue Jun 28 18:05:42 BST 2016, operations=1.0, operationsPerMinute=6.63129973474801
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 18:05:42 BST 2016, end=Tue Jun 28 18:05:51 BST 2016, operations=1.0, operationsPerMinute=7.367387033398821
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 18:05:51 BST 2016, end=Tue Jun 28 18:05:54 BST 2016, operations=1.0, operationsPerMinute=15.082956259426847
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 18:05:54 BST 2016, end=Tue Jun 28 18:05:56 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 18:05:56 BST 2016, end=Tue Jun 28 18:05:58 BST 2016, operations=1.0, operationsPerMinute=33.149171270718234
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 18:05:58 BST 2016, end=Tue Jun 28 18:06:06 BST 2016, operations=1.0, operationsPerMinute=7.497188554292141
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 18:06:06 BST 2016, end=Tue Jun 28 18:06:07 BST 2016, operations=1.0, operationsPerMinute=31.51260504201681
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 18:06:07 BST 2016, end=Tue Jun 28 18:06:10 BST 2016, operations=1.0, operationsPerMinute=27.675276752767527
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 18:06:10 BST 2016, end=Tue Jun 28 18:06:14 BST 2016, operations=1.0, operationsPerMinute=14.299332697807436
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 18:06:14 BST 2016, end=Tue Jun 28 18:07:22 BST 2016, operations=1.0, operationsPerMinute=0.8855827134254339
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 18:07:22 BST 2016, end=Tue Jun 28 18:08:03 BST 2016, operations=1.0, operationsPerMinute=1.4601737606775207
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 18:08:03 BST 2016, end=Tue Jun 28 18:08:04 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 18:08:21 BST 2016, end=Tue Jun 28 18:10:21 BST 2016, operations=213.7840574040154, operationsPerMinute=106.8920287020077, mode=normal, start=Tue Jun 28 18:10:22 BST 2016, end=Tue Jun 28 18:14:22 BST 2016, operations=431.6933699400239, operationsPerMinute=107.92334248500597
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 18:14:29 BST 2016, end=Tue Jun 28 18:16:29 BST 2016, operations=84.63163037866487, operationsPerMinute=42.31581518933243, mode=normal, start=Tue Jun 28 18:16:32 BST 2016, end=Tue Jun 28 18:20:32 BST 2016, operations=172.01793007925187, operationsPerMinute=43.00448251981297
benchmark-name=compress, mod=warmup, start=Tue Jun 28 18:20:36 BST 2016, end=Tue Jun 28 18:22:36 BST 2016, operations=126.76789570835257, operationsPerMinute=63.383947854176284, mode=normal, start=Tue Jun 28 18:22:38 BST 2016, end=Tue Jun 28 18:26:38 BST 2016, operations=255.00671617714931, operationsPerMinute=63.75167904428733
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 18:26:41 BST 2016, end=Tue Jun 28 18:28:41 BST 2016, operations=35.78533845402002, operationsPerMinute=17.89266922701001, mode=normal, start=Tue Jun 28 18:28:48 BST 2016, end=Tue Jun 28 18:32:48 BST 2016, operations=76.05417540156213, operationsPerMinute=19.013543850390533
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 18:32:56 BST 2016, end=Tue Jun 28 18:34:56 BST 2016, operations=72.43476327493889, operationsPerMinute=36.217381637469444, mode=normal, start=Tue Jun 28 18:34:59 BST 2016, end=Tue Jun 28 18:38:59 BST 2016, operations=146.5813648091214, operationsPerMinute=36.64534120228035
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 18:39:04 BST 2016, end=Tue Jun 28 18:41:04 BST 2016, operations=120.73685263721573, operationsPerMinute=60.36842631860787, mode=normal, start=Tue Jun 28 18:41:07 BST 2016, end=Tue Jun 28 18:45:07 BST 2016, operations=240.6799998095492, operationsPerMinute=60.1699999523873
benchmark-name=derby, mod=warmup, start=Tue Jun 28 18:46:55 BST 2016, end=Tue Jun 28 18:48:55 BST 2016, operations=90.07372247547944, operationsPerMinute=45.03686123773972, mode=normal, start=Tue Jun 28 18:48:58 BST 2016, end=Tue Jun 28 18:52:58 BST 2016, operations=181.06842388560716, operationsPerMinute=45.26710597140179
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 18:53:02 BST 2016, end=Tue Jun 28 18:55:02 BST 2016, operations=56.73657510805303, operationsPerMinute=28.368287554026516, mode=normal, start=Tue Jun 28 18:55:08 BST 2016, end=Tue Jun 28 18:59:08 BST 2016, operations=114.03544498345184, operationsPerMinute=28.50886124586296
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 18:59:15 BST 2016, end=Tue Jun 28 19:01:15 BST 2016, operations=29.455325875949555, operationsPerMinute=14.727662937974777, mode=normal, start=Tue Jun 28 19:01:22 BST 2016, end=Tue Jun 28 19:05:22 BST 2016, operations=65.25681329080169, operationsPerMinute=16.314203322700422
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 19:05:33 BST 2016, end=Tue Jun 28 19:07:33 BST 2016, operations=6.872724696773701, operationsPerMinute=3.4363623483868504, mode=normal, start=Tue Jun 28 19:08:10 BST 2016, end=Tue Jun 28 19:12:10 BST 2016, operations=13.58739545174136, operationsPerMinute=3.39684886293534
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 19:12:35 BST 2016, end=Tue Jun 28 19:14:35 BST 2016, operations=27.49304263357167, operationsPerMinute=13.746521316785834, mode=normal, start=Tue Jun 28 19:14:48 BST 2016, end=Tue Jun 28 19:18:48 BST 2016, operations=55.05638276339391, operationsPerMinute=13.764095690848478
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 19:18:58 BST 2016, end=Tue Jun 28 19:20:58 BST 2016, operations=21.17509577115967, operationsPerMinute=10.587547885579834, mode=normal, start=Tue Jun 28 19:21:09 BST 2016, end=Tue Jun 28 19:25:09 BST 2016, operations=41.7422277590284, operationsPerMinute=10.4355569397571
