spec.jvm2008.report.run.location=HULL111
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 14:10:13 BST 2016, end=Tue Jun 21 14:10:13 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 14:10:13 BST 2016, end=Tue Jun 21 14:10:14 BST 2016, operations=1.0, operationsPerMinute=123.96694214876032
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 14:10:14 BST 2016, end=Tue Jun 21 14:10:40 BST 2016, operations=1.0, operationsPerMinute=2.308580223162755
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 14:10:40 BST 2016, end=Tue Jun 21 14:10:45 BST 2016, operations=1.0, operationsPerMinute=10.655301012253597
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 14:10:45 BST 2016, end=Tue Jun 21 14:10:47 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 14:10:47 BST 2016, end=Tue Jun 21 14:10:57 BST 2016, operations=1.0, operationsPerMinute=5.631159080244017
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 14:10:57 BST 2016, end=Tue Jun 21 14:11:06 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 14:11:06 BST 2016, end=Tue Jun 21 14:11:13 BST 2016, operations=1.0, operationsPerMinute=8.287292817679559
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 14:11:13 BST 2016, end=Tue Jun 21 14:11:17 BST 2016, operations=1.0, operationsPerMinute=14.77832512315271
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 14:11:17 BST 2016, end=Tue Jun 21 14:11:18 BST 2016, operations=1.0, operationsPerMinute=59.58291956305859
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 14:11:18 BST 2016, end=Tue Jun 21 14:11:20 BST 2016, operations=1.0, operationsPerMinute=47.58128469468676
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 14:11:20 BST 2016, end=Tue Jun 21 14:11:27 BST 2016, operations=1.0, operationsPerMinute=8.463817181548878
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 14:11:27 BST 2016, end=Tue Jun 21 14:11:29 BST 2016, operations=1.0, operationsPerMinute=30.287733467945483
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 14:11:29 BST 2016, end=Tue Jun 21 14:11:30 BST 2016, operations=1.0, operationsPerMinute=31.982942430703623
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 14:11:30 BST 2016, end=Tue Jun 21 14:11:35 BST 2016, operations=1.0, operationsPerMinute=14.061401453011484
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 14:11:35 BST 2016, end=Tue Jun 21 14:11:43 BST 2016, operations=1.0, operationsPerMinute=7.4766355140186915
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 14:11:43 BST 2016, end=Tue Jun 21 14:12:18 BST 2016, operations=1.0, operationsPerMinute=1.6864354376299961
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 14:12:18 BST 2016, end=Tue Jun 21 14:12:20 BST 2016, operations=1.0, operationsPerMinute=33.11258278145695
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 14:12:36 BST 2016, end=Tue Jun 21 14:14:36 BST 2016, operations=348.15070426280533, operationsPerMinute=174.07535213140267, mode=normal, start=Tue Jun 21 14:14:38 BST 2016, end=Tue Jun 21 14:18:38 BST 2016, operations=725.9661649089883, operationsPerMinute=181.49154122724707
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 14:18:44 BST 2016, end=Tue Jun 21 14:20:44 BST 2016, operations=141.85424068611763, operationsPerMinute=70.92712034305882, mode=normal, start=Tue Jun 21 14:20:49 BST 2016, end=Tue Jun 21 14:24:49 BST 2016, operations=284.377144280967, operationsPerMinute=71.09428607024175
benchmark-name=compress, mod=warmup, start=Tue Jun 21 14:24:54 BST 2016, end=Tue Jun 21 14:26:54 BST 2016, operations=242.41611135351147, operationsPerMinute=121.20805567675573, mode=normal, start=Tue Jun 21 14:26:57 BST 2016, end=Tue Jun 21 14:30:57 BST 2016, operations=534.3805468319873, operationsPerMinute=133.59513670799683
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 14:30:59 BST 2016, end=Tue Jun 21 14:32:59 BST 2016, operations=85.11434780307151, operationsPerMinute=42.557173901535755, mode=normal, start=Tue Jun 21 14:33:08 BST 2016, end=Tue Jun 21 14:37:08 BST 2016, operations=180.88997939027612, operationsPerMinute=45.22249484756903
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 14:37:17 BST 2016, end=Tue Jun 21 14:39:17 BST 2016, operations=145.39502315221404, operationsPerMinute=72.69751157610702, mode=normal, start=Tue Jun 21 14:39:22 BST 2016, end=Tue Jun 21 14:43:22 BST 2016, operations=274.84553441544017, operationsPerMinute=68.71138360386004
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 14:43:29 BST 2016, end=Tue Jun 21 14:45:29 BST 2016, operations=235.72990762655735, operationsPerMinute=117.86495381327867, mode=normal, start=Tue Jun 21 14:45:32 BST 2016, end=Tue Jun 21 14:49:32 BST 2016, operations=474.9103629013556, operationsPerMinute=118.7275907253389
benchmark-name=derby, mod=warmup, start=Tue Jun 21 14:51:20 BST 2016, end=Tue Jun 21 14:53:20 BST 2016, operations=188.96455396008878, operationsPerMinute=94.48227698004439, mode=normal, start=Tue Jun 21 14:53:24 BST 2016, end=Tue Jun 21 14:57:24 BST 2016, operations=362.76964380556797, operationsPerMinute=90.69241095139199
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 14:57:28 BST 2016, end=Tue Jun 21 14:59:28 BST 2016, operations=127.26580362163679, operationsPerMinute=63.632901810818396, mode=normal, start=Tue Jun 21 14:59:33 BST 2016, end=Tue Jun 21 15:03:33 BST 2016, operations=245.01521116561673, operationsPerMinute=61.25380279140418
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 15:03:39 BST 2016, end=Tue Jun 21 15:05:39 BST 2016, operations=93.58673955945797, operationsPerMinute=46.793369779728984, mode=normal, start=Tue Jun 21 15:05:46 BST 2016, end=Tue Jun 21 15:09:46 BST 2016, operations=179.88516506268613, operationsPerMinute=44.97129126567153
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 15:09:55 BST 2016, end=Tue Jun 21 15:11:55 BST 2016, operations=21.733308343968247, operationsPerMinute=10.866654171984123, mode=normal, start=Tue Jun 21 15:12:26 BST 2016, end=Tue Jun 21 15:16:26 BST 2016, operations=43.45826460617463, operationsPerMinute=10.864566151543658
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 15:16:46 BST 2016, end=Tue Jun 21 15:18:46 BST 2016, operations=53.90642759499042, operationsPerMinute=26.95321379749521, mode=normal, start=Tue Jun 21 15:18:59 BST 2016, end=Tue Jun 21 15:22:59 BST 2016, operations=105.3116660939631, operationsPerMinute=26.327916523490774
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 15:23:15 BST 2016, end=Tue Jun 21 15:25:15 BST 2016, operations=59.17819072069742, operationsPerMinute=29.58909536034871, mode=normal, start=Tue Jun 21 15:25:25 BST 2016, end=Tue Jun 21 15:29:25 BST 2016, operations=127.03890946622143, operationsPerMinute=31.759727366555357
