spec.jvm2008.report.run.location=BARN-03
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:02 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:02 BST 2016, operations=1.0, operationsPerMinute=256.4102564102564
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:15 BST 2016, operations=1.0, operationsPerMinute=4.595236271731638
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:15 BST 2016, end=Thu May 26 14:19:19 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:19 BST 2016, end=Thu May 26 14:19:20 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:20 BST 2016, end=Thu May 26 14:19:29 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:29 BST 2016, end=Thu May 26 14:19:36 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:36 BST 2016, end=Thu May 26 14:19:43 BST 2016, operations=1.0, operationsPerMinute=8.92458723784025
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:19:45 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:45 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:47 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:47 BST 2016, end=Thu May 26 14:19:52 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:52 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:19:55 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:55 BST 2016, end=Thu May 26 14:19:57 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:57 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:23 BST 2016, operations=1.0, operationsPerMinute=2.9769288017861575
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:23 BST 2016, end=Thu May 26 14:20:24 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:34 BST 2016, end=Thu May 26 14:22:34 BST 2016, operations=486.0974297074131, operationsPerMinute=243.04871485370654, mode=normal, start=Thu May 26 14:22:36 BST 2016, end=Thu May 26 14:26:36 BST 2016, operations=1004.0480918205769, operationsPerMinute=251.01202295514423
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:39 BST 2016, end=Thu May 26 14:28:39 BST 2016, operations=195.04217596140307, operationsPerMinute=97.52108798070154, mode=normal, start=Thu May 26 14:28:42 BST 2016, end=Thu May 26 14:32:42 BST 2016, operations=389.2672359008277, operationsPerMinute=97.31680897520692
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:45 BST 2016, end=Thu May 26 14:34:45 BST 2016, operations=395.770716589722, operationsPerMinute=197.885358294861, mode=normal, start=Thu May 26 14:34:47 BST 2016, end=Thu May 26 14:38:47 BST 2016, operations=795.4292891856438, operationsPerMinute=198.85732229641096
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:49 BST 2016, end=Thu May 26 14:40:49 BST 2016, operations=139.72784924919088, operationsPerMinute=69.86392462459544, mode=normal, start=Thu May 26 14:40:54 BST 2016, end=Thu May 26 14:44:54 BST 2016, operations=292.186594603759, operationsPerMinute=73.04664865093974
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:00 BST 2016, end=Thu May 26 14:47:00 BST 2016, operations=237.47752177852456, operationsPerMinute=118.73876088926228, mode=normal, start=Thu May 26 14:47:04 BST 2016, end=Thu May 26 14:51:04 BST 2016, operations=474.7339201649277, operationsPerMinute=118.68348004123193
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:07 BST 2016, end=Thu May 26 14:53:07 BST 2016, operations=405.12857297414257, operationsPerMinute=202.56428648707129, mode=normal, start=Thu May 26 14:53:08 BST 2016, end=Thu May 26 14:57:08 BST 2016, operations=813.8536763338886, operationsPerMinute=203.46341908347216
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:31 BST 2016, end=Thu May 26 14:59:31 BST 2016, operations=356.69646717780523, operationsPerMinute=178.34823358890262, mode=normal, start=Thu May 26 14:59:33 BST 2016, end=Thu May 26 15:03:33 BST 2016, operations=715.1888185486696, operationsPerMinute=178.7972046371674
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:35 BST 2016, end=Thu May 26 15:05:35 BST 2016, operations=207.69360738292173, operationsPerMinute=103.84680369146086, mode=normal, start=Thu May 26 15:05:40 BST 2016, end=Thu May 26 15:09:40 BST 2016, operations=412.9281346116657, operationsPerMinute=103.23203365291643
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:43 BST 2016, end=Thu May 26 15:11:43 BST 2016, operations=73.81799466184451, operationsPerMinute=36.908997330922254, mode=normal, start=Thu May 26 15:11:52 BST 2016, end=Thu May 26 15:15:52 BST 2016, operations=152.31869720533982, operationsPerMinute=38.079674301334954
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:01 BST 2016, end=Thu May 26 15:18:01 BST 2016, operations=13.99719896996306, operationsPerMinute=6.99859948498153, mode=normal, start=Thu May 26 15:18:45 BST 2016, end=Thu May 26 15:22:45 BST 2016, operations=27.649243550997234, operationsPerMinute=6.9123108877493085
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:15 BST 2016, end=Thu May 26 15:25:15 BST 2016, operations=68.11346777279365, operationsPerMinute=34.05673388639683, mode=normal, start=Thu May 26 15:25:26 BST 2016, end=Thu May 26 15:29:26 BST 2016, operations=148.90986423936704, operationsPerMinute=37.22746605984176
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:37 BST 2016, end=Thu May 26 15:31:37 BST 2016, operations=41.917246936340476, operationsPerMinute=20.958623468170238, mode=normal, start=Thu May 26 15:31:51 BST 2016, end=Thu May 26 15:35:51 BST 2016, operations=84.32140792005602, operationsPerMinute=21.080351980014004
