spec.jvm2008.report.run.location=CASTLEAZES024
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 05:01:20 BST 2016, end=Thu Jun 23 05:01:20 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 05:01:20 BST 2016, end=Thu Jun 23 05:01:20 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 05:01:20 BST 2016, end=Thu Jun 23 05:01:33 BST 2016, operations=1.0, operationsPerMinute=4.7247814788566025
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 05:01:33 BST 2016, end=Thu Jun 23 05:01:36 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 05:01:36 BST 2016, end=Thu Jun 23 05:01:37 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 05:01:37 BST 2016, end=Thu Jun 23 05:01:46 BST 2016, operations=1.0, operationsPerMinute=7.14881448826403
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 05:01:46 BST 2016, end=Thu Jun 23 05:01:53 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 05:01:53 BST 2016, end=Thu Jun 23 05:02:00 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 05:02:00 BST 2016, end=Thu Jun 23 05:02:02 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 05:02:02 BST 2016, end=Thu Jun 23 05:02:03 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 05:02:03 BST 2016, end=Thu Jun 23 05:02:04 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 05:02:04 BST 2016, end=Thu Jun 23 05:02:10 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 05:02:10 BST 2016, end=Thu Jun 23 05:02:11 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 05:02:11 BST 2016, end=Thu Jun 23 05:02:12 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 05:02:12 BST 2016, end=Thu Jun 23 05:02:14 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 05:02:14 BST 2016, end=Thu Jun 23 05:02:20 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 05:02:20 BST 2016, end=Thu Jun 23 05:02:41 BST 2016, operations=1.0, operationsPerMinute=2.963109289347622
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 05:02:41 BST 2016, end=Thu Jun 23 05:02:41 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 05:02:51 BST 2016, end=Thu Jun 23 05:04:51 BST 2016, operations=488.60291200165614, operationsPerMinute=244.30145600082807, mode=normal, start=Thu Jun 23 05:04:53 BST 2016, end=Thu Jun 23 05:08:53 BST 2016, operations=1010.4747998730965, operationsPerMinute=252.61869996827411
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 05:08:56 BST 2016, end=Thu Jun 23 05:10:56 BST 2016, operations=201.22780882476837, operationsPerMinute=100.61390441238419, mode=normal, start=Thu Jun 23 05:11:00 BST 2016, end=Thu Jun 23 05:15:00 BST 2016, operations=386.4050307895625, operationsPerMinute=96.60125769739062
benchmark-name=compress, mod=warmup, start=Thu Jun 23 05:15:03 BST 2016, end=Thu Jun 23 05:17:03 BST 2016, operations=398.10794653920084, operationsPerMinute=199.05397326960042, mode=normal, start=Thu Jun 23 05:17:05 BST 2016, end=Thu Jun 23 05:21:05 BST 2016, operations=795.5143843416251, operationsPerMinute=198.8785960854063
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 05:21:08 BST 2016, end=Thu Jun 23 05:23:08 BST 2016, operations=139.12115498749148, operationsPerMinute=69.56057749374574, mode=normal, start=Thu Jun 23 05:23:12 BST 2016, end=Thu Jun 23 05:27:12 BST 2016, operations=296.34596418225345, operationsPerMinute=74.08649104556336
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 05:27:16 BST 2016, end=Thu Jun 23 05:29:16 BST 2016, operations=232.97378118945625, operationsPerMinute=116.48689059472812, mode=normal, start=Thu Jun 23 05:29:20 BST 2016, end=Thu Jun 23 05:33:20 BST 2016, operations=466.2991743564837, operationsPerMinute=116.57479358912093
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 05:33:25 BST 2016, end=Thu Jun 23 05:35:25 BST 2016, operations=406.8632219195457, operationsPerMinute=203.43161095977285, mode=normal, start=Thu Jun 23 05:35:26 BST 2016, end=Thu Jun 23 05:39:26 BST 2016, operations=815.6035975267005, operationsPerMinute=203.90089938167512
benchmark-name=derby, mod=warmup, start=Thu Jun 23 05:39:49 BST 2016, end=Thu Jun 23 05:41:49 BST 2016, operations=363.17135199926963, operationsPerMinute=181.58567599963482, mode=normal, start=Thu Jun 23 05:41:51 BST 2016, end=Thu Jun 23 05:45:51 BST 2016, operations=722.7777176865895, operationsPerMinute=180.69442942164738
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 05:45:53 BST 2016, end=Thu Jun 23 05:47:53 BST 2016, operations=206.52365643165396, operationsPerMinute=103.26182821582698, mode=normal, start=Thu Jun 23 05:47:57 BST 2016, end=Thu Jun 23 05:51:57 BST 2016, operations=415.78171855321636, operationsPerMinute=103.94542963830409
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 05:52:00 BST 2016, end=Thu Jun 23 05:54:00 BST 2016, operations=69.5947646330632, operationsPerMinute=34.7973823165316, mode=normal, start=Thu Jun 23 05:54:10 BST 2016, end=Thu Jun 23 05:58:10 BST 2016, operations=144.29471488083126, operationsPerMinute=36.073678720207816
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 05:58:18 BST 2016, end=Thu Jun 23 06:00:18 BST 2016, operations=13.753368633761376, operationsPerMinute=6.876684316880688, mode=normal, start=Thu Jun 23 06:01:03 BST 2016, end=Thu Jun 23 06:05:03 BST 2016, operations=27.883716358337967, operationsPerMinute=6.970929089584492
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 06:05:46 BST 2016, end=Thu Jun 23 06:07:46 BST 2016, operations=74.71596856211794, operationsPerMinute=37.35798428105897, mode=normal, start=Thu Jun 23 06:07:55 BST 2016, end=Thu Jun 23 06:11:55 BST 2016, operations=149.23846874467648, operationsPerMinute=37.30961718616912
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 06:12:06 BST 2016, end=Thu Jun 23 06:14:06 BST 2016, operations=43.27971970194468, operationsPerMinute=21.63985985097234, mode=normal, start=Thu Jun 23 06:14:17 BST 2016, end=Thu Jun 23 06:18:17 BST 2016, operations=86.55491543782132, operationsPerMinute=21.63872885945533
