spec.jvm2008.report.run.location=GLAZIER04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 00:22:11 BST 2016, end=Fri Jun 24 00:22:11 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:22:11 BST 2016, end=Fri Jun 24 00:22:11 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:22:11 BST 2016, end=Fri Jun 24 00:22:27 BST 2016, operations=1.0, operationsPerMinute=3.7415814417560487
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 00:22:27 BST 2016, end=Fri Jun 24 00:22:31 BST 2016, operations=1.0, operationsPerMinute=14.962593516209477
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 00:22:31 BST 2016, end=Fri Jun 24 00:22:33 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 00:22:33 BST 2016, end=Fri Jun 24 00:22:42 BST 2016, operations=1.0, operationsPerMinute=6.540935353755587
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 00:22:42 BST 2016, end=Fri Jun 24 00:22:50 BST 2016, operations=1.0, operationsPerMinute=7.677543186180422
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 00:22:50 BST 2016, end=Fri Jun 24 00:22:56 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 00:22:56 BST 2016, end=Fri Jun 24 00:22:59 BST 2016, operations=1.0, operationsPerMinute=22.49718785151856
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 00:22:59 BST 2016, end=Fri Jun 24 00:23:00 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 00:23:00 BST 2016, end=Fri Jun 24 00:23:01 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 00:23:01 BST 2016, end=Fri Jun 24 00:23:07 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 00:23:07 BST 2016, end=Fri Jun 24 00:23:09 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 00:23:09 BST 2016, end=Fri Jun 24 00:23:10 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 00:23:10 BST 2016, end=Fri Jun 24 00:23:12 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 00:23:12 BST 2016, end=Fri Jun 24 00:23:19 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 00:23:19 BST 2016, end=Fri Jun 24 00:23:43 BST 2016, operations=1.0, operationsPerMinute=2.5303643724696356
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 00:23:43 BST 2016, end=Fri Jun 24 00:23:44 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 00:23:57 BST 2016, end=Fri Jun 24 00:25:57 BST 2016, operations=415.57955679524406, operationsPerMinute=207.78977839762203, mode=normal, start=Fri Jun 24 00:25:59 BST 2016, end=Fri Jun 24 00:29:59 BST 2016, operations=840.1076019585036, operationsPerMinute=210.0269004896259
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 00:30:04 BST 2016, end=Fri Jun 24 00:32:04 BST 2016, operations=166.62562293989384, operationsPerMinute=83.31281146994692, mode=normal, start=Fri Jun 24 00:32:07 BST 2016, end=Fri Jun 24 00:36:07 BST 2016, operations=331.76493723260756, operationsPerMinute=82.94123430815189
benchmark-name=compress, mod=warmup, start=Fri Jun 24 00:36:12 BST 2016, end=Fri Jun 24 00:38:12 BST 2016, operations=346.60483449700035, operationsPerMinute=173.30241724850018, mode=normal, start=Fri Jun 24 00:38:13 BST 2016, end=Fri Jun 24 00:42:13 BST 2016, operations=690.7851099029658, operationsPerMinute=172.69627747574145
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 00:42:15 BST 2016, end=Fri Jun 24 00:44:15 BST 2016, operations=113.67271509848334, operationsPerMinute=56.83635754924167, mode=normal, start=Fri Jun 24 00:44:21 BST 2016, end=Fri Jun 24 00:48:21 BST 2016, operations=240.09875958723043, operationsPerMinute=60.02468989680761
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 00:48:26 BST 2016, end=Fri Jun 24 00:50:26 BST 2016, operations=201.1203600829987, operationsPerMinute=100.56018004149935, mode=normal, start=Fri Jun 24 00:50:30 BST 2016, end=Fri Jun 24 00:54:30 BST 2016, operations=411.7662073958206, operationsPerMinute=102.94155184895514
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 00:54:34 BST 2016, end=Fri Jun 24 00:56:34 BST 2016, operations=345.70963930020827, operationsPerMinute=172.85481965010413, mode=normal, start=Fri Jun 24 00:56:36 BST 2016, end=Fri Jun 24 01:00:36 BST 2016, operations=685.237969272214, operationsPerMinute=171.3094923180535
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:01:55 BST 2016, end=Fri Jun 24 01:03:55 BST 2016, operations=246.47405340872672, operationsPerMinute=123.23702670436336, mode=normal, start=Fri Jun 24 01:03:58 BST 2016, end=Fri Jun 24 01:07:58 BST 2016, operations=439.0643762491507, operationsPerMinute=109.76609406228768
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:08:02 BST 2016, end=Fri Jun 24 01:10:02 BST 2016, operations=150.94518554574307, operationsPerMinute=75.47259277287154, mode=normal, start=Fri Jun 24 01:10:06 BST 2016, end=Fri Jun 24 01:14:06 BST 2016, operations=346.45554468561875, operationsPerMinute=86.61388617140469
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:14:10 BST 2016, end=Fri Jun 24 01:16:10 BST 2016, operations=103.32676393435362, operationsPerMinute=51.66338196717681, mode=normal, start=Fri Jun 24 01:16:18 BST 2016, end=Fri Jun 24 01:20:18 BST 2016, operations=205.5778805562794, operationsPerMinute=51.39447013906985
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:20:25 BST 2016, end=Fri Jun 24 01:22:25 BST 2016, operations=21.27619262442876, operationsPerMinute=10.63809631221438, mode=normal, start=Fri Jun 24 01:22:57 BST 2016, end=Fri Jun 24 01:26:57 BST 2016, operations=44.04231733050144, operationsPerMinute=11.01057933262536
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 01:27:31 BST 2016, end=Fri Jun 24 01:29:31 BST 2016, operations=67.89923373480798, operationsPerMinute=33.94961686740399, mode=normal, start=Fri Jun 24 01:29:42 BST 2016, end=Fri Jun 24 01:33:42 BST 2016, operations=139.1955950007036, operationsPerMinute=34.7988987501759
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 01:33:50 BST 2016, end=Fri Jun 24 01:35:50 BST 2016, operations=70.66491691704815, operationsPerMinute=35.33245845852407, mode=normal, start=Fri Jun 24 01:35:58 BST 2016, end=Fri Jun 24 01:39:58 BST 2016, operations=140.94260895910236, operationsPerMinute=35.23565223977559
