spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 09:48:04 BST 2016, end=Tue Jul 05 09:48:04 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 09:48:04 BST 2016, end=Tue Jul 05 09:48:04 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 09:48:04 BST 2016, end=Tue Jul 05 09:48:19 BST 2016, operations=1.0, operationsPerMinute=4.064765259806246
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 09:48:19 BST 2016, end=Tue Jul 05 09:48:22 BST 2016, operations=1.0, operationsPerMinute=15.957446808510639
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 09:48:22 BST 2016, end=Tue Jul 05 09:48:24 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 09:48:24 BST 2016, end=Tue Jul 05 09:48:33 BST 2016, operations=1.0, operationsPerMinute=6.722689075630252
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 09:48:33 BST 2016, end=Tue Jul 05 09:48:40 BST 2016, operations=1.0, operationsPerMinute=7.879185817465529
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 09:48:40 BST 2016, end=Tue Jul 05 09:48:47 BST 2016, operations=1.0, operationsPerMinute=8.840430234271402
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 09:48:47 BST 2016, end=Tue Jul 05 09:48:50 BST 2016, operations=1.0, operationsPerMinute=24.65078060805259
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 09:48:50 BST 2016, end=Tue Jul 05 09:48:50 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 09:48:50 BST 2016, end=Tue Jul 05 09:48:51 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 09:48:51 BST 2016, end=Tue Jul 05 09:48:57 BST 2016, operations=1.0, operationsPerMinute=10.422094841063053
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 09:48:57 BST 2016, end=Tue Jul 05 09:48:59 BST 2016, operations=1.0, operationsPerMinute=39.21568627450981
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 09:48:59 BST 2016, end=Tue Jul 05 09:49:00 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 09:49:00 BST 2016, end=Tue Jul 05 09:49:02 BST 2016, operations=1.0, operationsPerMinute=24.65078060805259
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 09:49:02 BST 2016, end=Tue Jul 05 09:49:09 BST 2016, operations=1.0, operationsPerMinute=8.943210612609928
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 09:49:09 BST 2016, end=Tue Jul 05 09:49:31 BST 2016, operations=1.0, operationsPerMinute=2.772387025228722
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 09:49:31 BST 2016, end=Tue Jul 05 09:49:31 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 09:49:42 BST 2016, end=Tue Jul 05 09:51:42 BST 2016, operations=437.56746405587796, operationsPerMinute=218.78373202793898, mode=normal, start=Tue Jul 05 09:51:44 BST 2016, end=Tue Jul 05 09:55:44 BST 2016, operations=893.4087974889577, operationsPerMinute=223.35219937223943
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 09:55:48 BST 2016, end=Tue Jul 05 09:57:48 BST 2016, operations=176.66274441905497, operationsPerMinute=88.33137220952749, mode=normal, start=Tue Jul 05 09:57:52 BST 2016, end=Tue Jul 05 10:01:52 BST 2016, operations=350.5086011751362, operationsPerMinute=87.62715029378406
benchmark-name=compress, mod=warmup, start=Tue Jul 05 10:01:57 BST 2016, end=Tue Jul 05 10:03:57 BST 2016, operations=297.4787092547447, operationsPerMinute=148.73935462737234, mode=normal, start=Tue Jul 05 10:03:59 BST 2016, end=Tue Jul 05 10:07:59 BST 2016, operations=447.02867721103405, operationsPerMinute=111.75716930275851
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 10:08:02 BST 2016, end=Tue Jul 05 10:10:02 BST 2016, operations=105.2057319088759, operationsPerMinute=52.60286595443795, mode=normal, start=Tue Jul 05 10:10:09 BST 2016, end=Tue Jul 05 10:14:09 BST 2016, operations=222.55444083611948, operationsPerMinute=55.63861020902987
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 10:14:15 BST 2016, end=Tue Jul 05 10:16:15 BST 2016, operations=174.97190657096468, operationsPerMinute=87.48595328548234, mode=normal, start=Tue Jul 05 10:16:18 BST 2016, end=Tue Jul 05 10:20:18 BST 2016, operations=289.33659452008493, operationsPerMinute=72.33414863002123
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 10:20:23 BST 2016, end=Tue Jul 05 10:22:23 BST 2016, operations=265.9077762420218, operationsPerMinute=132.9538881210109, mode=normal, start=Tue Jul 05 10:22:26 BST 2016, end=Tue Jul 05 10:26:26 BST 2016, operations=611.704311477405, operationsPerMinute=152.92607786935125
benchmark-name=derby, mod=warmup, start=Tue Jul 05 10:26:49 BST 2016, end=Tue Jul 05 10:28:49 BST 2016, operations=273.1453470952493, operationsPerMinute=136.57267354762465, mode=normal, start=Tue Jul 05 10:28:52 BST 2016, end=Tue Jul 05 10:32:52 BST 2016, operations=546.8428507368388, operationsPerMinute=136.7107126842097
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 10:32:55 BST 2016, end=Tue Jul 05 10:34:55 BST 2016, operations=155.9860463916183, operationsPerMinute=77.99302319580914, mode=normal, start=Tue Jul 05 10:35:01 BST 2016, end=Tue Jul 05 10:39:01 BST 2016, operations=312.5641726444966, operationsPerMinute=78.14104316112414
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 10:39:06 BST 2016, end=Tue Jul 05 10:41:06 BST 2016, operations=68.74662803654189, operationsPerMinute=34.373314018270946, mode=normal, start=Tue Jul 05 10:41:17 BST 2016, end=Tue Jul 05 10:45:17 BST 2016, operations=116.20464014358294, operationsPerMinute=29.051160035895734
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 10:45:27 BST 2016, end=Tue Jul 05 10:47:27 BST 2016, operations=14.08742608449442, operationsPerMinute=7.04371304224721, mode=normal, start=Tue Jul 05 10:48:26 BST 2016, end=Tue Jul 05 10:52:26 BST 2016, operations=27.842127468198875, operationsPerMinute=6.960531867049719
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 10:53:10 BST 2016, end=Tue Jul 05 10:55:10 BST 2016, operations=57.409472515362495, operationsPerMinute=28.704736257681247, mode=normal, start=Tue Jul 05 10:55:22 BST 2016, end=Tue Jul 05 10:59:22 BST 2016, operations=114.54934596246773, operationsPerMinute=28.63733649061693
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 10:59:33 BST 2016, end=Tue Jul 05 11:01:33 BST 2016, operations=43.711626400654204, operationsPerMinute=21.855813200327102, mode=normal, start=Tue Jul 05 11:01:50 BST 2016, end=Tue Jul 05 11:05:50 BST 2016, operations=80.13690004398846, operationsPerMinute=20.034225010997115
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 11:06:04 BST 2016, end=Tue Jul 05 11:08:04 BST 2016, operations=539.4535048954046, operationsPerMinute=269.7267524477023, mode=normal, start=Tue Jul 05 11:08:08 BST 2016, end=Tue Jul 05 11:12:08 BST 2016, operations=1078.4184536948874, operationsPerMinute=269.60461342372184
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 11:12:10 BST 2016, end=Tue Jul 05 11:14:10 BST 2016, operations=432.91395717942027, operationsPerMinute=216.45697858971013, mode=normal, start=Tue Jul 05 11:14:12 BST 2016, end=Tue Jul 05 11:18:12 BST 2016, operations=865.5833107343133, operationsPerMinute=216.39582768357832
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 11:18:14 BST 2016, end=Tue Jul 05 11:20:14 BST 2016, operations=247.8560556727281, operationsPerMinute=123.92802783636405, mode=normal, start=Tue Jul 05 11:20:30 BST 2016, end=Tue Jul 05 11:24:30 BST 2016, operations=496.4685634161473, operationsPerMinute=124.11714085403682
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 11:24:39 BST 2016, end=Tue Jul 05 11:26:39 BST 2016, operations=385.964577621649, operationsPerMinute=192.9822888108245, mode=normal, start=Tue Jul 05 11:26:41 BST 2016, end=Tue Jul 05 11:30:41 BST 2016, operations=592.9328510216587, operationsPerMinute=148.23321275541468
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 11:30:43 BST 2016, end=Tue Jul 05 11:32:43 BST 2016, operations=55.888438408093315, operationsPerMinute=27.944219204046657, mode=normal, start=Tue Jul 05 11:35:35 BST 2016, end=Tue Jul 05 11:39:35 BST 2016, operations=177.31333544255975, operationsPerMinute=44.32833386063994
benchmark-name=serial, mod=warmup, start=Tue Jul 05 11:40:27 BST 2016, end=Tue Jul 05 11:42:27 BST 2016, operations=180.90309071653158, operationsPerMinute=90.45154535826579, mode=normal, start=Tue Jul 05 11:42:31 BST 2016, end=Tue Jul 05 11:46:31 BST 2016, operations=359.06072777710835, operationsPerMinute=89.76518194427709
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 11:46:35 BST 2016, end=Tue Jul 05 11:48:35 BST 2016, operations=138.40313809901437, operationsPerMinute=69.20156904950719, mode=normal, start=Tue Jul 05 11:48:37 BST 2016, end=Tue Jul 05 11:52:37 BST 2016, operations=170.79241150788573, operationsPerMinute=42.69810287697143
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 11:53:28 BST 2016, end=Tue Jul 05 11:55:28 BST 2016, operations=392.8325365435267, operationsPerMinute=196.41626827176336, mode=normal, start=Tue Jul 05 11:55:29 BST 2016, end=Tue Jul 05 11:59:29 BST 2016, operations=785.884312785191, operationsPerMinute=196.47107819629775
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 11:59:32 BST 2016, end=Tue Jul 05 12:01:32 BST 2016, operations=805.8715772663785, operationsPerMinute=402.93578863318925, mode=normal, start=Tue Jul 05 12:01:32 BST 2016, end=Tue Jul 05 12:05:32 BST 2016, operations=1585.4298633283204, operationsPerMinute=396.3574658320801
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Tue Jul 05 09:48:04 BST 2016,Tue Jul 05 09:48:04 BST 2016,1.0,1276.595744680851,startup.helloworld,Tue Jul 05 09:48:04 BST 2016,Tue Jul 05 09:48:04 BST 2016,1.0,320.85561497326205,startup.compiler.compiler,Tue Jul 05 09:48:04 BST 2016,Tue Jul 05 09:48:19 BST 2016,1.0,4.064765259806246,startup.compiler.sunflow,Tue Jul 05 09:48:19 BST 2016,Tue Jul 05 09:48:22 BST 2016,1.0,15.957446808510639,startup.compress,Tue Jul 05 09:48:22 BST 2016,Tue Jul 05 09:48:24 BST 2016,1.0,42.73504273504273,startup.crypto.aes,Tue Jul 05 09:48:24 BST 2016,Tue Jul 05 09:48:33 BST 2016,1.0,6.722689075630252,startup.crypto.rsa,Tue Jul 05 09:48:33 BST 2016,Tue Jul 05 09:48:40 BST 2016,1.0,7.879185817465529,startup.crypto.signverify,Tue Jul 05 09:48:40 BST 2016,Tue Jul 05 09:48:47 BST 2016,1.0,8.840430234271402,startup.mpegaudio,Tue Jul 05 09:48:47 BST 2016,Tue Jul 05 09:48:50 BST 2016,1.0,24.65078060805259,startup.scimark.fft,Tue Jul 05 09:48:50 BST 2016,Tue Jul 05 09:48:50 BST 2016,1.0,75.37688442211055,startup.scimark.lu,Tue Jul 05 09:48:50 BST 2016,Tue Jul 05 09:48:51 BST 2016,1.0,61.03763987792472,startup.scimark.monte_carlo,Tue Jul 05 09:48:51 BST 2016,Tue Jul 05 09:48:57 BST 2016,1.0,10.422094841063053,startup.scimark.sor,Tue Jul 05 09:48:57 BST 2016,Tue Jul 05 09:48:59 BST 2016,1.0,39.21568627450981,startup.scimark.sparse,Tue Jul 05 09:48:59 BST 2016,Tue Jul 05 09:49:00 BST 2016,1.0,56.550424128180964,startup.serial,Tue Jul 05 09:49:00 BST 2016,Tue Jul 05 09:49:02 BST 2016,1.0,24.65078060805259,startup.sunflow,Tue Jul 05 09:49:02 BST 2016,Tue Jul 05 09:49:09 BST 2016,1.0,8.943210612609928,startup.xml.transform,Tue Jul 05 09:49:09 BST 2016,Tue Jul 05 09:49:31 BST 2016,1.0,2.772387025228722,startup.xml.validation,Tue Jul 05 09:49:31 BST 2016,Tue Jul 05 09:49:31 BST 2016,1.0,64.1025641025641,compiler.compiler,Tue Jul 05 09:49:42 BST 2016,Tue Jul 05 09:51:42 BST 2016,437.56746405587796,218.78373202793898,Tue Jul 05 09:51:44 BST 2016,Tue Jul 05 09:55:44 BST 2016,893.4087974889577,223.35219937223943,compiler.sunflow,Tue Jul 05 09:55:48 BST 2016,Tue Jul 05 09:57:48 BST 2016,176.66274441905497,88.33137220952749,Tue Jul 05 09:57:52 BST 2016,Tue Jul 05 10:01:52 BST 2016,350.5086011751362,87.62715029378406,compress,Tue Jul 05 10:01:57 BST 2016,Tue Jul 05 10:03:57 BST 2016,297.4787092547447,148.73935462737234,Tue Jul 05 10:03:59 BST 2016,Tue Jul 05 10:07:59 BST 2016,447.02867721103405,111.75716930275851,crypto.aes,Tue Jul 05 10:08:02 BST 2016,Tue Jul 05 10:10:02 BST 2016,105.2057319088759,52.60286595443795,Tue Jul 05 10:10:09 BST 2016,Tue Jul 05 10:14:09 BST 2016,222.55444083611948,55.63861020902987,crypto.rsa,Tue Jul 05 10:14:15 BST 2016,Tue Jul 05 10:16:15 BST 2016,174.97190657096468,87.48595328548234,Tue Jul 05 10:16:18 BST 2016,Tue Jul 05 10:20:18 BST 2016,289.33659452008493,72.33414863002123,crypto.signverify,Tue Jul 05 10:20:23 BST 2016,Tue Jul 05 10:22:23 BST 2016,265.9077762420218,132.9538881210109,Tue Jul 05 10:22:26 BST 2016,Tue Jul 05 10:26:26 BST 2016,611.704311477405,152.92607786935125,derby,Tue Jul 05 10:26:49 BST 2016,Tue Jul 05 10:28:49 BST 2016,273.1453470952493,136.57267354762465,Tue Jul 05 10:28:52 BST 2016,Tue Jul 05 10:32:52 BST 2016,546.8428507368388,136.7107126842097,mpegaudio,Tue Jul 05 10:32:55 BST 2016,Tue Jul 05 10:34:55 BST 2016,155.9860463916183,77.99302319580914,Tue Jul 05 10:35:01 BST 2016,Tue Jul 05 10:39:01 BST 2016,312.5641726444966,78.14104316112414,scimark.fft.large,Tue Jul 05 10:39:06 BST 2016,Tue Jul 05 10:41:06 BST 2016,68.74662803654189,34.373314018270946,Tue Jul 05 10:41:17 BST 2016,Tue Jul 05 10:45:17 BST 2016,116.20464014358294,29.051160035895734,scimark.lu.large,Tue Jul 05 10:45:27 BST 2016,Tue Jul 05 10:47:27 BST 2016,14.08742608449442,7.04371304224721,Tue Jul 05 10:48:26 BST 2016,Tue Jul 05 10:52:26 BST 2016,27.842127468198875,6.960531867049719,scimark.sor.large,Tue Jul 05 10:53:10 BST 2016,Tue Jul 05 10:55:10 BST 2016,57.409472515362495,28.704736257681247,Tue Jul 05 10:55:22 BST 2016,Tue Jul 05 10:59:22 BST 2016,114.54934596246773,28.63733649061693,scimark.sparse.large,Tue Jul 05 10:59:33 BST 2016,Tue Jul 05 11:01:33 BST 2016,43.711626400654204,21.855813200327102,Tue Jul 05 11:01:50 BST 2016,Tue Jul 05 11:05:50 BST 2016,80.13690004398846,20.034225010997115,scimark.fft.small,Tue Jul 05 11:06:04 BST 2016,Tue Jul 05 11:08:04 BST 2016,539.4535048954046,269.7267524477023,Tue Jul 05 11:08:08 BST 2016,Tue Jul 05 11:12:08 BST 2016,1078.4184536948874,269.60461342372184,scimark.lu.small,Tue Jul 05 11:12:10 BST 2016,Tue Jul 05 11:14:10 BST 2016,432.91395717942027,216.45697858971013,Tue Jul 05 11:14:12 BST 2016,Tue Jul 05 11:18:12 BST 2016,865.5833107343133,216.39582768357832,scimark.sor.small,Tue Jul 05 11:18:14 BST 2016,Tue Jul 05 11:20:14 BST 2016,247.8560556727281,123.92802783636405,Tue Jul 05 11:20:30 BST 2016,Tue Jul 05 11:24:30 BST 2016,496.4685634161473,124.11714085403682,scimark.sparse.small,Tue Jul 05 11:24:39 BST 2016,Tue Jul 05 11:26:39 BST 2016,385.964577621649,192.9822888108245,Tue Jul 05 11:26:41 BST 2016,Tue Jul 05 11:30:41 BST 2016,592.9328510216587,148.23321275541468,scimark.monte_carlo,Tue Jul 05 11:30:43 BST 2016,Tue Jul 05 11:32:43 BST 2016,55.888438408093315,27.944219204046657,Tue Jul 05 11:35:35 BST 2016,Tue Jul 05 11:39:35 BST 2016,177.31333544255975,44.32833386063994,serial,Tue Jul 05 11:40:27 BST 2016,Tue Jul 05 11:42:27 BST 2016,180.90309071653158,90.45154535826579,Tue Jul 05 11:42:31 BST 2016,Tue Jul 05 11:46:31 BST 2016,359.06072777710835,89.76518194427709,sunflow,Tue Jul 05 11:46:35 BST 2016,Tue Jul 05 11:48:35 BST 2016,138.40313809901437,69.20156904950719,Tue Jul 05 11:48:37 BST 2016,Tue Jul 05 11:52:37 BST 2016,170.79241150788573,42.69810287697143,xml.transform,Tue Jul 05 11:53:28 BST 2016,Tue Jul 05 11:55:28 BST 2016,392.8325365435267,196.41626827176336,Tue Jul 05 11:55:29 BST 2016,Tue Jul 05 11:59:29 BST 2016,785.884312785191,196.47107819629775,xml.validation,Tue Jul 05 11:59:32 BST 2016,Tue Jul 05 12:01:32 BST 2016,805.8715772663785,402.93578863318925,Tue Jul 05 12:01:32 BST 2016,Tue Jul 05 12:05:32 BST 2016,1585.4298633283204,396.3574658320801
