spec.jvm2008.report.run.location=CASTLEAZES024
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 05:32:06 BST 2016, end=Sat Jun 25 05:32:06 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 05:32:06 BST 2016, end=Sat Jun 25 05:32:06 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 05:32:06 BST 2016, end=Sat Jun 25 05:32:19 BST 2016, operations=1.0, operationsPerMinute=4.622852299869019
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 05:32:19 BST 2016, end=Sat Jun 25 05:32:22 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 05:32:22 BST 2016, end=Sat Jun 25 05:32:24 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 05:32:24 BST 2016, end=Sat Jun 25 05:32:32 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 05:32:32 BST 2016, end=Sat Jun 25 05:32:40 BST 2016, operations=1.0, operationsPerMinute=8.114687584527996
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 05:32:40 BST 2016, end=Sat Jun 25 05:32:46 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 05:32:46 BST 2016, end=Sat Jun 25 05:32:48 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 05:32:48 BST 2016, end=Sat Jun 25 05:32:49 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 05:32:49 BST 2016, end=Sat Jun 25 05:32:50 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 05:32:50 BST 2016, end=Sat Jun 25 05:32:56 BST 2016, operations=1.0, operationsPerMinute=10.773927096426647
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 05:32:56 BST 2016, end=Sat Jun 25 05:32:57 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 05:32:57 BST 2016, end=Sat Jun 25 05:32:58 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 05:32:58 BST 2016, end=Sat Jun 25 05:33:00 BST 2016, operations=1.0, operationsPerMinute=27.272727272727273
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 05:33:00 BST 2016, end=Sat Jun 25 05:33:07 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 05:33:07 BST 2016, end=Sat Jun 25 05:33:27 BST 2016, operations=1.0, operationsPerMinute=2.940599882376005
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 05:33:27 BST 2016, end=Sat Jun 25 05:33:28 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 05:33:38 BST 2016, end=Sat Jun 25 05:35:38 BST 2016, operations=463.1848714188409, operationsPerMinute=231.59243570942044, mode=normal, start=Sat Jun 25 05:35:39 BST 2016, end=Sat Jun 25 05:39:39 BST 2016, operations=956.3616416164773, operationsPerMinute=239.09041040411932
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 05:39:43 BST 2016, end=Sat Jun 25 05:41:43 BST 2016, operations=187.67826490270798, operationsPerMinute=93.83913245135399, mode=normal, start=Sat Jun 25 05:41:46 BST 2016, end=Sat Jun 25 05:45:46 BST 2016, operations=373.7124927608435, operationsPerMinute=93.42812319021087
benchmark-name=compress, mod=warmup, start=Sat Jun 25 05:45:50 BST 2016, end=Sat Jun 25 05:47:50 BST 2016, operations=401.40415056108634, operationsPerMinute=200.70207528054317, mode=normal, start=Sat Jun 25 05:47:52 BST 2016, end=Sat Jun 25 05:51:52 BST 2016, operations=798.0752016397445, operationsPerMinute=199.51880040993612
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 05:51:54 BST 2016, end=Sat Jun 25 05:53:54 BST 2016, operations=139.15297444979768, operationsPerMinute=69.57648722489884, mode=normal, start=Sat Jun 25 05:53:58 BST 2016, end=Sat Jun 25 05:57:58 BST 2016, operations=292.98172252452, operationsPerMinute=73.24543063113
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 05:58:03 BST 2016, end=Sat Jun 25 06:00:03 BST 2016, operations=234.75941295030606, operationsPerMinute=117.37970647515303, mode=normal, start=Sat Jun 25 06:00:07 BST 2016, end=Sat Jun 25 06:04:07 BST 2016, operations=469.53223088476943, operationsPerMinute=117.38305772119236
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 06:04:10 BST 2016, end=Sat Jun 25 06:06:10 BST 2016, operations=406.7060141819509, operationsPerMinute=203.35300709097544, mode=normal, start=Sat Jun 25 06:06:12 BST 2016, end=Sat Jun 25 06:10:12 BST 2016, operations=815.9394574708758, operationsPerMinute=203.98486436771896
benchmark-name=derby, mod=warmup, start=Sat Jun 25 06:10:34 BST 2016, end=Sat Jun 25 06:12:34 BST 2016, operations=360.70464368699663, operationsPerMinute=180.35232184349832, mode=normal, start=Sat Jun 25 06:12:36 BST 2016, end=Sat Jun 25 06:16:36 BST 2016, operations=719.3690273524559, operationsPerMinute=179.84225683811397
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 06:16:38 BST 2016, end=Sat Jun 25 06:18:38 BST 2016, operations=208.18659059162516, operationsPerMinute=104.09329529581258, mode=normal, start=Sat Jun 25 06:18:42 BST 2016, end=Sat Jun 25 06:22:42 BST 2016, operations=416.0180783960583, operationsPerMinute=104.00451959901457
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 06:22:46 BST 2016, end=Sat Jun 25 06:24:46 BST 2016, operations=69.86578538837611, operationsPerMinute=34.932892694188055, mode=normal, start=Sat Jun 25 06:24:53 BST 2016, end=Sat Jun 25 06:28:53 BST 2016, operations=153.19623939780377, operationsPerMinute=38.29905984945094
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 06:29:01 BST 2016, end=Sat Jun 25 06:31:01 BST 2016, operations=13.913783347179175, operationsPerMinute=6.956891673589587, mode=normal, start=Sat Jun 25 06:31:44 BST 2016, end=Sat Jun 25 06:35:44 BST 2016, operations=27.65171987907804, operationsPerMinute=6.91292996976951
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 06:36:21 BST 2016, end=Sat Jun 25 06:38:21 BST 2016, operations=74.58980334377273, operationsPerMinute=37.294901671886365, mode=normal, start=Sat Jun 25 06:38:30 BST 2016, end=Sat Jun 25 06:42:30 BST 2016, operations=149.35171603585945, operationsPerMinute=37.33792900896486
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 06:42:39 BST 2016, end=Sat Jun 25 06:44:39 BST 2016, operations=42.247793163921024, operationsPerMinute=21.123896581960512, mode=normal, start=Sat Jun 25 06:44:52 BST 2016, end=Sat Jun 25 06:48:52 BST 2016, operations=85.2042339315313, operationsPerMinute=21.301058482882826
