spec.jvm2008.report.run.location=ROBLIB079
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:48 BST 2016, end=Sat Jun 04 16:07:48 BST 2016, operations=1.0, operationsPerMinute=740.7407407407408
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:48 BST 2016, end=Sat Jun 04 16:07:49 BST 2016, operations=1.0, operationsPerMinute=124.22360248447205
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:49 BST 2016, end=Sat Jun 04 16:08:09 BST 2016, operations=1.0, operationsPerMinute=2.9306892004102965
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:08:09 BST 2016, end=Sat Jun 04 16:08:14 BST 2016, operations=1.0, operationsPerMinute=12.391573729863692
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:08:14 BST 2016, end=Sat Jun 04 16:08:16 BST 2016, operations=1.0, operationsPerMinute=40.87193460490463
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:08:16 BST 2016, end=Sat Jun 04 16:08:25 BST 2016, operations=1.0, operationsPerMinute=6.433626420759168
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:08:33 BST 2016, operations=1.0, operationsPerMinute=7.785130400934215
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:33 BST 2016, end=Sat Jun 04 16:08:39 BST 2016, operations=1.0, operationsPerMinute=9.033423667570009
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:39 BST 2016, end=Sat Jun 04 16:08:42 BST 2016, operations=1.0, operationsPerMinute=20.81165452653486
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:08:42 BST 2016, end=Sat Jun 04 16:08:43 BST 2016, operations=1.0, operationsPerMinute=63.357972544878564
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:43 BST 2016, end=Sat Jun 04 16:08:44 BST 2016, operations=1.0, operationsPerMinute=51.63511187607573
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:44 BST 2016, end=Sat Jun 04 16:08:51 BST 2016, operations=1.0, operationsPerMinute=9.285051067780874
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:51 BST 2016, end=Sat Jun 04 16:08:52 BST 2016, operations=1.0, operationsPerMinute=36.452004860267316
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:52 BST 2016, end=Sat Jun 04 16:08:54 BST 2016, operations=1.0, operationsPerMinute=49.62779156327544
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:54 BST 2016, end=Sat Jun 04 16:08:56 BST 2016, operations=1.0, operationsPerMinute=21.58273381294964
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:56 BST 2016, end=Sat Jun 04 16:09:03 BST 2016, operations=1.0, operationsPerMinute=8.75912408759124
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:09:03 BST 2016, end=Sat Jun 04 16:09:29 BST 2016, operations=1.0, operationsPerMinute=2.290950744558992
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:09:29 BST 2016, end=Sat Jun 04 16:09:31 BST 2016, operations=1.0, operationsPerMinute=43.54136429608128
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:44 BST 2016, end=Sat Jun 04 16:11:44 BST 2016, operations=398.3783319541734, operationsPerMinute=199.1891659770867, mode=normal, start=Sat Jun 04 16:11:46 BST 2016, end=Sat Jun 04 16:15:46 BST 2016, operations=851.729008336064, operationsPerMinute=212.932252084016
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:51 BST 2016, end=Sat Jun 04 16:17:51 BST 2016, operations=166.67354628498532, operationsPerMinute=83.33677314249266, mode=normal, start=Sat Jun 04 16:17:54 BST 2016, end=Sat Jun 04 16:21:54 BST 2016, operations=334.02257485525604, operationsPerMinute=83.50564371381401
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:59 BST 2016, end=Sat Jun 04 16:23:59 BST 2016, operations=325.28148553803135, operationsPerMinute=162.64074276901567, mode=normal, start=Sat Jun 04 16:24:02 BST 2016, end=Sat Jun 04 16:28:02 BST 2016, operations=650.0290247116484, operationsPerMinute=162.5072561779121
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:28:04 BST 2016, end=Sat Jun 04 16:30:04 BST 2016, operations=114.69649360085218, operationsPerMinute=57.34824680042609, mode=normal, start=Sat Jun 04 16:30:10 BST 2016, end=Sat Jun 04 16:34:10 BST 2016, operations=241.61084317688943, operationsPerMinute=60.40271079422236
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:34:15 BST 2016, end=Sat Jun 04 16:36:15 BST 2016, operations=203.10223829357005, operationsPerMinute=101.55111914678503, mode=normal, start=Sat Jun 04 16:36:18 BST 2016, end=Sat Jun 04 16:40:18 BST 2016, operations=401.8295918146443, operationsPerMinute=100.45739795366107
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:40:22 BST 2016, end=Sat Jun 04 16:42:22 BST 2016, operations=342.32066329386237, operationsPerMinute=171.16033164693118, mode=normal, start=Sat Jun 04 16:42:25 BST 2016, end=Sat Jun 04 16:46:25 BST 2016, operations=687.900395379383, operationsPerMinute=171.97509884484575
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:26 BST 2016, end=Sat Jun 04 16:49:26 BST 2016, operations=254.33721355669715, operationsPerMinute=127.16860677834858, mode=normal, start=Sat Jun 04 16:49:29 BST 2016, end=Sat Jun 04 16:53:29 BST 2016, operations=486.27650182098733, operationsPerMinute=121.56912545524683
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:32 BST 2016, end=Sat Jun 04 16:55:32 BST 2016, operations=166.45503834619225, operationsPerMinute=83.22751917309613, mode=normal, start=Sat Jun 04 16:55:36 BST 2016, end=Sat Jun 04 16:59:36 BST 2016, operations=323.9783563525611, operationsPerMinute=80.99458908814027
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:41 BST 2016, end=Sat Jun 04 17:01:41 BST 2016, operations=108.93844429648284, operationsPerMinute=54.46922214824142, mode=normal, start=Sat Jun 04 17:01:47 BST 2016, end=Sat Jun 04 17:05:47 BST 2016, operations=229.63828847765444, operationsPerMinute=57.40957211941361
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:53 BST 2016, end=Sat Jun 04 17:07:53 BST 2016, operations=23.87891735191356, operationsPerMinute=11.93945867595678, mode=normal, start=Sat Jun 04 17:08:14 BST 2016, end=Sat Jun 04 17:12:14 BST 2016, operations=48.12984632423785, operationsPerMinute=12.032461581059463
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:44 BST 2016, end=Sat Jun 04 17:14:44 BST 2016, operations=65.02427455784782, operationsPerMinute=32.51213727892391, mode=normal, start=Sat Jun 04 17:14:57 BST 2016, end=Sat Jun 04 17:18:57 BST 2016, operations=128.82324873364206, operationsPerMinute=32.205812183410515
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:19:10 BST 2016, end=Sat Jun 04 17:21:10 BST 2016, operations=76.98991525496334, operationsPerMinute=38.49495762748167, mode=normal, start=Sat Jun 04 17:21:19 BST 2016, end=Sat Jun 04 17:25:19 BST 2016, operations=153.86356445404974, operationsPerMinute=38.465891113512434
