spec.jvm2008.report.run.location=BARN-13
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 16:52:25 BST 2016, end=Fri Jul 01 16:52:25 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 16:52:25 BST 2016, end=Fri Jul 01 16:52:25 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 16:52:25 BST 2016, end=Fri Jul 01 16:52:39 BST 2016, operations=1.0, operationsPerMinute=4.461961775860787
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 16:52:39 BST 2016, end=Fri Jul 01 16:52:42 BST 2016, operations=1.0, operationsPerMinute=18.226002430133658
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 16:52:42 BST 2016, end=Fri Jul 01 16:52:43 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 16:52:43 BST 2016, end=Fri Jul 01 16:52:52 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 16:52:52 BST 2016, end=Fri Jul 01 16:52:59 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 16:52:59 BST 2016, end=Fri Jul 01 16:53:06 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 16:53:06 BST 2016, end=Fri Jul 01 16:53:08 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 16:53:08 BST 2016, end=Fri Jul 01 16:53:09 BST 2016, operations=1.0, operationsPerMinute=81.74386920980926
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 16:53:09 BST 2016, end=Fri Jul 01 16:53:09 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 16:53:09 BST 2016, end=Fri Jul 01 16:53:15 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 16:53:15 BST 2016, end=Fri Jul 01 16:53:16 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 16:53:16 BST 2016, end=Fri Jul 01 16:53:17 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 16:53:17 BST 2016, end=Fri Jul 01 16:53:19 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 16:53:19 BST 2016, end=Fri Jul 01 16:53:26 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 16:53:26 BST 2016, end=Fri Jul 01 16:53:46 BST 2016, operations=1.0, operationsPerMinute=2.9931158335827597
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 16:53:46 BST 2016, end=Fri Jul 01 16:53:47 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 16:53:57 BST 2016, end=Fri Jul 01 16:55:57 BST 2016, operations=493.72226356344686, operationsPerMinute=246.86113178172343, mode=normal, start=Fri Jul 01 16:55:59 BST 2016, end=Fri Jul 01 16:59:59 BST 2016, operations=1023.497893634921, operationsPerMinute=255.87447340873024
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 17:00:02 BST 2016, end=Fri Jul 01 17:02:02 BST 2016, operations=199.89981526535703, operationsPerMinute=99.94990763267852, mode=normal, start=Fri Jul 01 17:02:06 BST 2016, end=Fri Jul 01 17:06:06 BST 2016, operations=391.3085959893973, operationsPerMinute=97.82714899734933
benchmark-name=compress, mod=warmup, start=Fri Jul 01 17:06:10 BST 2016, end=Fri Jul 01 17:08:10 BST 2016, operations=399.1382701365299, operationsPerMinute=199.56913506826496, mode=normal, start=Fri Jul 01 17:08:12 BST 2016, end=Fri Jul 01 17:12:12 BST 2016, operations=797.9714595652625, operationsPerMinute=199.49286489131563
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 17:12:13 BST 2016, end=Fri Jul 01 17:14:13 BST 2016, operations=138.80662812296967, operationsPerMinute=69.40331406148483, mode=normal, start=Fri Jul 01 17:14:17 BST 2016, end=Fri Jul 01 17:18:17 BST 2016, operations=292.6737368915013, operationsPerMinute=73.16843422287532
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 17:18:23 BST 2016, end=Fri Jul 01 17:20:23 BST 2016, operations=236.29806232709635, operationsPerMinute=118.14903116354817, mode=normal, start=Fri Jul 01 17:20:27 BST 2016, end=Fri Jul 01 17:24:27 BST 2016, operations=473.1665135557285, operationsPerMinute=118.29162838893212
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 17:24:31 BST 2016, end=Fri Jul 01 17:26:31 BST 2016, operations=407.13247863247864, operationsPerMinute=203.56623931623932, mode=normal, start=Fri Jul 01 17:26:32 BST 2016, end=Fri Jul 01 17:30:32 BST 2016, operations=814.138223520502, operationsPerMinute=203.5345558801255
benchmark-name=derby, mod=warmup, start=Fri Jul 01 17:30:55 BST 2016, end=Fri Jul 01 17:32:55 BST 2016, operations=364.61923616928397, operationsPerMinute=182.30961808464198, mode=normal, start=Fri Jul 01 17:32:57 BST 2016, end=Fri Jul 01 17:36:57 BST 2016, operations=730.8184757906206, operationsPerMinute=182.70461894765515
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 17:36:59 BST 2016, end=Fri Jul 01 17:38:59 BST 2016, operations=207.80201038143295, operationsPerMinute=103.90100519071648, mode=normal, start=Fri Jul 01 17:39:02 BST 2016, end=Fri Jul 01 17:43:02 BST 2016, operations=415.73712419843395, operationsPerMinute=103.93428104960849
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 17:43:06 BST 2016, end=Fri Jul 01 17:45:06 BST 2016, operations=77.53288501130025, operationsPerMinute=38.766442505650126, mode=normal, start=Fri Jul 01 17:45:14 BST 2016, end=Fri Jul 01 17:49:14 BST 2016, operations=157.92184635978754, operationsPerMinute=39.480461589946884
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 17:49:22 BST 2016, end=Fri Jul 01 17:51:22 BST 2016, operations=13.834524347644916, operationsPerMinute=6.917262173822458, mode=normal, start=Fri Jul 01 17:52:06 BST 2016, end=Fri Jul 01 17:56:06 BST 2016, operations=27.795712322181675, operationsPerMinute=6.948928080545419
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 17:56:34 BST 2016, end=Fri Jul 01 17:58:34 BST 2016, operations=74.53562605870445, operationsPerMinute=37.267813029352226, mode=normal, start=Fri Jul 01 17:58:42 BST 2016, end=Fri Jul 01 18:02:42 BST 2016, operations=147.30328274430445, operationsPerMinute=36.82582068607611
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 18:02:53 BST 2016, end=Fri Jul 01 18:04:53 BST 2016, operations=42.09882808525869, operationsPerMinute=21.049414042629344, mode=normal, start=Fri Jul 01 18:05:07 BST 2016, end=Fri Jul 01 18:09:07 BST 2016, operations=84.67347595933964, operationsPerMinute=21.16836898983491
