spec.jvm2008.report.run.location=HULL101
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:20:00 BST 2016, operations=1.0, operationsPerMinute=4.493035794518496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:20:00 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=17.094017094017094
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:13 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:20:13 BST 2016, end=Thu May 26 14:20:20 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:20:20 BST 2016, end=Thu May 26 14:20:27 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:27 BST 2016, end=Thu May 26 14:20:29 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:29 BST 2016, end=Thu May 26 14:20:30 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:30 BST 2016, end=Thu May 26 14:20:31 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:31 BST 2016, end=Thu May 26 14:20:36 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:36 BST 2016, end=Thu May 26 14:20:38 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:38 BST 2016, end=Thu May 26 14:20:39 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:41 BST 2016, operations=1.0, operationsPerMinute=28.585040495474036
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:41 BST 2016, end=Thu May 26 14:20:47 BST 2016, operations=1.0, operationsPerMinute=9.276437847866418
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:47 BST 2016, end=Thu May 26 14:21:08 BST 2016, operations=1.0, operationsPerMinute=2.904865649963689
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:21:08 BST 2016, end=Thu May 26 14:21:09 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:21:20 BST 2016, end=Thu May 26 14:23:20 BST 2016, operations=487.3611667259605, operationsPerMinute=243.68058336298026, mode=normal, start=Thu May 26 14:23:21 BST 2016, end=Thu May 26 14:27:21 BST 2016, operations=952.9900546526683, operationsPerMinute=238.24751366316707
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:27:25 BST 2016, end=Thu May 26 14:29:25 BST 2016, operations=183.07790121507094, operationsPerMinute=91.53895060753547, mode=normal, start=Thu May 26 14:29:27 BST 2016, end=Thu May 26 14:33:27 BST 2016, operations=389.0212352014276, operationsPerMinute=97.2553088003569
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:31 BST 2016, end=Thu May 26 14:35:31 BST 2016, operations=383.4822446594334, operationsPerMinute=191.7411223297167, mode=normal, start=Thu May 26 14:35:32 BST 2016, end=Thu May 26 14:39:32 BST 2016, operations=783.9060377317148, operationsPerMinute=195.9765094329287
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:35 BST 2016, end=Thu May 26 14:41:35 BST 2016, operations=137.47659683656693, operationsPerMinute=68.73829841828346, mode=normal, start=Thu May 26 14:41:40 BST 2016, end=Thu May 26 14:45:40 BST 2016, operations=288.32329055974054, operationsPerMinute=72.08082263993514
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:46 BST 2016, end=Thu May 26 14:47:46 BST 2016, operations=230.1813962210103, operationsPerMinute=115.09069811050514, mode=normal, start=Thu May 26 14:47:49 BST 2016, end=Thu May 26 14:51:49 BST 2016, operations=458.9183763048037, operationsPerMinute=114.72959407620093
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:51 BST 2016, end=Thu May 26 14:53:51 BST 2016, operations=364.03346316131126, operationsPerMinute=182.01673158065563, mode=normal, start=Thu May 26 14:53:53 BST 2016, end=Thu May 26 14:57:53 BST 2016, operations=813.6752136752136, operationsPerMinute=203.4188034188034
benchmark-name=derby, mod=warmup, start=Thu May 26 14:58:15 BST 2016, end=Thu May 26 15:00:15 BST 2016, operations=363.17836542001305, operationsPerMinute=181.58918271000653, mode=normal, start=Thu May 26 15:00:17 BST 2016, end=Thu May 26 15:04:17 BST 2016, operations=732.4751756005761, operationsPerMinute=183.11879390014403
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:04:19 BST 2016, end=Thu May 26 15:06:19 BST 2016, operations=207.94967260001116, operationsPerMinute=103.97483630000558, mode=normal, start=Thu May 26 15:06:23 BST 2016, end=Thu May 26 15:10:23 BST 2016, operations=416.99759646471176, operationsPerMinute=104.24939911617794
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:10:27 BST 2016, end=Thu May 26 15:12:27 BST 2016, operations=70.87531022989273, operationsPerMinute=35.43765511494637, mode=normal, start=Thu May 26 15:12:37 BST 2016, end=Thu May 26 15:16:37 BST 2016, operations=145.09245570857348, operationsPerMinute=36.27311392714337
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:43 BST 2016, end=Thu May 26 15:18:43 BST 2016, operations=13.847440473373673, operationsPerMinute=6.923720236686837, mode=normal, start=Thu May 26 15:19:27 BST 2016, end=Thu May 26 15:23:27 BST 2016, operations=28.024059888018453, operationsPerMinute=7.006014972004613
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:24:08 BST 2016, end=Thu May 26 15:26:08 BST 2016, operations=74.60379761688313, operationsPerMinute=37.301898808441564, mode=normal, start=Thu May 26 15:26:17 BST 2016, end=Thu May 26 15:30:17 BST 2016, operations=148.19610225318095, operationsPerMinute=37.04902556329524
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:30:28 BST 2016, end=Thu May 26 15:32:28 BST 2016, operations=42.529708671456845, operationsPerMinute=21.264854335728423, mode=normal, start=Thu May 26 15:32:40 BST 2016, end=Thu May 26 15:36:40 BST 2016, operations=84.49524966378105, operationsPerMinute=21.123812415945263
