spec.jvm2008.report.run.location=BEDSONTC065
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:05 BST 2016, end=Sat Jun 04 16:05:05 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:05 BST 2016, end=Sat Jun 04 16:05:05 BST 2016, operations=1.0, operationsPerMinute=348.83720930232556
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:05 BST 2016, end=Sat Jun 04 16:05:18 BST 2016, operations=1.0, operationsPerMinute=4.673261157411013
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:18 BST 2016, end=Sat Jun 04 16:05:22 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:05:22 BST 2016, end=Sat Jun 04 16:05:23 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:05:23 BST 2016, end=Sat Jun 04 16:05:31 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:05:31 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:39 BST 2016, end=Sat Jun 04 16:05:45 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:45 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:48 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:48 BST 2016, end=Sat Jun 04 16:05:49 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:49 BST 2016, end=Sat Jun 04 16:05:55 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:55 BST 2016, end=Sat Jun 04 16:05:56 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:56 BST 2016, end=Sat Jun 04 16:05:57 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:57 BST 2016, end=Sat Jun 04 16:05:59 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:59 BST 2016, end=Sat Jun 04 16:06:06 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:06 BST 2016, end=Sat Jun 04 16:06:26 BST 2016, operations=1.0, operationsPerMinute=2.9769288017861575
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:06:26 BST 2016, end=Sat Jun 04 16:06:27 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:36 BST 2016, end=Sat Jun 04 16:08:36 BST 2016, operations=495.12748530707745, operationsPerMinute=247.56374265353872, mode=normal, start=Sat Jun 04 16:08:38 BST 2016, end=Sat Jun 04 16:12:38 BST 2016, operations=1025.8327655785877, operationsPerMinute=256.4581913946469
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:41 BST 2016, end=Sat Jun 04 16:14:41 BST 2016, operations=193.74980709876547, operationsPerMinute=96.87490354938274, mode=normal, start=Sat Jun 04 16:14:45 BST 2016, end=Sat Jun 04 16:18:45 BST 2016, operations=387.23256294405644, operationsPerMinute=96.80814073601411
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:48 BST 2016, end=Sat Jun 04 16:20:48 BST 2016, operations=402.8883576394428, operationsPerMinute=201.4441788197214, mode=normal, start=Sat Jun 04 16:20:50 BST 2016, end=Sat Jun 04 16:24:50 BST 2016, operations=804.9850647652961, operationsPerMinute=201.24626619132403
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:52 BST 2016, end=Sat Jun 04 16:26:52 BST 2016, operations=139.95503893108008, operationsPerMinute=69.97751946554004, mode=normal, start=Sat Jun 04 16:26:58 BST 2016, end=Sat Jun 04 16:30:58 BST 2016, operations=294.4139988393788, operationsPerMinute=73.6034997098447
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:03 BST 2016, end=Sat Jun 04 16:33:03 BST 2016, operations=236.72928658777164, operationsPerMinute=118.36464329388582, mode=normal, start=Sat Jun 04 16:33:06 BST 2016, end=Sat Jun 04 16:37:06 BST 2016, operations=474.36232925349054, operationsPerMinute=118.59058231337264
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:09 BST 2016, end=Sat Jun 04 16:39:09 BST 2016, operations=409.94102564102565, operationsPerMinute=204.97051282051282, mode=normal, start=Sat Jun 04 16:39:11 BST 2016, end=Sat Jun 04 16:43:11 BST 2016, operations=817.7965811965812, operationsPerMinute=204.4491452991453
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:43:34 BST 2016, end=Sat Jun 04 16:45:34 BST 2016, operations=366.7253626777583, operationsPerMinute=183.36268133887916, mode=normal, start=Sat Jun 04 16:45:35 BST 2016, end=Sat Jun 04 16:49:35 BST 2016, operations=736.0483481663424, operationsPerMinute=184.0120870415856
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:38 BST 2016, end=Sat Jun 04 16:51:38 BST 2016, operations=208.25102547187834, operationsPerMinute=104.12551273593917, mode=normal, start=Sat Jun 04 16:51:42 BST 2016, end=Sat Jun 04 16:55:42 BST 2016, operations=417.813398554674, operationsPerMinute=104.4533496386685
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:55:46 BST 2016, end=Sat Jun 04 16:57:46 BST 2016, operations=78.05864111684951, operationsPerMinute=39.02932055842476, mode=normal, start=Sat Jun 04 16:57:54 BST 2016, end=Sat Jun 04 17:01:54 BST 2016, operations=153.19722483853357, operationsPerMinute=38.29930620963339
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:02:02 BST 2016, end=Sat Jun 04 17:04:02 BST 2016, operations=13.9851881963836, operationsPerMinute=6.9925940981918, mode=normal, start=Sat Jun 04 17:04:45 BST 2016, end=Sat Jun 04 17:08:45 BST 2016, operations=27.98719361381864, operationsPerMinute=6.99679840345466
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:09:19 BST 2016, end=Sat Jun 04 17:11:19 BST 2016, operations=75.02235344675205, operationsPerMinute=37.511176723376025, mode=normal, start=Sat Jun 04 17:11:27 BST 2016, end=Sat Jun 04 17:15:27 BST 2016, operations=149.99738223218486, operationsPerMinute=37.499345558046215
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:37 BST 2016, end=Sat Jun 04 17:17:37 BST 2016, operations=42.67917824485266, operationsPerMinute=21.33958912242633, mode=normal, start=Sat Jun 04 17:17:50 BST 2016, end=Sat Jun 04 17:21:50 BST 2016, operations=85.26296546606525, operationsPerMinute=21.315741366516313
