spec.jvm2008.report.run.location=HOPE23
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 03:17:33 BST 2016, end=Fri Jun 24 03:17:33 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 03:17:33 BST 2016, end=Fri Jun 24 03:17:34 BST 2016, operations=1.0, operationsPerMinute=137.61467889908258
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 03:17:34 BST 2016, end=Fri Jun 24 03:17:59 BST 2016, operations=1.0, operationsPerMinute=2.397889856925905
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 03:17:59 BST 2016, end=Fri Jun 24 03:18:04 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 03:18:04 BST 2016, end=Fri Jun 24 03:18:06 BST 2016, operations=1.0, operationsPerMinute=36.27569528415961
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 03:18:06 BST 2016, end=Fri Jun 24 03:18:16 BST 2016, operations=1.0, operationsPerMinute=5.7576048363880625
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 03:18:16 BST 2016, end=Fri Jun 24 03:18:25 BST 2016, operations=1.0, operationsPerMinute=6.783493499152064
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 03:18:25 BST 2016, end=Fri Jun 24 03:18:33 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 03:18:33 BST 2016, end=Fri Jun 24 03:18:36 BST 2016, operations=1.0, operationsPerMinute=18.76172607879925
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 03:18:36 BST 2016, end=Fri Jun 24 03:18:37 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 03:18:37 BST 2016, end=Fri Jun 24 03:18:38 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 03:18:38 BST 2016, end=Fri Jun 24 03:18:45 BST 2016, operations=1.0, operationsPerMinute=8.82223202470225
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 03:18:45 BST 2016, end=Fri Jun 24 03:18:47 BST 2016, operations=1.0, operationsPerMinute=34.32494279176201
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 03:18:47 BST 2016, end=Fri Jun 24 03:18:48 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 03:18:48 BST 2016, end=Fri Jun 24 03:18:51 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 03:18:51 BST 2016, end=Fri Jun 24 03:18:59 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 03:18:59 BST 2016, end=Fri Jun 24 03:19:28 BST 2016, operations=1.0, operationsPerMinute=2.0611473720371007
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 03:19:28 BST 2016, end=Fri Jun 24 03:19:29 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 03:19:46 BST 2016, end=Fri Jun 24 03:21:46 BST 2016, operations=341.98902590658804, operationsPerMinute=170.99451295329402, mode=normal, start=Fri Jun 24 03:21:47 BST 2016, end=Fri Jun 24 03:25:47 BST 2016, operations=710.1774128625467, operationsPerMinute=177.54435321563668
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 03:25:55 BST 2016, end=Fri Jun 24 03:27:55 BST 2016, operations=132.63331860635344, operationsPerMinute=66.31665930317672, mode=normal, start=Fri Jun 24 03:27:59 BST 2016, end=Fri Jun 24 03:31:59 BST 2016, operations=262.315307609945, operationsPerMinute=65.57882690248626
benchmark-name=compress, mod=warmup, start=Fri Jun 24 03:32:06 BST 2016, end=Fri Jun 24 03:34:06 BST 2016, operations=269.8658230287654, operationsPerMinute=134.9329115143827, mode=normal, start=Fri Jun 24 03:34:08 BST 2016, end=Fri Jun 24 03:38:08 BST 2016, operations=537.400715715843, operationsPerMinute=134.35017892896076
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 03:38:11 BST 2016, end=Fri Jun 24 03:40:11 BST 2016, operations=85.39640213333314, operationsPerMinute=42.69820106666657, mode=normal, start=Fri Jun 24 03:40:20 BST 2016, end=Fri Jun 24 03:44:20 BST 2016, operations=180.5359099644291, operationsPerMinute=45.133977491107274
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:44:29 BST 2016, end=Fri Jun 24 03:46:29 BST 2016, operations=145.9896778576619, operationsPerMinute=72.99483892883094, mode=normal, start=Fri Jun 24 03:46:33 BST 2016, end=Fri Jun 24 03:50:33 BST 2016, operations=292.1004070452212, operationsPerMinute=73.0251017613053
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:50:39 BST 2016, end=Fri Jun 24 03:52:39 BST 2016, operations=251.01830926461423, operationsPerMinute=125.50915463230712, mode=normal, start=Fri Jun 24 03:52:42 BST 2016, end=Fri Jun 24 03:56:42 BST 2016, operations=502.9472268258395, operationsPerMinute=125.73680670645987
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:58:12 BST 2016, end=Fri Jun 24 04:00:12 BST 2016, operations=204.27804891779854, operationsPerMinute=102.13902445889927, mode=normal, start=Fri Jun 24 04:00:16 BST 2016, end=Fri Jun 24 04:04:16 BST 2016, operations=407.48440655785174, operationsPerMinute=101.87110163946294
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 04:04:21 BST 2016, end=Fri Jun 24 04:06:21 BST 2016, operations=133.72937276160303, operationsPerMinute=66.86468638080152, mode=normal, start=Fri Jun 24 04:06:26 BST 2016, end=Fri Jun 24 04:10:26 BST 2016, operations=267.74334352824894, operationsPerMinute=66.93583588206224
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 04:10:32 BST 2016, end=Fri Jun 24 04:12:32 BST 2016, operations=55.90084725696995, operationsPerMinute=27.950423628484977, mode=normal, start=Fri Jun 24 04:12:44 BST 2016, end=Fri Jun 24 04:16:44 BST 2016, operations=118.05627185398073, operationsPerMinute=29.514067963495183
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 04:16:56 BST 2016, end=Fri Jun 24 04:18:56 BST 2016, operations=11.513491392563559, operationsPerMinute=5.756745696281779, mode=normal, start=Fri Jun 24 04:19:43 BST 2016, end=Fri Jun 24 04:23:43 BST 2016, operations=22.885954156302994, operationsPerMinute=5.721488539075748
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 04:24:25 BST 2016, end=Fri Jun 24 04:26:25 BST 2016, operations=54.993095278746736, operationsPerMinute=27.496547639373368, mode=normal, start=Fri Jun 24 04:26:36 BST 2016, end=Fri Jun 24 04:30:36 BST 2016, operations=109.73799373561901, operationsPerMinute=27.434498433904754
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 04:30:49 BST 2016, end=Fri Jun 24 04:32:49 BST 2016, operations=37.22784656508355, operationsPerMinute=18.613923282541776, mode=normal, start=Fri Jun 24 04:33:08 BST 2016, end=Fri Jun 24 04:37:08 BST 2016, operations=74.51402924505398, operationsPerMinute=18.628507311263494
