spec.jvm2008.report.run.location=BARN-11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=4.725153567490944
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:39 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:39 BST 2016, end=Fri Jun 03 15:02:41 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:41 BST 2016, end=Fri Jun 03 15:02:49 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:49 BST 2016, end=Fri Jun 03 15:02:57 BST 2016, operations=1.0, operationsPerMinute=7.930214115781126
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:57 BST 2016, end=Fri Jun 03 15:03:03 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:03 BST 2016, end=Fri Jun 03 15:03:06 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:06 BST 2016, end=Fri Jun 03 15:03:06 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:06 BST 2016, end=Fri Jun 03 15:03:07 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:07 BST 2016, end=Fri Jun 03 15:03:13 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:13 BST 2016, end=Fri Jun 03 15:03:14 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:14 BST 2016, end=Fri Jun 03 15:03:15 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:15 BST 2016, end=Fri Jun 03 15:03:17 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:17 BST 2016, end=Fri Jun 03 15:03:24 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:24 BST 2016, end=Fri Jun 03 15:03:44 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:44 BST 2016, end=Fri Jun 03 15:03:44 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:55 BST 2016, end=Fri Jun 03 15:05:55 BST 2016, operations=486.6938614905773, operationsPerMinute=243.34693074528866, mode=normal, start=Fri Jun 03 15:05:56 BST 2016, end=Fri Jun 03 15:09:56 BST 2016, operations=994.396696164925, operationsPerMinute=248.59917404123124
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:00 BST 2016, end=Fri Jun 03 15:12:00 BST 2016, operations=201.65985101395816, operationsPerMinute=100.82992550697908, mode=normal, start=Fri Jun 03 15:12:04 BST 2016, end=Fri Jun 03 15:16:04 BST 2016, operations=387.1850272329353, operationsPerMinute=96.79625680823382
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:08 BST 2016, end=Fri Jun 03 15:18:08 BST 2016, operations=398.7062427723502, operationsPerMinute=199.3531213861751, mode=normal, start=Fri Jun 03 15:18:10 BST 2016, end=Fri Jun 03 15:22:10 BST 2016, operations=798.4914092524868, operationsPerMinute=199.6228523131217
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:12 BST 2016, end=Fri Jun 03 15:24:12 BST 2016, operations=138.4211138418506, operationsPerMinute=69.2105569209253, mode=normal, start=Fri Jun 03 15:24:17 BST 2016, end=Fri Jun 03 15:28:17 BST 2016, operations=292.34906140268464, operationsPerMinute=73.08726535067116
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:21 BST 2016, end=Fri Jun 03 15:30:21 BST 2016, operations=233.72267074341903, operationsPerMinute=116.86133537170952, mode=normal, start=Fri Jun 03 15:30:24 BST 2016, end=Fri Jun 03 15:34:24 BST 2016, operations=466.42391468624214, operationsPerMinute=116.60597867156054
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:28 BST 2016, end=Fri Jun 03 15:36:28 BST 2016, operations=405.661034000663, operationsPerMinute=202.8305170003315, mode=normal, start=Fri Jun 03 15:36:30 BST 2016, end=Fri Jun 03 15:40:30 BST 2016, operations=810.914473899282, operationsPerMinute=202.7286184748205
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:53 BST 2016, end=Fri Jun 03 15:42:53 BST 2016, operations=352.09512647228564, operationsPerMinute=176.04756323614282, mode=normal, start=Fri Jun 03 15:42:55 BST 2016, end=Fri Jun 03 15:46:55 BST 2016, operations=708.4886526236046, operationsPerMinute=177.12216315590115
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:57 BST 2016, end=Fri Jun 03 15:48:57 BST 2016, operations=208.09143821263314, operationsPerMinute=104.04571910631657, mode=normal, start=Fri Jun 03 15:49:01 BST 2016, end=Fri Jun 03 15:53:01 BST 2016, operations=416.4506100901073, operationsPerMinute=104.11265252252683
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:05 BST 2016, end=Fri Jun 03 15:55:05 BST 2016, operations=78.74147612750052, operationsPerMinute=39.37073806375026, mode=normal, start=Fri Jun 03 15:55:11 BST 2016, end=Fri Jun 03 15:59:11 BST 2016, operations=154.73582558136593, operationsPerMinute=38.68395639534148
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:18 BST 2016, end=Fri Jun 03 16:01:18 BST 2016, operations=13.78382921104716, operationsPerMinute=6.89191460552358, mode=normal, start=Fri Jun 03 16:02:04 BST 2016, end=Fri Jun 03 16:06:04 BST 2016, operations=27.837616017398034, operationsPerMinute=6.9594040043495085
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:49 BST 2016, end=Fri Jun 03 16:08:49 BST 2016, operations=74.37314418931024, operationsPerMinute=37.18657209465512, mode=normal, start=Fri Jun 03 16:08:59 BST 2016, end=Fri Jun 03 16:12:59 BST 2016, operations=146.89238353417736, operationsPerMinute=36.72309588354434
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:09 BST 2016, end=Fri Jun 03 16:15:09 BST 2016, operations=42.61598475649078, operationsPerMinute=21.30799237824539, mode=normal, start=Fri Jun 03 16:15:21 BST 2016, end=Fri Jun 03 16:19:21 BST 2016, operations=86.07159067601317, operationsPerMinute=21.517897669003293
