spec.jvm2008.report.run.location=GLAZIER16
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 00:22:08 BST 2016, end=Fri Jun 24 00:22:08 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:22:08 BST 2016, end=Fri Jun 24 00:22:09 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:22:09 BST 2016, end=Fri Jun 24 00:22:26 BST 2016, operations=1.0, operationsPerMinute=3.490198359606771
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 00:22:26 BST 2016, end=Fri Jun 24 00:22:31 BST 2016, operations=1.0, operationsPerMinute=13.986013986013987
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 00:22:31 BST 2016, end=Fri Jun 24 00:22:32 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 00:22:32 BST 2016, end=Fri Jun 24 00:22:42 BST 2016, operations=1.0, operationsPerMinute=6.2131096613855235
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 00:22:42 BST 2016, end=Fri Jun 24 00:22:49 BST 2016, operations=1.0, operationsPerMinute=7.708119218910586
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 00:22:49 BST 2016, end=Fri Jun 24 00:22:56 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 00:22:56 BST 2016, end=Fri Jun 24 00:22:59 BST 2016, operations=1.0, operationsPerMinute=21.731256791017746
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 00:22:59 BST 2016, end=Fri Jun 24 00:23:00 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 00:23:00 BST 2016, end=Fri Jun 24 00:23:01 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 00:23:01 BST 2016, end=Fri Jun 24 00:23:07 BST 2016, operations=1.0, operationsPerMinute=9.88793671720501
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 00:23:07 BST 2016, end=Fri Jun 24 00:23:09 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 00:23:09 BST 2016, end=Fri Jun 24 00:23:10 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 00:23:10 BST 2016, end=Fri Jun 24 00:23:12 BST 2016, operations=1.0, operationsPerMinute=22.900763358778626
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 00:23:12 BST 2016, end=Fri Jun 24 00:23:19 BST 2016, operations=1.0, operationsPerMinute=8.584919158677922
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 00:23:19 BST 2016, end=Fri Jun 24 00:23:45 BST 2016, operations=1.0, operationsPerMinute=2.369761838935187
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 00:23:45 BST 2016, end=Fri Jun 24 00:23:46 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 00:23:58 BST 2016, end=Fri Jun 24 00:25:58 BST 2016, operations=413.0279626945653, operationsPerMinute=206.51398134728265, mode=normal, start=Fri Jun 24 00:26:00 BST 2016, end=Fri Jun 24 00:30:00 BST 2016, operations=838.7635383308708, operationsPerMinute=209.6908845827177
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 00:30:05 BST 2016, end=Fri Jun 24 00:32:05 BST 2016, operations=168.13990688624833, operationsPerMinute=84.06995344312416, mode=normal, start=Fri Jun 24 00:32:10 BST 2016, end=Fri Jun 24 00:36:10 BST 2016, operations=328.60323786137025, operationsPerMinute=82.15080946534256
benchmark-name=compress, mod=warmup, start=Fri Jun 24 00:36:14 BST 2016, end=Fri Jun 24 00:38:14 BST 2016, operations=352.7412562193616, operationsPerMinute=176.3706281096808, mode=normal, start=Fri Jun 24 00:38:17 BST 2016, end=Fri Jun 24 00:42:17 BST 2016, operations=705.2990239318272, operationsPerMinute=176.3247559829568
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 00:42:19 BST 2016, end=Fri Jun 24 00:44:19 BST 2016, operations=117.005447243515, operationsPerMinute=58.5027236217575, mode=normal, start=Fri Jun 24 00:44:26 BST 2016, end=Fri Jun 24 00:48:26 BST 2016, operations=245.95157476834095, operationsPerMinute=61.48789369208524
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 00:48:31 BST 2016, end=Fri Jun 24 00:50:31 BST 2016, operations=206.43079800934436, operationsPerMinute=103.21539900467218, mode=normal, start=Fri Jun 24 00:50:35 BST 2016, end=Fri Jun 24 00:54:35 BST 2016, operations=412.5071109413062, operationsPerMinute=103.12677773532656
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 00:54:38 BST 2016, end=Fri Jun 24 00:56:38 BST 2016, operations=353.81209955922816, operationsPerMinute=176.90604977961408, mode=normal, start=Fri Jun 24 00:56:40 BST 2016, end=Fri Jun 24 01:00:40 BST 2016, operations=707.1547355600535, operationsPerMinute=176.78868389001337
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:01:50 BST 2016, end=Fri Jun 24 01:03:50 BST 2016, operations=256.7766729647701, operationsPerMinute=128.38833648238506, mode=normal, start=Fri Jun 24 01:03:53 BST 2016, end=Fri Jun 24 01:07:53 BST 2016, operations=516.4113282693659, operationsPerMinute=129.10283206734147
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:07:57 BST 2016, end=Fri Jun 24 01:09:57 BST 2016, operations=174.2322344322344, operationsPerMinute=87.1161172161172, mode=normal, start=Fri Jun 24 01:10:01 BST 2016, end=Fri Jun 24 01:14:01 BST 2016, operations=344.31499907191176, operationsPerMinute=86.07874976797794
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:14:05 BST 2016, end=Fri Jun 24 01:16:05 BST 2016, operations=96.0331452765723, operationsPerMinute=48.01657263828615, mode=normal, start=Fri Jun 24 01:16:13 BST 2016, end=Fri Jun 24 01:20:13 BST 2016, operations=205.89779721625604, operationsPerMinute=51.47444930406401
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:20:18 BST 2016, end=Fri Jun 24 01:22:18 BST 2016, operations=21.61123698841989, operationsPerMinute=10.805618494209945, mode=normal, start=Fri Jun 24 01:22:48 BST 2016, end=Fri Jun 24 01:26:48 BST 2016, operations=43.06150084719897, operationsPerMinute=10.765375211799743
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 01:27:15 BST 2016, end=Fri Jun 24 01:29:15 BST 2016, operations=69.59078280040521, operationsPerMinute=34.795391400202604, mode=normal, start=Fri Jun 24 01:29:26 BST 2016, end=Fri Jun 24 01:33:26 BST 2016, operations=139.23200085615156, operationsPerMinute=34.80800021403789
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 01:33:34 BST 2016, end=Fri Jun 24 01:35:34 BST 2016, operations=72.44933232095158, operationsPerMinute=36.22466616047579, mode=normal, start=Fri Jun 24 01:35:42 BST 2016, end=Fri Jun 24 01:39:42 BST 2016, operations=144.89544820471508, operationsPerMinute=36.22386205117877
