spec.jvm2008.report.run.location=HULL87
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sat Jun 04 08:30:32 BST 2016, end=Sat Jun 04 08:30:33 BST 2016, operations=1.0, operationsPerMinute=500.0
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:30:33 BST 2016, end=Sat Jun 04 08:30:34 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:30:34 BST 2016, end=Sat Jun 04 08:30:59 BST 2016, operations=1.0, operationsPerMinute=2.3804800634794683
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:30:59 BST 2016, end=Sat Jun 04 08:31:05 BST 2016, operations=1.0, operationsPerMinute=10.555946516537649
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:31:05 BST 2016, end=Sat Jun 04 08:31:06 BST 2016, operations=1.0, operationsPerMinute=35.92814371257485
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:31:06 BST 2016, end=Sat Jun 04 08:31:17 BST 2016, operations=1.0, operationsPerMinute=5.689360895126114
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:31:17 BST 2016, end=Sat Jun 04 08:31:26 BST 2016, operations=1.0, operationsPerMinute=6.680026720106881
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:31:26 BST 2016, end=Sat Jun 04 08:31:33 BST 2016, operations=1.0, operationsPerMinute=8.388088913742486
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:31:33 BST 2016, end=Sat Jun 04 08:31:36 BST 2016, operations=1.0, operationsPerMinute=18.12688821752266
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:31:36 BST 2016, end=Sat Jun 04 08:31:37 BST 2016, operations=1.0, operationsPerMinute=63.1578947368421
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:31:37 BST 2016, end=Sat Jun 04 08:31:39 BST 2016, operations=1.0, operationsPerMinute=48.0
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:31:39 BST 2016, end=Sat Jun 04 08:31:46 BST 2016, operations=1.0, operationsPerMinute=8.695652173913043
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:31:46 BST 2016, end=Sat Jun 04 08:31:47 BST 2016, operations=1.0, operationsPerMinute=33.70786516853933
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:31:47 BST 2016, end=Sat Jun 04 08:31:49 BST 2016, operations=1.0, operationsPerMinute=41.0958904109589
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:31:49 BST 2016, end=Sat Jun 04 08:31:52 BST 2016, operations=1.0, operationsPerMinute=18.633540372670808
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:31:52 BST 2016, end=Sat Jun 04 08:31:59 BST 2016, operations=1.0, operationsPerMinute=8.119079837618404
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:31:59 BST 2016, end=Sat Jun 04 08:32:30 BST 2016, operations=1.0, operationsPerMinute=1.949634443541836
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:32:30 BST 2016, end=Sat Jun 04 08:32:32 BST 2016, operations=1.0, operationsPerMinute=38.70967741935484
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:32:49 BST 2016, end=Sat Jun 04 08:34:49 BST 2016, operations=322.5277864076106, operationsPerMinute=161.2638932038053, mode=normal, start=Sat Jun 04 08:34:51 BST 2016, end=Sat Jun 04 08:38:51 BST 2016, operations=624.30091174481, operationsPerMinute=156.0752279362025
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:38:57 BST 2016, end=Sat Jun 04 08:40:57 BST 2016, operations=130.86269283465748, operationsPerMinute=65.43134641732874, mode=normal, start=Sat Jun 04 08:41:01 BST 2016, end=Sat Jun 04 08:45:01 BST 2016, operations=249.16109012805825, operationsPerMinute=62.29027253201456
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:45:08 BST 2016, end=Sat Jun 04 08:47:08 BST 2016, operations=237.72868627775364, operationsPerMinute=118.86434313887682, mode=normal, start=Sat Jun 04 08:47:11 BST 2016, end=Sat Jun 04 08:51:11 BST 2016, operations=478.0634125361668, operationsPerMinute=119.5158531340417
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:51:15 BST 2016, end=Sat Jun 04 08:53:15 BST 2016, operations=69.60471029796149, operationsPerMinute=34.802355148980745, mode=normal, start=Sat Jun 04 08:53:25 BST 2016, end=Sat Jun 04 08:57:25 BST 2016, operations=162.5894923004259, operationsPerMinute=40.64737307510647
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:57:33 BST 2016, end=Sat Jun 04 08:59:33 BST 2016, operations=129.57746857869145, operationsPerMinute=64.78873428934573, mode=normal, start=Sat Jun 04 08:59:39 BST 2016, end=Sat Jun 04 09:03:39 BST 2016, operations=252.60148832592066, operationsPerMinute=63.150372081480164
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:03:44 BST 2016, end=Sat Jun 04 09:05:44 BST 2016, operations=227.0656247155429, operationsPerMinute=113.53281235777145, mode=normal, start=Sat Jun 04 09:05:48 BST 2016, end=Sat Jun 04 09:09:48 BST 2016, operations=423.49813593397397, operationsPerMinute=105.87453398349349
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:11:22 BST 2016, end=Sat Jun 04 09:13:22 BST 2016, operations=145.4203012289588, operationsPerMinute=72.7101506144794, mode=normal, start=Sat Jun 04 09:13:27 BST 2016, end=Sat Jun 04 09:17:27 BST 2016, operations=326.68363802647355, operationsPerMinute=81.67090950661839
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:17:33 BST 2016, end=Sat Jun 04 09:19:33 BST 2016, operations=120.42449207221651, operationsPerMinute=60.212246036108255, mode=normal, start=Sat Jun 04 09:19:40 BST 2016, end=Sat Jun 04 09:23:40 BST 2016, operations=241.27586451051272, operationsPerMinute=60.31896612762818
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:23:46 BST 2016, end=Sat Jun 04 09:25:46 BST 2016, operations=54.36828097345548, operationsPerMinute=27.18414048672774, mode=normal, start=Sat Jun 04 09:25:58 BST 2016, end=Sat Jun 04 09:29:58 BST 2016, operations=115.78478634240123, operationsPerMinute=28.94619658560031
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:30:12 BST 2016, end=Sat Jun 04 09:32:12 BST 2016, operations=9.892794830386096, operationsPerMinute=4.946397415193048, mode=normal, start=Sat Jun 04 09:37:13 BST 2016, end=Sat Jun 04 09:41:13 BST 2016, operations=12.996435139733517, operationsPerMinute=3.2491087849333793
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:43:15 BST 2016, end=Sat Jun 04 09:45:15 BST 2016, operations=33.493224071625804, operationsPerMinute=16.746612035812902, mode=normal, start=Sat Jun 04 09:45:41 BST 2016, end=Sat Jun 04 09:49:41 BST 2016, operations=94.30990644512018, operationsPerMinute=23.577476611280044
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:49:54 BST 2016, end=Sat Jun 04 09:51:54 BST 2016, operations=34.495997949995676, operationsPerMinute=17.247998974997838, mode=normal, start=Sat Jun 04 09:52:15 BST 2016, end=Sat Jun 04 09:56:15 BST 2016, operations=66.66787695893697, operationsPerMinute=16.666969239734243
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:57:56 BST 2016, end=Sat Jun 04 09:59:56 BST 2016, operations=467.82712140054366, operationsPerMinute=233.91356070027183, mode=normal, start=Sat Jun 04 09:59:58 BST 2016, end=Sat Jun 04 10:03:58 BST 2016, operations=922.0412495155739, operationsPerMinute=230.51031237889347
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 10:04:00 BST 2016, end=Sat Jun 04 10:06:00 BST 2016, operations=337.5214690796431, operationsPerMinute=168.76073453982156, mode=normal, start=Sat Jun 04 10:06:03 BST 2016, end=Sat Jun 04 10:10:03 BST 2016, operations=662.7930945599243, operationsPerMinute=165.69827363998107
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 10:10:05 BST 2016, end=Sat Jun 04 10:12:05 BST 2016, operations=223.7640337379537, operationsPerMinute=111.88201686897685, mode=normal, start=Sat Jun 04 10:12:08 BST 2016, end=Sat Jun 04 10:16:08 BST 2016, operations=433.7338991678226, operationsPerMinute=108.43347479195565
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:16:11 BST 2016, end=Sat Jun 04 10:18:11 BST 2016, operations=285.2016981100434, operationsPerMinute=142.6008490550217, mode=normal, start=Sat Jun 04 10:18:15 BST 2016, end=Sat Jun 04 10:22:15 BST 2016, operations=569.7825871688838, operationsPerMinute=142.44564679222094
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:22:17 BST 2016, end=Sat Jun 04 10:24:17 BST 2016, operations=72.83445363403727, operationsPerMinute=36.41722681701864, mode=normal, start=Sat Jun 04 10:24:26 BST 2016, end=Sat Jun 04 10:28:26 BST 2016, operations=145.24701797323772, operationsPerMinute=36.31175449330943
benchmark-name=serial, mod=warmup, start=Sat Jun 04 10:28:36 BST 2016, end=Sat Jun 04 10:30:36 BST 2016, operations=130.54728951284883, operationsPerMinute=65.27364475642442, mode=normal, start=Sat Jun 04 10:30:41 BST 2016, end=Sat Jun 04 10:34:41 BST 2016, operations=253.51592087657963, operationsPerMinute=63.37898021914491
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 10:34:49 BST 2016, end=Sat Jun 04 10:36:49 BST 2016, operations=99.34435737966265, operationsPerMinute=49.67217868983133, mode=normal, start=Sat Jun 04 10:36:52 BST 2016, end=Sat Jun 04 10:40:52 BST 2016, operations=199.13676133103843, operationsPerMinute=49.78419033275961
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 10:41:26 BST 2016, end=Sat Jun 04 10:43:26 BST 2016, operations=304.7998446848975, operationsPerMinute=152.39992234244875, mode=normal, start=Sat Jun 04 10:43:28 BST 2016, end=Sat Jun 04 10:47:28 BST 2016, operations=580.6067193774552, operationsPerMinute=145.1516798443638
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 04 10:47:31 BST 2016, end=Sat Jun 04 10:49:31 BST 2016, operations=472.9296803132482, operationsPerMinute=236.4648401566241, mode=normal, start=Sat Jun 04 10:49:33 BST 2016, end=Sat Jun 04 10:53:33 BST 2016, operations=933.0261988575603, operationsPerMinute=233.25654971439008
