spec.jvm2008.report.run.location=KINGS07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 19:10:45 BST 2016, end=Fri Jun 24 19:10:45 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 19:10:45 BST 2016, end=Fri Jun 24 19:10:45 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 19:10:45 BST 2016, end=Fri Jun 24 19:11:06 BST 2016, operations=1.0, operationsPerMinute=2.909231962761831
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 19:11:06 BST 2016, end=Fri Jun 24 19:11:10 BST 2016, operations=1.0, operationsPerMinute=14.906832298136646
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 19:11:10 BST 2016, end=Fri Jun 24 19:11:11 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 19:11:11 BST 2016, end=Fri Jun 24 19:11:20 BST 2016, operations=1.0, operationsPerMinute=6.747638326585695
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 19:11:20 BST 2016, end=Fri Jun 24 19:11:28 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 19:11:28 BST 2016, end=Fri Jun 24 19:11:35 BST 2016, operations=1.0, operationsPerMinute=8.800234672924612
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 19:11:35 BST 2016, end=Fri Jun 24 19:11:37 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 19:11:37 BST 2016, end=Fri Jun 24 19:11:38 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 19:11:38 BST 2016, end=Fri Jun 24 19:11:39 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 19:11:39 BST 2016, end=Fri Jun 24 19:11:45 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 19:11:45 BST 2016, end=Fri Jun 24 19:11:47 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 19:11:47 BST 2016, end=Fri Jun 24 19:11:48 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 19:11:48 BST 2016, end=Fri Jun 24 19:11:51 BST 2016, operations=1.0, operationsPerMinute=23.455824863174357
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 19:11:51 BST 2016, end=Fri Jun 24 19:11:57 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 19:11:57 BST 2016, end=Fri Jun 24 19:12:21 BST 2016, operations=1.0, operationsPerMinute=2.525252525252525
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 19:12:21 BST 2016, end=Fri Jun 24 19:12:22 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 19:12:36 BST 2016, end=Fri Jun 24 19:14:36 BST 2016, operations=429.26715491789014, operationsPerMinute=214.63357745894507, mode=normal, start=Fri Jun 24 19:14:37 BST 2016, end=Fri Jun 24 19:18:37 BST 2016, operations=895.6973806372242, operationsPerMinute=223.92434515930606
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 19:18:42 BST 2016, end=Fri Jun 24 19:20:42 BST 2016, operations=175.56043220314615, operationsPerMinute=87.78021610157307, mode=normal, start=Fri Jun 24 19:20:46 BST 2016, end=Fri Jun 24 19:24:46 BST 2016, operations=352.1835069780322, operationsPerMinute=88.04587674450805
benchmark-name=compress, mod=warmup, start=Fri Jun 24 19:24:50 BST 2016, end=Fri Jun 24 19:26:50 BST 2016, operations=373.3001615680763, operationsPerMinute=186.65008078403815, mode=normal, start=Fri Jun 24 19:26:52 BST 2016, end=Fri Jun 24 19:30:52 BST 2016, operations=749.2307530747904, operationsPerMinute=187.3076882686976
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 19:30:54 BST 2016, end=Fri Jun 24 19:32:54 BST 2016, operations=123.30974579522419, operationsPerMinute=61.654872897612094, mode=normal, start=Fri Jun 24 19:33:00 BST 2016, end=Fri Jun 24 19:37:00 BST 2016, operations=260.08719381342235, operationsPerMinute=65.02179845335559
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 19:37:06 BST 2016, end=Fri Jun 24 19:39:06 BST 2016, operations=218.53737166410002, operationsPerMinute=109.26868583205001, mode=normal, start=Fri Jun 24 19:39:09 BST 2016, end=Fri Jun 24 19:43:09 BST 2016, operations=437.8562693456605, operationsPerMinute=109.46406733641513
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 19:43:12 BST 2016, end=Fri Jun 24 19:45:12 BST 2016, operations=374.8004745854872, operationsPerMinute=187.4002372927436, mode=normal, start=Fri Jun 24 19:45:14 BST 2016, end=Fri Jun 24 19:49:14 BST 2016, operations=749.4428955155133, operationsPerMinute=187.36072387887833
benchmark-name=derby, mod=warmup, start=Fri Jun 24 19:50:32 BST 2016, end=Fri Jun 24 19:52:32 BST 2016, operations=273.98260671079663, operationsPerMinute=136.99130335539832, mode=normal, start=Fri Jun 24 19:52:34 BST 2016, end=Fri Jun 24 19:56:34 BST 2016, operations=549.0559199696786, operationsPerMinute=137.26397999241965
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 19:56:37 BST 2016, end=Fri Jun 24 19:58:37 BST 2016, operations=184.04467229181265, operationsPerMinute=92.02233614590632, mode=normal, start=Fri Jun 24 19:58:42 BST 2016, end=Fri Jun 24 20:02:42 BST 2016, operations=368.1444953156132, operationsPerMinute=92.0361238289033
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 20:02:47 BST 2016, end=Fri Jun 24 20:04:47 BST 2016, operations=107.03483235148289, operationsPerMinute=53.517416175741445, mode=normal, start=Fri Jun 24 20:04:52 BST 2016, end=Fri Jun 24 20:08:52 BST 2016, operations=208.91570171181033, operationsPerMinute=52.22892542795258
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 20:08:58 BST 2016, end=Fri Jun 24 20:10:58 BST 2016, operations=21.614281568651503, operationsPerMinute=10.807140784325751, mode=normal, start=Fri Jun 24 20:11:28 BST 2016, end=Fri Jun 24 20:15:28 BST 2016, operations=43.02883616052894, operationsPerMinute=10.757209040132235
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 20:15:50 BST 2016, end=Fri Jun 24 20:17:50 BST 2016, operations=73.69308601056932, operationsPerMinute=36.84654300528466, mode=normal, start=Fri Jun 24 20:18:00 BST 2016, end=Fri Jun 24 20:22:00 BST 2016, operations=147.4579675661326, operationsPerMinute=36.86449189153315
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 20:22:09 BST 2016, end=Fri Jun 24 20:24:09 BST 2016, operations=72.48448459628602, operationsPerMinute=36.24224229814301, mode=normal, start=Fri Jun 24 20:24:20 BST 2016, end=Fri Jun 24 20:28:20 BST 2016, operations=144.9045272394135, operationsPerMinute=36.22613180985338
