spec.jvm2008.report.run.location=BEDSONTC058
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:10 BST 2016, end=Thu May 26 14:19:10 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:10 BST 2016, end=Thu May 26 14:19:10 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:10 BST 2016, end=Thu May 26 14:19:23 BST 2016, operations=1.0, operationsPerMinute=4.62820117247763
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:23 BST 2016, end=Thu May 26 14:19:26 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:26 BST 2016, end=Thu May 26 14:19:28 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:36 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:36 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:50 BST 2016, operations=1.0, operationsPerMinute=9.246417013407305
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:50 BST 2016, end=Thu May 26 14:19:52 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:52 BST 2016, end=Thu May 26 14:19:53 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:53 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:19:59 BST 2016, operations=1.0, operationsPerMinute=11.021307861866275
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:59 BST 2016, end=Thu May 26 14:20:01 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:01 BST 2016, end=Thu May 26 14:20:02 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:02 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:10 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:10 BST 2016, end=Thu May 26 14:20:30 BST 2016, operations=1.0, operationsPerMinute=2.9815146094215863
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:30 BST 2016, end=Thu May 26 14:20:31 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:41 BST 2016, end=Thu May 26 14:22:41 BST 2016, operations=486.9301308619273, operationsPerMinute=243.46506543096365, mode=normal, start=Thu May 26 14:22:43 BST 2016, end=Thu May 26 14:26:43 BST 2016, operations=1017.5622571872572, operationsPerMinute=254.3905642968143
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:46 BST 2016, end=Thu May 26 14:28:46 BST 2016, operations=200.08175765036975, operationsPerMinute=100.04087882518488, mode=normal, start=Thu May 26 14:28:50 BST 2016, end=Thu May 26 14:32:50 BST 2016, operations=396.2064139352823, operationsPerMinute=99.05160348382057
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:53 BST 2016, end=Thu May 26 14:34:53 BST 2016, operations=403.24112950705694, operationsPerMinute=201.62056475352847, mode=normal, start=Thu May 26 14:34:55 BST 2016, end=Thu May 26 14:38:55 BST 2016, operations=807.3674443034745, operationsPerMinute=201.84186107586862
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:57 BST 2016, end=Thu May 26 14:40:57 BST 2016, operations=140.02975178229383, operationsPerMinute=70.01487589114691, mode=normal, start=Thu May 26 14:41:01 BST 2016, end=Thu May 26 14:45:01 BST 2016, operations=295.3436191291341, operationsPerMinute=73.83590478228352
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:05 BST 2016, end=Thu May 26 14:47:05 BST 2016, operations=236.37908544786507, operationsPerMinute=118.18954272393253, mode=normal, start=Thu May 26 14:47:09 BST 2016, end=Thu May 26 14:51:09 BST 2016, operations=471.43614805393526, operationsPerMinute=117.85903701348381
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:13 BST 2016, end=Thu May 26 14:53:13 BST 2016, operations=408.6183442207705, operationsPerMinute=204.30917211038525, mode=normal, start=Thu May 26 14:53:15 BST 2016, end=Thu May 26 14:57:15 BST 2016, operations=818.5433557007213, operationsPerMinute=204.63583892518034
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:36 BST 2016, end=Thu May 26 14:59:36 BST 2016, operations=367.639964182111, operationsPerMinute=183.8199820910555, mode=normal, start=Thu May 26 14:59:38 BST 2016, end=Thu May 26 15:03:38 BST 2016, operations=712.227646590135, operationsPerMinute=178.05691164753375
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:40 BST 2016, end=Thu May 26 15:05:40 BST 2016, operations=205.96056048345866, operationsPerMinute=102.98028024172933, mode=normal, start=Thu May 26 15:05:44 BST 2016, end=Thu May 26 15:09:44 BST 2016, operations=409.3569537031575, operationsPerMinute=102.33923842578938
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:48 BST 2016, end=Thu May 26 15:11:48 BST 2016, operations=79.03072012188731, operationsPerMinute=39.51536006094366, mode=normal, start=Thu May 26 15:11:54 BST 2016, end=Thu May 26 15:15:54 BST 2016, operations=149.12677639924507, operationsPerMinute=37.28169409981127
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:03 BST 2016, end=Thu May 26 15:18:03 BST 2016, operations=13.87490120270813, operationsPerMinute=6.937450601354065, mode=normal, start=Thu May 26 15:18:48 BST 2016, end=Thu May 26 15:22:48 BST 2016, operations=27.928059332061462, operationsPerMinute=6.9820148330153655
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:23 BST 2016, end=Thu May 26 15:25:23 BST 2016, operations=73.99319648533461, operationsPerMinute=36.996598242667304, mode=normal, start=Thu May 26 15:25:31 BST 2016, end=Thu May 26 15:29:31 BST 2016, operations=148.61068847429473, operationsPerMinute=37.15267211857368
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:42 BST 2016, end=Thu May 26 15:31:42 BST 2016, operations=43.21268817134852, operationsPerMinute=21.60634408567426, mode=normal, start=Thu May 26 15:31:53 BST 2016, end=Thu May 26 15:35:53 BST 2016, operations=86.05538942143342, operationsPerMinute=21.513847355358354
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:36:07 BST 2016, end=Thu May 26 15:38:07 BST 2016, operations=725.0717808288314, operationsPerMinute=362.5358904144157, mode=normal, start=Thu May 26 15:38:08 BST 2016, end=Thu May 26 15:42:08 BST 2016, operations=1487.7227528224264, operationsPerMinute=371.9306882056066
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:42:09 BST 2016, end=Thu May 26 15:44:09 BST 2016, operations=577.601985695478, operationsPerMinute=288.800992847739, mode=normal, start=Thu May 26 15:44:10 BST 2016, end=Thu May 26 15:48:10 BST 2016, operations=1159.3216444981863, operationsPerMinute=289.8304111245466
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:48:12 BST 2016, end=Thu May 26 15:50:12 BST 2016, operations=332.69733578162214, operationsPerMinute=166.34866789081107, mode=normal, start=Thu May 26 15:50:14 BST 2016, end=Thu May 26 15:54:14 BST 2016, operations=664.8662020905923, operationsPerMinute=166.21655052264808
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:54:17 BST 2016, end=Thu May 26 15:56:17 BST 2016, operations=515.1272740175056, operationsPerMinute=257.5636370087528, mode=normal, start=Thu May 26 15:56:18 BST 2016, end=Thu May 26 16:00:18 BST 2016, operations=1030.7371735672243, operationsPerMinute=257.6842933918061
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:00:19 BST 2016, end=Thu May 26 16:02:19 BST 2016, operations=113.82968371436407, operationsPerMinute=56.91484185718203, mode=normal, start=Thu May 26 16:02:25 BST 2016, end=Thu May 26 16:06:25 BST 2016, operations=197.01075569928338, operationsPerMinute=49.252688924820845
benchmark-name=serial, mod=warmup, start=Thu May 26 16:06:32 BST 2016, end=Thu May 26 16:08:32 BST 2016, operations=186.56724347508134, operationsPerMinute=93.28362173754067, mode=normal, start=Thu May 26 16:08:36 BST 2016, end=Thu May 26 16:12:36 BST 2016, operations=372.921780202012, operationsPerMinute=93.230445050503
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:12:39 BST 2016, end=Thu May 26 16:14:39 BST 2016, operations=140.16654984720356, operationsPerMinute=70.08327492360178, mode=normal, start=Thu May 26 16:14:41 BST 2016, end=Thu May 26 16:18:41 BST 2016, operations=204.0038089443439, operationsPerMinute=51.00095223608597
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:19:53 BST 2016, end=Thu May 26 16:21:53 BST 2016, operations=360.2429639555762, operationsPerMinute=180.1214819777881, mode=normal, start=Thu May 26 16:21:55 BST 2016, end=Thu May 26 16:25:55 BST 2016, operations=393.4244856291959, operationsPerMinute=98.35612140729897
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:25:59 BST 2016, end=Thu May 26 16:27:59 BST 2016, operations=194.42140245608246, operationsPerMinute=97.21070122804123, mode=normal, start=Thu May 26 16:28:00 BST 2016, end=Thu May 26 16:32:00 BST 2016, operations=1752.6435390219053, operationsPerMinute=438.16088475547633
