spec.jvm2008.report.run.location=LAW013
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 06:41:12 BST 2016, end=Mon Jun 27 06:41:12 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 06:41:12 BST 2016, end=Mon Jun 27 06:41:12 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 06:41:12 BST 2016, end=Mon Jun 27 06:41:30 BST 2016, operations=1.0, operationsPerMinute=3.3825684970120644
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 06:41:30 BST 2016, end=Mon Jun 27 06:41:34 BST 2016, operations=1.0, operationsPerMinute=14.513788098693759
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 06:41:34 BST 2016, end=Mon Jun 27 06:41:35 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 06:41:35 BST 2016, end=Mon Jun 27 06:41:44 BST 2016, operations=1.0, operationsPerMinute=6.585446163977609
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 06:41:44 BST 2016, end=Mon Jun 27 06:41:52 BST 2016, operations=1.0, operationsPerMinute=7.631645891630629
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 06:41:52 BST 2016, end=Mon Jun 27 06:41:59 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 06:41:59 BST 2016, end=Mon Jun 27 06:42:02 BST 2016, operations=1.0, operationsPerMinute=21.482277121374867
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 06:42:02 BST 2016, end=Mon Jun 27 06:42:03 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 06:42:03 BST 2016, end=Mon Jun 27 06:42:04 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 06:42:04 BST 2016, end=Mon Jun 27 06:42:10 BST 2016, operations=1.0, operationsPerMinute=9.737098344693282
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 06:42:10 BST 2016, end=Mon Jun 27 06:42:12 BST 2016, operations=1.0, operationsPerMinute=38.07106598984772
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 06:42:12 BST 2016, end=Mon Jun 27 06:42:13 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 06:42:13 BST 2016, end=Mon Jun 27 06:42:15 BST 2016, operations=1.0, operationsPerMinute=22.89202594429607
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 06:42:15 BST 2016, end=Mon Jun 27 06:42:22 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 06:42:22 BST 2016, end=Mon Jun 27 06:42:47 BST 2016, operations=1.0, operationsPerMinute=2.3904382470119523
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 06:42:47 BST 2016, end=Mon Jun 27 06:42:48 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 06:43:02 BST 2016, end=Mon Jun 27 06:45:02 BST 2016, operations=401.23667225194447, operationsPerMinute=200.61833612597223, mode=normal, start=Mon Jun 27 06:45:03 BST 2016, end=Mon Jun 27 06:49:03 BST 2016, operations=811.9161920063505, operationsPerMinute=202.9790480015876
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 06:49:08 BST 2016, end=Mon Jun 27 06:51:08 BST 2016, operations=161.92628841710265, operationsPerMinute=80.96314420855133, mode=normal, start=Mon Jun 27 06:51:13 BST 2016, end=Mon Jun 27 06:55:13 BST 2016, operations=325.01868850588227, operationsPerMinute=81.25467212647057
benchmark-name=compress, mod=warmup, start=Mon Jun 27 06:55:17 BST 2016, end=Mon Jun 27 06:57:17 BST 2016, operations=327.2059395026085, operationsPerMinute=163.60296975130424, mode=normal, start=Mon Jun 27 06:57:19 BST 2016, end=Mon Jun 27 07:01:19 BST 2016, operations=654.2456029020586, operationsPerMinute=163.56140072551466
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 07:01:21 BST 2016, end=Mon Jun 27 07:03:21 BST 2016, operations=108.11092846714921, operationsPerMinute=54.055464233574604, mode=normal, start=Mon Jun 27 07:03:28 BST 2016, end=Mon Jun 27 07:07:28 BST 2016, operations=228.51338833459027, operationsPerMinute=57.12834708364757
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 07:07:34 BST 2016, end=Mon Jun 27 07:09:34 BST 2016, operations=191.23923917924432, operationsPerMinute=95.61961958962216, mode=normal, start=Mon Jun 27 07:09:37 BST 2016, end=Mon Jun 27 07:13:37 BST 2016, operations=383.44641756258034, operationsPerMinute=95.86160439064508
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 07:13:40 BST 2016, end=Mon Jun 27 07:15:40 BST 2016, operations=329.43278664950185, operationsPerMinute=164.71639332475092, mode=normal, start=Mon Jun 27 07:15:43 BST 2016, end=Mon Jun 27 07:19:43 BST 2016, operations=651.645862188752, operationsPerMinute=162.911465547188
benchmark-name=derby, mod=warmup, start=Mon Jun 27 07:20:41 BST 2016, end=Mon Jun 27 07:22:41 BST 2016, operations=243.95368644172657, operationsPerMinute=121.97684322086329, mode=normal, start=Mon Jun 27 07:22:44 BST 2016, end=Mon Jun 27 07:26:44 BST 2016, operations=480.05178702784906, operationsPerMinute=120.01294675696226
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 07:26:47 BST 2016, end=Mon Jun 27 07:28:47 BST 2016, operations=162.91397682924688, operationsPerMinute=81.45698841462344, mode=normal, start=Mon Jun 27 07:28:51 BST 2016, end=Mon Jun 27 07:32:51 BST 2016, operations=332.0709376905236, operationsPerMinute=83.0177344226309
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 07:32:56 BST 2016, end=Mon Jun 27 07:34:56 BST 2016, operations=98.3954935849047, operationsPerMinute=49.19774679245235, mode=normal, start=Mon Jun 27 07:35:02 BST 2016, end=Mon Jun 27 07:39:02 BST 2016, operations=207.61763150536265, operationsPerMinute=51.90440787634066
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 07:39:08 BST 2016, end=Mon Jun 27 07:41:08 BST 2016, operations=21.877791697671917, operationsPerMinute=10.938895848835958, mode=normal, start=Mon Jun 27 07:41:35 BST 2016, end=Mon Jun 27 07:45:35 BST 2016, operations=44.2696668774025, operationsPerMinute=11.067416719350625
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 07:46:06 BST 2016, end=Mon Jun 27 07:48:06 BST 2016, operations=69.53263536819995, operationsPerMinute=34.766317684099974, mode=normal, start=Mon Jun 27 07:48:16 BST 2016, end=Mon Jun 27 07:52:16 BST 2016, operations=139.16532522006497, operationsPerMinute=34.79133130501624
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 07:52:27 BST 2016, end=Mon Jun 27 07:54:27 BST 2016, operations=75.26911312485228, operationsPerMinute=37.63455656242614, mode=normal, start=Mon Jun 27 07:54:36 BST 2016, end=Mon Jun 27 07:58:36 BST 2016, operations=150.6913763707185, operationsPerMinute=37.672844092679625
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 07:58:43 BST 2016, end=Mon Jun 27 08:00:43 BST 2016, operations=583.4587817976858, operationsPerMinute=291.7293908988429, mode=normal, start=Mon Jun 27 08:00:44 BST 2016, end=Mon Jun 27 08:04:44 BST 2016, operations=1184.2048637278258, operationsPerMinute=296.05121593195645
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 08:04:45 BST 2016, end=Mon Jun 27 08:06:45 BST 2016, operations=458.6844147255726, operationsPerMinute=229.3422073627863, mode=normal, start=Mon Jun 27 08:06:47 BST 2016, end=Mon Jun 27 08:10:47 BST 2016, operations=916.4424741554861, operationsPerMinute=229.11061853887153
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 08:10:48 BST 2016, end=Mon Jun 27 08:12:48 BST 2016, operations=300.4166219174361, operationsPerMinute=150.20831095871804, mode=normal, start=Mon Jun 27 08:12:51 BST 2016, end=Mon Jun 27 08:16:51 BST 2016, operations=598.3274286747892, operationsPerMinute=149.5818571686973
