spec.jvm2008.report.run.location=SUNSPACE14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Thu Jun 30 00:39:15 BST 2016, end=Thu Jun 30 00:39:15 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 00:39:15 BST 2016, end=Thu Jun 30 00:39:15 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 00:39:15 BST 2016, end=Thu Jun 30 00:39:44 BST 2016, operations=1.0, operationsPerMinute=2.088045937010614
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 00:39:44 BST 2016, end=Thu Jun 30 00:39:50 BST 2016, operations=1.0, operationsPerMinute=9.59079283887468
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 00:39:50 BST 2016, end=Thu Jun 30 00:39:52 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 00:39:52 BST 2016, end=Thu Jun 30 00:40:04 BST 2016, operations=1.0, operationsPerMinute=5.080440304826419
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 00:40:04 BST 2016, end=Thu Jun 30 00:40:13 BST 2016, operations=1.0, operationsPerMinute=6.665926008221309
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 00:40:13 BST 2016, end=Thu Jun 30 00:40:21 BST 2016, operations=1.0, operationsPerMinute=7.5566750629722925
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 00:40:21 BST 2016, end=Thu Jun 30 00:40:25 BST 2016, operations=1.0, operationsPerMinute=13.44688480502017
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 00:40:25 BST 2016, end=Thu Jun 30 00:40:27 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 00:40:27 BST 2016, end=Thu Jun 30 00:40:29 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 00:40:29 BST 2016, end=Thu Jun 30 00:40:38 BST 2016, operations=1.0, operationsPerMinute=6.485785320505891
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 00:40:38 BST 2016, end=Thu Jun 30 00:40:40 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 00:40:40 BST 2016, end=Thu Jun 30 00:40:43 BST 2016, operations=1.0, operationsPerMinute=24.499795835034707
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 00:40:43 BST 2016, end=Thu Jun 30 00:40:48 BST 2016, operations=1.0, operationsPerMinute=12.57071024512885
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 00:40:48 BST 2016, end=Thu Jun 30 00:40:55 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 00:40:55 BST 2016, end=Thu Jun 30 00:41:43 BST 2016, operations=1.0, operationsPerMinute=1.2581517750424627
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 00:41:43 BST 2016, end=Thu Jun 30 00:41:44 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 00:42:07 BST 2016, end=Thu Jun 30 00:44:07 BST 2016, operations=289.0504139521938, operationsPerMinute=144.5252069760969, mode=normal, start=Thu Jun 30 00:44:09 BST 2016, end=Thu Jun 30 00:48:09 BST 2016, operations=607.3596440916698, operationsPerMinute=151.83991102291745
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 00:48:17 BST 2016, end=Thu Jun 30 00:50:17 BST 2016, operations=116.92837343354867, operationsPerMinute=58.464186716774336, mode=normal, start=Thu Jun 30 00:50:24 BST 2016, end=Thu Jun 30 00:54:24 BST 2016, operations=227.47924827808436, operationsPerMinute=56.86981206952109
benchmark-name=compress, mod=warmup, start=Thu Jun 30 00:54:29 BST 2016, end=Thu Jun 30 00:56:29 BST 2016, operations=249.31689993261284, operationsPerMinute=124.65844996630642, mode=normal, start=Thu Jun 30 00:56:32 BST 2016, end=Thu Jun 30 01:00:32 BST 2016, operations=500.3507143004338, operationsPerMinute=125.08767857510846
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 01:00:35 BST 2016, end=Thu Jun 30 01:02:35 BST 2016, operations=69.33997903586442, operationsPerMinute=34.66998951793221, mode=normal, start=Thu Jun 30 01:02:46 BST 2016, end=Thu Jun 30 01:06:46 BST 2016, operations=147.42615989278755, operationsPerMinute=36.85653997319689
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 01:06:58 BST 2016, end=Thu Jun 30 01:08:58 BST 2016, operations=148.6566987980737, operationsPerMinute=74.32834939903685, mode=normal, start=Thu Jun 30 01:09:04 BST 2016, end=Thu Jun 30 01:13:04 BST 2016, operations=298.2094279817816, operationsPerMinute=74.5523569954454
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 01:13:08 BST 2016, end=Thu Jun 30 01:15:08 BST 2016, operations=241.24672300339228, operationsPerMinute=120.62336150169614, mode=normal, start=Thu Jun 30 01:15:12 BST 2016, end=Thu Jun 30 01:19:12 BST 2016, operations=480.6025822658527, operationsPerMinute=120.15064556646317
benchmark-name=derby, mod=warmup, start=Thu Jun 30 01:20:06 BST 2016, end=Thu Jun 30 01:22:06 BST 2016, operations=166.3888835544379, operationsPerMinute=83.19444177721896, mode=normal, start=Thu Jun 30 01:22:10 BST 2016, end=Thu Jun 30 01:26:10 BST 2016, operations=335.77457661041905, operationsPerMinute=83.94364415260476
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 01:26:13 BST 2016, end=Thu Jun 30 01:28:13 BST 2016, operations=114.24786422379914, operationsPerMinute=57.12393211189957, mode=normal, start=Thu Jun 30 01:28:19 BST 2016, end=Thu Jun 30 01:32:19 BST 2016, operations=228.9458996108652, operationsPerMinute=57.2364749027163
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 01:32:26 BST 2016, end=Thu Jun 30 01:34:26 BST 2016, operations=37.927990679693416, operationsPerMinute=18.963995339846708, mode=normal, start=Thu Jun 30 01:34:42 BST 2016, end=Thu Jun 30 01:38:42 BST 2016, operations=73.17791367039395, operationsPerMinute=18.294478417598487
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 01:38:59 BST 2016, end=Thu Jun 30 01:40:59 BST 2016, operations=8.818950205607916, operationsPerMinute=4.409475102803958, mode=normal, start=Thu Jun 30 01:42:23 BST 2016, end=Thu Jun 30 01:46:23 BST 2016, operations=17.67727408883707, operationsPerMinute=4.4193185222092675
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 01:47:36 BST 2016, end=Thu Jun 30 01:49:36 BST 2016, operations=49.33434255720313, operationsPerMinute=24.667171278601565, mode=normal, start=Thu Jun 30 01:49:51 BST 2016, end=Thu Jun 30 01:53:51 BST 2016, operations=98.77153615908719, operationsPerMinute=24.692884039771798
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 01:54:03 BST 2016, end=Thu Jun 30 01:56:03 BST 2016, operations=28.324146508726415, operationsPerMinute=14.162073254363207, mode=normal, start=Thu Jun 30 01:56:31 BST 2016, end=Thu Jun 30 02:00:31 BST 2016, operations=56.668085670622034, operationsPerMinute=14.167021417655508
