spec.jvm2008.report.run.location=GLAZIER11
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:39 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:39 BST 2016, operations=1.0, operationsPerMinute=93.89671361502347
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:56 BST 2016, operations=1.0, operationsPerMinute=3.649191095973726
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:20:56 BST 2016, end=Thu May 26 14:21:00 BST 2016, operations=1.0, operationsPerMinute=13.398838767306833
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:00 BST 2016, end=Thu May 26 14:21:02 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:02 BST 2016, end=Thu May 26 14:21:11 BST 2016, operations=1.0, operationsPerMinute=6.410256410256411
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:11 BST 2016, end=Thu May 26 14:21:19 BST 2016, operations=1.0, operationsPerMinute=7.6923076923076925
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:19 BST 2016, end=Thu May 26 14:21:26 BST 2016, operations=1.0, operationsPerMinute=8.82223202470225
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:26 BST 2016, end=Thu May 26 14:21:28 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:28 BST 2016, end=Thu May 26 14:21:29 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:29 BST 2016, end=Thu May 26 14:21:30 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:30 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=9.914077990746861
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:38 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:38 BST 2016, end=Thu May 26 14:21:39 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:39 BST 2016, end=Thu May 26 14:21:42 BST 2016, operations=1.0, operationsPerMinute=22.35469448584203
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:21:42 BST 2016, end=Thu May 26 14:21:49 BST 2016, operations=1.0, operationsPerMinute=8.472182999152782
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:21:49 BST 2016, end=Thu May 26 14:22:14 BST 2016, operations=1.0, operationsPerMinute=2.4083811664592782
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:14 BST 2016, end=Thu May 26 14:22:15 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:27 BST 2016, end=Thu May 26 14:24:27 BST 2016, operations=421.52172687723595, operationsPerMinute=210.76086343861797, mode=normal, start=Thu May 26 14:24:28 BST 2016, end=Thu May 26 14:28:28 BST 2016, operations=865.6169619980011, operationsPerMinute=216.40424049950028
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:33 BST 2016, end=Thu May 26 14:30:33 BST 2016, operations=165.86724904477524, operationsPerMinute=82.93362452238762, mode=normal, start=Thu May 26 14:30:37 BST 2016, end=Thu May 26 14:34:37 BST 2016, operations=328.4842497871531, operationsPerMinute=82.12106244678827
benchmark-name=compress, mod=warmup, start=Thu May 26 14:34:43 BST 2016, end=Thu May 26 14:36:43 BST 2016, operations=353.94485832256055, operationsPerMinute=176.97242916128027, mode=normal, start=Thu May 26 14:36:45 BST 2016, end=Thu May 26 14:40:45 BST 2016, operations=709.2807767909019, operationsPerMinute=177.32019419772547
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:40:47 BST 2016, end=Thu May 26 14:42:47 BST 2016, operations=114.04227741227024, operationsPerMinute=57.02113870613512, mode=normal, start=Thu May 26 14:42:53 BST 2016, end=Thu May 26 14:46:53 BST 2016, operations=240.1939072028091, operationsPerMinute=60.048476800702275
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:46:57 BST 2016, end=Thu May 26 14:48:57 BST 2016, operations=204.0648362800953, operationsPerMinute=102.03241814004765, mode=normal, start=Thu May 26 14:49:02 BST 2016, end=Thu May 26 14:53:02 BST 2016, operations=405.1102572300929, operationsPerMinute=101.27756430752322
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:06 BST 2016, end=Thu May 26 14:55:06 BST 2016, operations=353.0149538960744, operationsPerMinute=176.5074769480372, mode=normal, start=Thu May 26 14:55:08 BST 2016, end=Thu May 26 14:59:08 BST 2016, operations=707.7410329075026, operationsPerMinute=176.93525822687565
benchmark-name=derby, mod=warmup, start=Thu May 26 15:00:17 BST 2016, end=Thu May 26 15:02:17 BST 2016, operations=260.69492753319895, operationsPerMinute=130.34746376659947, mode=normal, start=Thu May 26 15:02:20 BST 2016, end=Thu May 26 15:06:20 BST 2016, operations=522.0200142831341, operationsPerMinute=130.50500357078351
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:06:23 BST 2016, end=Thu May 26 15:08:23 BST 2016, operations=174.2332498285885, operationsPerMinute=87.11662491429425, mode=normal, start=Thu May 26 15:08:27 BST 2016, end=Thu May 26 15:12:27 BST 2016, operations=348.6948348465829, operationsPerMinute=87.17370871164573
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:12:32 BST 2016, end=Thu May 26 15:14:32 BST 2016, operations=96.03399860086742, operationsPerMinute=48.01699930043371, mode=normal, start=Thu May 26 15:14:40 BST 2016, end=Thu May 26 15:18:40 BST 2016, operations=194.15693722176684, operationsPerMinute=48.53923430544171
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:18:47 BST 2016, end=Thu May 26 15:20:47 BST 2016, operations=21.017334047714897, operationsPerMinute=10.508667023857448, mode=normal, start=Thu May 26 15:21:21 BST 2016, end=Thu May 26 15:25:21 BST 2016, operations=41.90147938208699, operationsPerMinute=10.475369845521747
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:25:50 BST 2016, end=Thu May 26 15:27:50 BST 2016, operations=69.77934599901334, operationsPerMinute=34.88967299950667, mode=normal, start=Thu May 26 15:28:00 BST 2016, end=Thu May 26 15:32:00 BST 2016, operations=139.57539307905273, operationsPerMinute=34.89384826976318
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:32:08 BST 2016, end=Thu May 26 15:34:08 BST 2016, operations=70.3721971073225, operationsPerMinute=35.18609855366125, mode=normal, start=Thu May 26 15:34:16 BST 2016, end=Thu May 26 15:38:16 BST 2016, operations=141.01811040619216, operationsPerMinute=35.25452760154804
