spec.jvm2008.report.run.location=BARN-14
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:18 BST 2016, end=Thu May 26 14:19:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:18 BST 2016, end=Thu May 26 14:19:18 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:18 BST 2016, end=Thu May 26 14:19:32 BST 2016, operations=1.0, operationsPerMinute=4.366812227074236
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:32 BST 2016, end=Thu May 26 14:19:36 BST 2016, operations=1.0, operationsPerMinute=16.163793103448278
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:36 BST 2016, end=Thu May 26 14:19:37 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:37 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=6.919617114519664
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=7.603599036877456
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:20:00 BST 2016, operations=1.0, operationsPerMinute=8.72346612387322
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:00 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=23.752969121140143
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:05 BST 2016, operations=1.0, operationsPerMinute=58.309037900874635
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:05 BST 2016, end=Thu May 26 14:20:11 BST 2016, operations=1.0, operationsPerMinute=10.28630207440425
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:11 BST 2016, end=Thu May 26 14:20:12 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:12 BST 2016, end=Thu May 26 14:20:13 BST 2016, operations=1.0, operationsPerMinute=57.41626794258373
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:13 BST 2016, end=Thu May 26 14:20:15 BST 2016, operations=1.0, operationsPerMinute=27.100271002710027
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:15 BST 2016, end=Thu May 26 14:20:22 BST 2016, operations=1.0, operationsPerMinute=8.94721145243066
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:22 BST 2016, end=Thu May 26 14:20:43 BST 2016, operations=1.0, operationsPerMinute=2.9123386079021456
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:43 BST 2016, end=Thu May 26 14:20:44 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:54 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=483.9735771516921, operationsPerMinute=241.98678857584605, mode=normal, start=Thu May 26 14:22:55 BST 2016, end=Thu May 26 14:26:55 BST 2016, operations=1021.3165023263323, operationsPerMinute=255.32912558158307
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:59 BST 2016, end=Thu May 26 14:28:59 BST 2016, operations=199.22345700139442, operationsPerMinute=99.61172850069721, mode=normal, start=Thu May 26 14:29:02 BST 2016, end=Thu May 26 14:33:02 BST 2016, operations=387.448379222486, operationsPerMinute=96.8620948056215
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:06 BST 2016, end=Thu May 26 14:35:06 BST 2016, operations=400.0058253463402, operationsPerMinute=200.0029126731701, mode=normal, start=Thu May 26 14:35:08 BST 2016, end=Thu May 26 14:39:08 BST 2016, operations=799.8894913369825, operationsPerMinute=199.97237283424562
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:10 BST 2016, end=Thu May 26 14:41:10 BST 2016, operations=139.22859013003185, operationsPerMinute=69.61429506501592, mode=normal, start=Thu May 26 14:41:14 BST 2016, end=Thu May 26 14:45:14 BST 2016, operations=293.30002896532085, operationsPerMinute=73.32500724133021
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:19 BST 2016, end=Thu May 26 14:47:19 BST 2016, operations=236.1384881959345, operationsPerMinute=118.06924409796726, mode=normal, start=Thu May 26 14:47:23 BST 2016, end=Thu May 26 14:51:23 BST 2016, operations=472.06350449164114, operationsPerMinute=118.01587612291029
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:27 BST 2016, end=Thu May 26 14:53:27 BST 2016, operations=406.0525476916217, operationsPerMinute=203.02627384581086, mode=normal, start=Thu May 26 14:53:28 BST 2016, end=Thu May 26 14:57:28 BST 2016, operations=813.2529770398236, operationsPerMinute=203.3132442599559
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:50 BST 2016, end=Thu May 26 14:59:50 BST 2016, operations=358.46556633567, operationsPerMinute=179.232783167835, mode=normal, start=Thu May 26 14:59:53 BST 2016, end=Thu May 26 15:03:53 BST 2016, operations=717.4676888934006, operationsPerMinute=179.36692222335014
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:55 BST 2016, end=Thu May 26 15:05:55 BST 2016, operations=207.569740855154, operationsPerMinute=103.784870427577, mode=normal, start=Thu May 26 15:05:59 BST 2016, end=Thu May 26 15:09:59 BST 2016, operations=416.0186781694393, operationsPerMinute=104.00466954235982
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:10:03 BST 2016, end=Thu May 26 15:12:03 BST 2016, operations=73.87991725188789, operationsPerMinute=36.939958625943945, mode=normal, start=Thu May 26 15:12:12 BST 2016, end=Thu May 26 15:16:12 BST 2016, operations=144.58467340582058, operationsPerMinute=36.146168351455145
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:19 BST 2016, end=Thu May 26 15:18:19 BST 2016, operations=13.864639843041575, operationsPerMinute=6.932319921520787, mode=normal, start=Thu May 26 15:19:03 BST 2016, end=Thu May 26 15:23:03 BST 2016, operations=27.666494567602005, operationsPerMinute=6.916623641900501
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:40 BST 2016, end=Thu May 26 15:25:40 BST 2016, operations=74.54343444182513, operationsPerMinute=37.271717220912564, mode=normal, start=Thu May 26 15:25:49 BST 2016, end=Thu May 26 15:29:49 BST 2016, operations=149.02734998075937, operationsPerMinute=37.25683749518984
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:59 BST 2016, end=Thu May 26 15:31:59 BST 2016, operations=43.19335583713726, operationsPerMinute=21.59667791856863, mode=normal, start=Thu May 26 15:32:09 BST 2016, end=Thu May 26 15:36:09 BST 2016, operations=86.4827534958809, operationsPerMinute=21.620688373970225
