spec.jvm2008.report.run.location=BEDSONTC031
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 02:32:01 BST 2016, end=Thu Jun 23 02:32:01 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:32:01 BST 2016, end=Thu Jun 23 02:32:01 BST 2016, operations=1.0, operationsPerMinute=256.4102564102564
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:32:01 BST 2016, end=Thu Jun 23 02:32:14 BST 2016, operations=1.0, operationsPerMinute=4.5735193231191404
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:32:14 BST 2016, end=Thu Jun 23 02:32:17 BST 2016, operations=1.0, operationsPerMinute=17.97483523067705
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:32:17 BST 2016, end=Thu Jun 23 02:32:19 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:32:19 BST 2016, end=Thu Jun 23 02:32:27 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:32:27 BST 2016, end=Thu Jun 23 02:32:35 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:32:35 BST 2016, end=Thu Jun 23 02:32:41 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:32:41 BST 2016, end=Thu Jun 23 02:32:43 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:32:43 BST 2016, end=Thu Jun 23 02:32:44 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:32:44 BST 2016, end=Thu Jun 23 02:32:45 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:32:45 BST 2016, end=Thu Jun 23 02:32:50 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:32:51 BST 2016, end=Thu Jun 23 02:32:52 BST 2016, operations=1.0, operationsPerMinute=42.765502494654314
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:32:52 BST 2016, end=Thu Jun 23 02:32:53 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:32:53 BST 2016, end=Thu Jun 23 02:32:55 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:32:55 BST 2016, end=Thu Jun 23 02:33:02 BST 2016, operations=1.0, operationsPerMinute=9.246417013407305
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:33:02 BST 2016, end=Thu Jun 23 02:33:22 BST 2016, operations=1.0, operationsPerMinute=2.995506739890165
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:33:22 BST 2016, end=Thu Jun 23 02:33:22 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:33:32 BST 2016, end=Thu Jun 23 02:35:32 BST 2016, operations=499.871430314589, operationsPerMinute=249.9357151572945, mode=normal, start=Thu Jun 23 02:35:34 BST 2016, end=Thu Jun 23 02:39:34 BST 2016, operations=1019.4595690774856, operationsPerMinute=254.8648922693714
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 02:39:38 BST 2016, end=Thu Jun 23 02:41:38 BST 2016, operations=196.72466680455992, operationsPerMinute=98.36233340227996, mode=normal, start=Thu Jun 23 02:41:42 BST 2016, end=Thu Jun 23 02:45:42 BST 2016, operations=392.35076159548214, operationsPerMinute=98.08769039887054
benchmark-name=compress, mod=warmup, start=Thu Jun 23 02:45:46 BST 2016, end=Thu Jun 23 02:47:46 BST 2016, operations=397.46136445503754, operationsPerMinute=198.73068222751877, mode=normal, start=Thu Jun 23 02:47:47 BST 2016, end=Thu Jun 23 02:51:47 BST 2016, operations=797.0082907449927, operationsPerMinute=199.25207268624817
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 02:51:49 BST 2016, end=Thu Jun 23 02:53:49 BST 2016, operations=138.8653929408931, operationsPerMinute=69.43269647044654, mode=normal, start=Thu Jun 23 02:53:54 BST 2016, end=Thu Jun 23 02:57:54 BST 2016, operations=294.0492541842084, operationsPerMinute=73.5123135460521
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 02:57:59 BST 2016, end=Thu Jun 23 02:59:59 BST 2016, operations=236.384496462662, operationsPerMinute=118.192248231331, mode=normal, start=Thu Jun 23 03:00:03 BST 2016, end=Thu Jun 23 03:04:03 BST 2016, operations=472.1037371842698, operationsPerMinute=118.02593429606745
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:04:06 BST 2016, end=Thu Jun 23 03:06:06 BST 2016, operations=407.6353129032549, operationsPerMinute=203.81765645162744, mode=normal, start=Thu Jun 23 03:06:08 BST 2016, end=Thu Jun 23 03:10:08 BST 2016, operations=814.9919120860944, operationsPerMinute=203.7479780215236
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:10:31 BST 2016, end=Thu Jun 23 03:12:31 BST 2016, operations=353.46994379439127, operationsPerMinute=176.73497189719563, mode=normal, start=Thu Jun 23 03:12:33 BST 2016, end=Thu Jun 23 03:16:33 BST 2016, operations=709.560747292527, operationsPerMinute=177.39018682313176
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:16:36 BST 2016, end=Thu Jun 23 03:18:36 BST 2016, operations=204.87204128790881, operationsPerMinute=102.43602064395441, mode=normal, start=Thu Jun 23 03:18:39 BST 2016, end=Thu Jun 23 03:22:39 BST 2016, operations=405.494396204994, operationsPerMinute=101.3735990512485
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:22:42 BST 2016, end=Thu Jun 23 03:24:42 BST 2016, operations=77.90490108852262, operationsPerMinute=38.95245054426131, mode=normal, start=Thu Jun 23 03:24:50 BST 2016, end=Thu Jun 23 03:28:50 BST 2016, operations=156.9808679446282, operationsPerMinute=39.24521698615705
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:28:58 BST 2016, end=Thu Jun 23 03:30:58 BST 2016, operations=13.88560598643144, operationsPerMinute=6.94280299321572, mode=normal, start=Thu Jun 23 03:31:41 BST 2016, end=Thu Jun 23 03:35:41 BST 2016, operations=27.922692788120056, operationsPerMinute=6.980673197030014
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 03:36:25 BST 2016, end=Thu Jun 23 03:38:25 BST 2016, operations=74.58329999724661, operationsPerMinute=37.291649998623306, mode=normal, start=Thu Jun 23 03:38:33 BST 2016, end=Thu Jun 23 03:42:33 BST 2016, operations=148.92648878421704, operationsPerMinute=37.23162219605426
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 03:42:44 BST 2016, end=Thu Jun 23 03:44:44 BST 2016, operations=43.220431405441886, operationsPerMinute=21.610215702720943, mode=normal, start=Thu Jun 23 03:44:54 BST 2016, end=Thu Jun 23 03:48:54 BST 2016, operations=86.33217975806758, operationsPerMinute=21.583044939516896
