spec.jvm2008.report.run.location=OLDLIB030
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:21:58 BST 2016, operations=1.0, operationsPerMinute=1016.9491525423729
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:21:59 BST 2016, operations=1.0, operationsPerMinute=59.58291956305859
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:59 BST 2016, end=Thu May 26 14:22:22 BST 2016, operations=1.0, operationsPerMinute=2.598640045043094
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:22 BST 2016, end=Thu May 26 14:22:28 BST 2016, operations=1.0, operationsPerMinute=11.498658489842851
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:28 BST 2016, end=Thu May 26 14:22:29 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:29 BST 2016, end=Thu May 26 14:22:39 BST 2016, operations=1.0, operationsPerMinute=6.210537211468792
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:22:47 BST 2016, operations=1.0, operationsPerMinute=7.699217246246632
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:47 BST 2016, end=Thu May 26 14:22:53 BST 2016, operations=1.0, operationsPerMinute=8.921933085501859
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:53 BST 2016, end=Thu May 26 14:22:56 BST 2016, operations=1.0, operationsPerMinute=21.238938053097346
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:56 BST 2016, end=Thu May 26 14:22:57 BST 2016, operations=1.0, operationsPerMinute=70.58823529411765
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:57 BST 2016, end=Thu May 26 14:22:58 BST 2016, operations=1.0, operationsPerMinute=53.85996409335727
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:58 BST 2016, end=Thu May 26 14:23:04 BST 2016, operations=1.0, operationsPerMinute=9.375
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:23:04 BST 2016, end=Thu May 26 14:23:06 BST 2016, operations=1.0, operationsPerMinute=38.91050583657587
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:23:06 BST 2016, end=Thu May 26 14:23:07 BST 2016, operations=1.0, operationsPerMinute=47.808764940239044
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:23:07 BST 2016, end=Thu May 26 14:23:10 BST 2016, operations=1.0, operationsPerMinute=21.52080344332855
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:23:10 BST 2016, end=Thu May 26 14:23:17 BST 2016, operations=1.0, operationsPerMinute=8.382229673093043
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:17 BST 2016, end=Thu May 26 14:23:46 BST 2016, operations=1.0, operationsPerMinute=2.0741150442477876
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:46 BST 2016, end=Thu May 26 14:23:48 BST 2016, operations=1.0, operationsPerMinute=41.03967168262654
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:24:01 BST 2016, end=Thu May 26 14:26:01 BST 2016, operations=434.56380860595095, operationsPerMinute=217.28190430297548, mode=normal, start=Thu May 26 14:26:04 BST 2016, end=Thu May 26 14:30:04 BST 2016, operations=884.286596157476, operationsPerMinute=221.071649039369
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:30:11 BST 2016, end=Thu May 26 14:32:11 BST 2016, operations=172.80735437619046, operationsPerMinute=86.40367718809523, mode=normal, start=Thu May 26 14:32:18 BST 2016, end=Thu May 26 14:36:18 BST 2016, operations=350.4600511537086, operationsPerMinute=87.61501278842715
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:26 BST 2016, end=Thu May 26 14:38:26 BST 2016, operations=467.0090358277084, operationsPerMinute=233.5045179138542, mode=normal, start=Thu May 26 14:38:29 BST 2016, end=Thu May 26 14:42:29 BST 2016, operations=918.4459006320158, operationsPerMinute=229.61147515800394
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:32 BST 2016, end=Thu May 26 14:44:32 BST 2016, operations=125.80807197443372, operationsPerMinute=62.90403598721686, mode=normal, start=Thu May 26 14:44:43 BST 2016, end=Thu May 26 14:48:43 BST 2016, operations=262.9394530975504, operationsPerMinute=65.7348632743876
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:55 BST 2016, end=Thu May 26 14:50:55 BST 2016, operations=223.07302392805653, operationsPerMinute=111.53651196402826, mode=normal, start=Thu May 26 14:51:03 BST 2016, end=Thu May 26 14:55:03 BST 2016, operations=416.3427241971779, operationsPerMinute=104.08568104929448
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:55:10 BST 2016, end=Thu May 26 14:57:10 BST 2016, operations=381.16587200772733, operationsPerMinute=190.58293600386367, mode=normal, start=Thu May 26 14:57:14 BST 2016, end=Thu May 26 15:01:14 BST 2016, operations=740.8450244794002, operationsPerMinute=185.21125611985005
benchmark-name=derby, mod=warmup, start=Thu May 26 15:03:01 BST 2016, end=Thu May 26 15:05:01 BST 2016, operations=288.2757990955844, operationsPerMinute=144.1378995477922, mode=normal, start=Thu May 26 15:05:06 BST 2016, end=Thu May 26 15:09:06 BST 2016, operations=600.4451699460577, operationsPerMinute=150.11129248651443
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:09:11 BST 2016, end=Thu May 26 15:11:11 BST 2016, operations=214.26152843623373, operationsPerMinute=107.13076421811687, mode=normal, start=Thu May 26 15:11:18 BST 2016, end=Thu May 26 15:15:18 BST 2016, operations=389.4420526478421, operationsPerMinute=97.36051316196053
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:15:27 BST 2016, end=Thu May 26 15:17:27 BST 2016, operations=87.99108282167676, operationsPerMinute=43.99554141083838, mode=normal, start=Thu May 26 15:17:40 BST 2016, end=Thu May 26 15:21:40 BST 2016, operations=169.41478359647343, operationsPerMinute=42.35369589911836
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:21:54 BST 2016, end=Thu May 26 15:23:54 BST 2016, operations=20.01601481065714, operationsPerMinute=10.00800740532857, mode=normal, start=Thu May 26 15:24:59 BST 2016, end=Thu May 26 15:28:59 BST 2016, operations=38.51461605139647, operationsPerMinute=9.628654012849118
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:30:02 BST 2016, end=Thu May 26 15:32:02 BST 2016, operations=116.05968503022697, operationsPerMinute=58.02984251511349, mode=normal, start=Thu May 26 15:32:16 BST 2016, end=Thu May 26 15:36:16 BST 2016, operations=222.57811409689458, operationsPerMinute=55.644528524223645
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:36:31 BST 2016, end=Thu May 26 15:38:31 BST 2016, operations=59.57087527150392, operationsPerMinute=29.78543763575196, mode=normal, start=Thu May 26 15:38:55 BST 2016, end=Thu May 26 15:42:55 BST 2016, operations=121.34322708483163, operationsPerMinute=30.335806771207906
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:43:15 BST 2016, end=Thu May 26 15:45:15 BST 2016, operations=825.4136648509383, operationsPerMinute=412.70683242546914, mode=normal, start=Thu May 26 15:45:17 BST 2016, end=Thu May 26 15:49:17 BST 2016, operations=1546.1962058400404, operationsPerMinute=386.5490514600101
