spec.jvm2008.report.run.location=LEAZESTCE012
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 11:49:44 BST 2016, end=Sun Jun 26 11:49:44 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 11:49:44 BST 2016, end=Sun Jun 26 11:49:44 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 11:49:44 BST 2016, end=Sun Jun 26 11:49:57 BST 2016, operations=1.0, operationsPerMinute=4.662004662004662
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 11:49:57 BST 2016, end=Sun Jun 26 11:50:00 BST 2016, operations=1.0, operationsPerMinute=18.231540565177756
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 11:50:00 BST 2016, end=Sun Jun 26 11:50:01 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 11:50:01 BST 2016, end=Sun Jun 26 11:50:10 BST 2016, operations=1.0, operationsPerMinute=7.121661721068249
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 11:50:10 BST 2016, end=Sun Jun 26 11:50:17 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 11:50:17 BST 2016, end=Sun Jun 26 11:50:24 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 11:50:24 BST 2016, end=Sun Jun 26 11:50:26 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 11:50:26 BST 2016, end=Sun Jun 26 11:50:27 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 11:50:27 BST 2016, end=Sun Jun 26 11:50:28 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 11:50:28 BST 2016, end=Sun Jun 26 11:50:33 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 11:50:33 BST 2016, end=Sun Jun 26 11:50:35 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 11:50:35 BST 2016, end=Sun Jun 26 11:50:36 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 11:50:36 BST 2016, end=Sun Jun 26 11:50:38 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 11:50:38 BST 2016, end=Sun Jun 26 11:50:44 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 11:50:44 BST 2016, end=Sun Jun 26 11:51:05 BST 2016, operations=1.0, operationsPerMinute=2.9027576197387517
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 11:51:05 BST 2016, end=Sun Jun 26 11:51:05 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 11:51:16 BST 2016, end=Sun Jun 26 11:53:16 BST 2016, operations=498.78207009110486, operationsPerMinute=249.39103504555243, mode=normal, start=Sun Jun 26 11:53:17 BST 2016, end=Sun Jun 26 11:57:17 BST 2016, operations=1026.0371220184252, operationsPerMinute=256.5092805046063
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 11:57:21 BST 2016, end=Sun Jun 26 11:59:21 BST 2016, operations=200.72445864724662, operationsPerMinute=100.36222932362331, mode=normal, start=Sun Jun 26 11:59:24 BST 2016, end=Sun Jun 26 12:03:24 BST 2016, operations=401.4718992651267, operationsPerMinute=100.36797481628167
benchmark-name=compress, mod=warmup, start=Sun Jun 26 12:03:28 BST 2016, end=Sun Jun 26 12:05:28 BST 2016, operations=399.2324789127156, operationsPerMinute=199.6162394563578, mode=normal, start=Sun Jun 26 12:05:30 BST 2016, end=Sun Jun 26 12:09:30 BST 2016, operations=798.792966375324, operationsPerMinute=199.698241593831
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 12:09:32 BST 2016, end=Sun Jun 26 12:11:32 BST 2016, operations=139.81574973337558, operationsPerMinute=69.90787486668779, mode=normal, start=Sun Jun 26 12:11:37 BST 2016, end=Sun Jun 26 12:15:37 BST 2016, operations=288.59697731122276, operationsPerMinute=72.14924432780569
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 12:15:41 BST 2016, end=Sun Jun 26 12:17:41 BST 2016, operations=236.3658840795722, operationsPerMinute=118.1829420397861, mode=normal, start=Sun Jun 26 12:17:44 BST 2016, end=Sun Jun 26 12:21:44 BST 2016, operations=474.0320480721082, operationsPerMinute=118.50801201802705
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 12:21:47 BST 2016, end=Sun Jun 26 12:23:47 BST 2016, operations=405.9359715113528, operationsPerMinute=202.9679857556764, mode=normal, start=Sun Jun 26 12:23:49 BST 2016, end=Sun Jun 26 12:27:49 BST 2016, operations=812.5205128205129, operationsPerMinute=203.13012820512822
benchmark-name=derby, mod=warmup, start=Sun Jun 26 12:28:12 BST 2016, end=Sun Jun 26 12:30:12 BST 2016, operations=356.3301838603353, operationsPerMinute=178.16509193016765, mode=normal, start=Sun Jun 26 12:30:14 BST 2016, end=Sun Jun 26 12:34:14 BST 2016, operations=720.0907965776889, operationsPerMinute=180.02269914442223
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 12:34:16 BST 2016, end=Sun Jun 26 12:36:16 BST 2016, operations=208.03585405365874, operationsPerMinute=104.01792702682937, mode=normal, start=Sun Jun 26 12:36:20 BST 2016, end=Sun Jun 26 12:40:20 BST 2016, operations=410.24153386783394, operationsPerMinute=102.56038346695848
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 12:40:23 BST 2016, end=Sun Jun 26 12:42:23 BST 2016, operations=74.85755810518754, operationsPerMinute=37.42877905259377, mode=normal, start=Sun Jun 26 12:42:30 BST 2016, end=Sun Jun 26 12:46:30 BST 2016, operations=158.323141622761, operationsPerMinute=39.58078540569025
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 12:46:37 BST 2016, end=Sun Jun 26 12:48:37 BST 2016, operations=13.730902038293005, operationsPerMinute=6.865451019146502, mode=normal, start=Sun Jun 26 12:49:24 BST 2016, end=Sun Jun 26 12:53:24 BST 2016, operations=27.62990176886086, operationsPerMinute=6.907475442215215
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 12:53:53 BST 2016, end=Sun Jun 26 12:55:53 BST 2016, operations=74.48366631593004, operationsPerMinute=37.24183315796502, mode=normal, start=Sun Jun 26 12:56:02 BST 2016, end=Sun Jun 26 13:00:02 BST 2016, operations=149.143654478757, operationsPerMinute=37.28591361968925
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 13:00:14 BST 2016, end=Sun Jun 26 13:02:14 BST 2016, operations=43.18374906885256, operationsPerMinute=21.59187453442628, mode=normal, start=Sun Jun 26 13:02:25 BST 2016, end=Sun Jun 26 13:06:25 BST 2016, operations=86.03981728149188, operationsPerMinute=21.50995432037297
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 13:06:39 BST 2016, end=Sun Jun 26 13:08:39 BST 2016, operations=686.0145573015111, operationsPerMinute=343.00727865075555, mode=normal, start=Sun Jun 26 13:08:40 BST 2016, end=Sun Jun 26 13:12:40 BST 2016, operations=1408.761287130114, operationsPerMinute=352.1903217825285
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 26 13:12:41 BST 2016, end=Sun Jun 26 13:14:41 BST 2016, operations=576.9736676367804, operationsPerMinute=288.4868338183902, mode=normal, start=Sun Jun 26 13:14:43 BST 2016, end=Sun Jun 26 13:18:43 BST 2016, operations=1144.669297812031, operationsPerMinute=286.1673244530077
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 26 13:18:44 BST 2016, end=Sun Jun 26 13:20:44 BST 2016, operations=330.64754411583385, operationsPerMinute=165.32377205791693, mode=normal, start=Sun Jun 26 13:20:47 BST 2016, end=Sun Jun 26 13:24:47 BST 2016, operations=661.2215473488546, operationsPerMinute=165.30538683721366
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 26 13:24:50 BST 2016, end=Sun Jun 26 13:26:50 BST 2016, operations=510.0945338927626, operationsPerMinute=255.0472669463813, mode=normal, start=Sun Jun 26 13:26:51 BST 2016, end=Sun Jun 26 13:30:51 BST 2016, operations=1016.8329589918465, operationsPerMinute=254.2082397479616
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 26 13:30:53 BST 2016, end=Sun Jun 26 13:32:53 BST 2016, operations=119.55642555923916, operationsPerMinute=59.77821277961958, mode=normal, start=Sun Jun 26 13:33:00 BST 2016, end=Sun Jun 26 13:37:00 BST 2016, operations=235.6333165654527, operationsPerMinute=58.908329141363176
benchmark-name=serial, mod=warmup, start=Sun Jun 26 13:37:08 BST 2016, end=Sun Jun 26 13:39:08 BST 2016, operations=223.04327462822263, operationsPerMinute=111.52163731411132, mode=normal, start=Sun Jun 26 13:39:11 BST 2016, end=Sun Jun 26 13:43:11 BST 2016, operations=467.0821171172913, operationsPerMinute=116.77052927932283
benchmark-name=sunflow, mod=warmup, start=Sun Jun 26 13:43:14 BST 2016, end=Sun Jun 26 13:45:14 BST 2016, operations=179.95701357466064, operationsPerMinute=89.97850678733032, mode=normal, start=Sun Jun 26 13:45:15 BST 2016, end=Sun Jun 26 13:49:15 BST 2016, operations=360.44377704432736, operationsPerMinute=90.11094426108184
benchmark-name=xml.transform, mod=warmup, start=Sun Jun 26 13:49:36 BST 2016, end=Sun Jun 26 13:51:36 BST 2016, operations=504.3806487768131, operationsPerMinute=252.19032438840654, mode=normal, start=Sun Jun 26 13:51:38 BST 2016, end=Sun Jun 26 13:55:38 BST 2016, operations=1018.7724239139708, operationsPerMinute=254.6931059784927
benchmark-name=xml.validation, mod=warmup, start=Sun Jun 26 13:55:40 BST 2016, end=Sun Jun 26 13:57:40 BST 2016, operations=993.3803097689303, operationsPerMinute=496.69015488446513, mode=normal, start=Sun Jun 26 13:57:40 BST 2016, end=Sun Jun 26 14:01:40 BST 2016, operations=1946.5646167137747, operationsPerMinute=486.6411541784437
##-nursultan-##,LEAZESTCE012,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Sun Jun 26 11:49:44 BST 2016,Sun Jun 26 11:49:44 BST 2016,1.0,1276.595744680851,startup.helloworld,Sun Jun 26 11:49:44 BST 2016,Sun Jun 26 11:49:44 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Sun Jun 26 11:49:44 BST 2016,Sun Jun 26 11:49:57 BST 2016,1.0,4.662004662004662,startup.compiler.sunflow,Sun Jun 26 11:49:57 BST 2016,Sun Jun 26 11:50:00 BST 2016,1.0,18.231540565177756,startup.compress,Sun Jun 26 11:50:00 BST 2016,Sun Jun 26 11:50:01 BST 2016,1.0,46.91164972634871,startup.crypto.aes,Sun Jun 26 11:50:01 BST 2016,Sun Jun 26 11:50:10 BST 2016,1.0,7.121661721068249,startup.crypto.rsa,Sun Jun 26 11:50:10 BST 2016,Sun Jun 26 11:50:17 BST 2016,1.0,7.979784545817263,startup.crypto.signverify,Sun Jun 26 11:50:17 BST 2016,Sun Jun 26 11:50:24 BST 2016,1.0,9.092286710107592,startup.mpegaudio,Sun Jun 26 11:50:24 BST 2016,Sun Jun 26 11:50:26 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Sun Jun 26 11:50:26 BST 2016,Sun Jun 26 11:50:27 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Sun Jun 26 11:50:27 BST 2016,Sun Jun 26 11:50:28 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Sun Jun 26 11:50:28 BST 2016,Sun Jun 26 11:50:33 BST 2016,1.0,10.803024846957149,startup.scimark.sor,Sun Jun 26 11:50:33 BST 2016,Sun Jun 26 11:50:35 BST 2016,1.0,42.28329809725159,startup.scimark.sparse,Sun Jun 26 11:50:35 BST 2016,Sun Jun 26 11:50:36 BST 2016,1.0,61.98347107438016,startup.serial,Sun Jun 26 11:50:36 BST 2016,Sun Jun 26 11:50:38 BST 2016,1.0,28.49002849002849,startup.sunflow,Sun Jun 26 11:50:38 BST 2016,Sun Jun 26 11:50:44 BST 2016,1.0,9.404388714733543,startup.xml.transform,Sun Jun 26 11:50:44 BST 2016,Sun Jun 26 11:51:05 BST 2016,1.0,2.9027576197387517,startup.xml.validation,Sun Jun 26 11:51:05 BST 2016,Sun Jun 26 11:51:05 BST 2016,1.0,75.37688442211055,compiler.compiler,Sun Jun 26 11:51:16 BST 2016,Sun Jun 26 11:53:16 BST 2016,498.78207009110486,249.39103504555243,Sun Jun 26 11:53:17 BST 2016,Sun Jun 26 11:57:17 BST 2016,1026.0371220184252,256.5092805046063,compiler.sunflow,Sun Jun 26 11:57:21 BST 2016,Sun Jun 26 11:59:21 BST 2016,200.72445864724662,100.36222932362331,Sun Jun 26 11:59:24 BST 2016,Sun Jun 26 12:03:24 BST 2016,401.4718992651267,100.36797481628167,compress,Sun Jun 26 12:03:28 BST 2016,Sun Jun 26 12:05:28 BST 2016,399.2324789127156,199.6162394563578,Sun Jun 26 12:05:30 BST 2016,Sun Jun 26 12:09:30 BST 2016,798.792966375324,199.698241593831,crypto.aes,Sun Jun 26 12:09:32 BST 2016,Sun Jun 26 12:11:32 BST 2016,139.81574973337558,69.90787486668779,Sun Jun 26 12:11:37 BST 2016,Sun Jun 26 12:15:37 BST 2016,288.59697731122276,72.14924432780569,crypto.rsa,Sun Jun 26 12:15:41 BST 2016,Sun Jun 26 12:17:41 BST 2016,236.3658840795722,118.1829420397861,Sun Jun 26 12:17:44 BST 2016,Sun Jun 26 12:21:44 BST 2016,474.0320480721082,118.50801201802705,crypto.signverify,Sun Jun 26 12:21:47 BST 2016,Sun Jun 26 12:23:47 BST 2016,405.9359715113528,202.9679857556764,Sun Jun 26 12:23:49 BST 2016,Sun Jun 26 12:27:49 BST 2016,812.5205128205129,203.13012820512822,derby,Sun Jun 26 12:28:12 BST 2016,Sun Jun 26 12:30:12 BST 2016,356.3301838603353,178.16509193016765,Sun Jun 26 12:30:14 BST 2016,Sun Jun 26 12:34:14 BST 2016,720.0907965776889,180.02269914442223,mpegaudio,Sun Jun 26 12:34:16 BST 2016,Sun Jun 26 12:36:16 BST 2016,208.03585405365874,104.01792702682937,Sun Jun 26 12:36:20 BST 2016,Sun Jun 26 12:40:20 BST 2016,410.24153386783394,102.56038346695848,scimark.fft.large,Sun Jun 26 12:40:23 BST 2016,Sun Jun 26 12:42:23 BST 2016,74.85755810518754,37.42877905259377,Sun Jun 26 12:42:30 BST 2016,Sun Jun 26 12:46:30 BST 2016,158.323141622761,39.58078540569025,scimark.lu.large,Sun Jun 26 12:46:37 BST 2016,Sun Jun 26 12:48:37 BST 2016,13.730902038293005,6.865451019146502,Sun Jun 26 12:49:24 BST 2016,Sun Jun 26 12:53:24 BST 2016,27.62990176886086,6.907475442215215,scimark.sor.large,Sun Jun 26 12:53:53 BST 2016,Sun Jun 26 12:55:53 BST 2016,74.48366631593004,37.24183315796502,Sun Jun 26 12:56:02 BST 2016,Sun Jun 26 13:00:02 BST 2016,149.143654478757,37.28591361968925,scimark.sparse.large,Sun Jun 26 13:00:14 BST 2016,Sun Jun 26 13:02:14 BST 2016,43.18374906885256,21.59187453442628,Sun Jun 26 13:02:25 BST 2016,Sun Jun 26 13:06:25 BST 2016,86.03981728149188,21.50995432037297,scimark.fft.small,Sun Jun 26 13:06:39 BST 2016,Sun Jun 26 13:08:39 BST 2016,686.0145573015111,343.00727865075555,Sun Jun 26 13:08:40 BST 2016,Sun Jun 26 13:12:40 BST 2016,1408.761287130114,352.1903217825285,scimark.lu.small,Sun Jun 26 13:12:41 BST 2016,Sun Jun 26 13:14:41 BST 2016,576.9736676367804,288.4868338183902,Sun Jun 26 13:14:43 BST 2016,Sun Jun 26 13:18:43 BST 2016,1144.669297812031,286.1673244530077,scimark.sor.small,Sun Jun 26 13:18:44 BST 2016,Sun Jun 26 13:20:44 BST 2016,330.64754411583385,165.32377205791693,Sun Jun 26 13:20:47 BST 2016,Sun Jun 26 13:24:47 BST 2016,661.2215473488546,165.30538683721366,scimark.sparse.small,Sun Jun 26 13:24:50 BST 2016,Sun Jun 26 13:26:50 BST 2016,510.0945338927626,255.0472669463813,Sun Jun 26 13:26:51 BST 2016,Sun Jun 26 13:30:51 BST 2016,1016.8329589918465,254.2082397479616,scimark.monte_carlo,Sun Jun 26 13:30:53 BST 2016,Sun Jun 26 13:32:53 BST 2016,119.55642555923916,59.77821277961958,Sun Jun 26 13:33:00 BST 2016,Sun Jun 26 13:37:00 BST 2016,235.6333165654527,58.908329141363176,serial,Sun Jun 26 13:37:08 BST 2016,Sun Jun 26 13:39:08 BST 2016,223.04327462822263,111.52163731411132,Sun Jun 26 13:39:11 BST 2016,Sun Jun 26 13:43:11 BST 2016,467.0821171172913,116.77052927932283,sunflow,Sun Jun 26 13:43:14 BST 2016,Sun Jun 26 13:45:14 BST 2016,179.95701357466064,89.97850678733032,Sun Jun 26 13:45:15 BST 2016,Sun Jun 26 13:49:15 BST 2016,360.44377704432736,90.11094426108184,xml.transform,Sun Jun 26 13:49:36 BST 2016,Sun Jun 26 13:51:36 BST 2016,504.3806487768131,252.19032438840654,Sun Jun 26 13:51:38 BST 2016,Sun Jun 26 13:55:38 BST 2016,1018.7724239139708,254.6931059784927,xml.validation,Sun Jun 26 13:55:40 BST 2016,Sun Jun 26 13:57:40 BST 2016,993.3803097689303,496.69015488446513,Sun Jun 26 13:57:40 BST 2016,Sun Jun 26 14:01:40 BST 2016,1946.5646167137747,486.6411541784437
