spec.jvm2008.report.run.location=ROBLIB158
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:58 BST 2016, end=Sun Jun 19 00:39:58 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:58 BST 2016, end=Sun Jun 19 00:39:58 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:58 BST 2016, end=Sun Jun 19 00:40:14 BST 2016, operations=1.0, operationsPerMinute=3.885003885003885
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:14 BST 2016, end=Sun Jun 19 00:40:18 BST 2016, operations=1.0, operationsPerMinute=16.579165515335728
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:18 BST 2016, end=Sun Jun 19 00:40:19 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:19 BST 2016, end=Sun Jun 19 00:40:28 BST 2016, operations=1.0, operationsPerMinute=6.724195898240502
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:28 BST 2016, end=Sun Jun 19 00:40:36 BST 2016, operations=1.0, operationsPerMinute=7.72399588053553
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:36 BST 2016, end=Sun Jun 19 00:40:42 BST 2016, operations=1.0, operationsPerMinute=8.90207715133531
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:40:45 BST 2016, operations=1.0, operationsPerMinute=23.74356944994064
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:45 BST 2016, end=Sun Jun 19 00:40:46 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:46 BST 2016, end=Sun Jun 19 00:40:47 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:47 BST 2016, end=Sun Jun 19 00:40:53 BST 2016, operations=1.0, operationsPerMinute=10.176390773405698
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:53 BST 2016, end=Sun Jun 19 00:40:54 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:54 BST 2016, end=Sun Jun 19 00:40:55 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:55 BST 2016, end=Sun Jun 19 00:40:58 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:58 BST 2016, end=Sun Jun 19 00:41:05 BST 2016, operations=1.0, operationsPerMinute=8.62316757688991
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:05 BST 2016, end=Sun Jun 19 00:41:27 BST 2016, operations=1.0, operationsPerMinute=2.6691578806886427
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:27 BST 2016, end=Sun Jun 19 00:41:28 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:41:40 BST 2016, end=Sun Jun 19 00:43:40 BST 2016, operations=411.0806237566386, operationsPerMinute=205.5403118783193, mode=normal, start=Sun Jun 19 00:43:42 BST 2016, end=Sun Jun 19 00:47:42 BST 2016, operations=827.3058573143123, operationsPerMinute=206.82646432857808
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:47 BST 2016, end=Sun Jun 19 00:49:47 BST 2016, operations=163.3601895664592, operationsPerMinute=81.6800947832296, mode=normal, start=Sun Jun 19 00:49:50 BST 2016, end=Sun Jun 19 00:53:50 BST 2016, operations=326.74886783204494, operationsPerMinute=81.68721695801123
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:54 BST 2016, end=Sun Jun 19 00:55:54 BST 2016, operations=273.701367064834, operationsPerMinute=136.850683532417, mode=normal, start=Sun Jun 19 00:55:57 BST 2016, end=Sun Jun 19 00:59:57 BST 2016, operations=381.6586396547518, operationsPerMinute=95.41465991368796
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:00:33 BST 2016, end=Sun Jun 19 01:02:33 BST 2016, operations=96.51536911418029, operationsPerMinute=48.257684557090144, mode=normal, start=Sun Jun 19 01:02:37 BST 2016, end=Sun Jun 19 01:06:37 BST 2016, operations=203.92557923517944, operationsPerMinute=50.98139480879486
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:06:45 BST 2016, end=Sun Jun 19 01:08:45 BST 2016, operations=89.8345040848987, operationsPerMinute=44.91725204244935, mode=normal, start=Sun Jun 19 01:08:51 BST 2016, end=Sun Jun 19 01:12:51 BST 2016, operations=262.9004285149549, operationsPerMinute=65.72510712873873
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:56 BST 2016, end=Sun Jun 19 01:14:56 BST 2016, operations=145.03007701614007, operationsPerMinute=72.51503850807003, mode=normal, start=Sun Jun 19 01:15:03 BST 2016, end=Sun Jun 19 01:19:03 BST 2016, operations=440.0714213633715, operationsPerMinute=110.01785534084287
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:20:14 BST 2016, end=Sun Jun 19 01:22:14 BST 2016, operations=250.54831307039964, operationsPerMinute=125.27415653519982, mode=normal, start=Sun Jun 19 01:22:17 BST 2016, end=Sun Jun 19 01:26:17 BST 2016, operations=502.2096785952595, operationsPerMinute=125.55241964881488
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:26:20 BST 2016, end=Sun Jun 19 01:28:20 BST 2016, operations=142.70959111934366, operationsPerMinute=71.35479555967183, mode=normal, start=Sun Jun 19 01:28:25 BST 2016, end=Sun Jun 19 01:32:25 BST 2016, operations=204.34954270132135, operationsPerMinute=51.08738567533034
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:33:06 BST 2016, end=Sun Jun 19 01:35:06 BST 2016, operations=75.12107296101001, operationsPerMinute=37.56053648050501, mode=normal, start=Sun Jun 19 01:35:12 BST 2016, end=Sun Jun 19 01:39:12 BST 2016, operations=112.63884874757767, operationsPerMinute=28.159712186894417
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:39:49 BST 2016, end=Sun Jun 19 01:41:49 BST 2016, operations=13.888716017021109, operationsPerMinute=6.944358008510554, mode=normal, start=Sun Jun 19 01:43:26 BST 2016, end=Sun Jun 19 01:47:26 BST 2016, operations=23.163979410272518, operationsPerMinute=5.790994852568129
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:49:04 BST 2016, end=Sun Jun 19 01:51:04 BST 2016, operations=52.42696781253133, operationsPerMinute=26.213483906265665, mode=normal, start=Sun Jun 19 01:52:18 BST 2016, end=Sun Jun 19 01:56:18 BST 2016, operations=80.91723811007063, operationsPerMinute=20.229309527517657
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:56:33 BST 2016, end=Sun Jun 19 01:58:33 BST 2016, operations=27.099366687714717, operationsPerMinute=13.549683343857359, mode=normal, start=Sun Jun 19 01:58:45 BST 2016, end=Sun Jun 19 02:02:45 BST 2016, operations=70.36072522307009, operationsPerMinute=17.590181305767523
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 02:02:59 BST 2016, end=Sun Jun 19 02:04:59 BST 2016, operations=261.5513703215726, operationsPerMinute=130.7756851607863, mode=normal, start=Sun Jun 19 02:05:08 BST 2016, end=Sun Jun 19 02:09:08 BST 2016, operations=783.9450611458567, operationsPerMinute=195.98626528646417
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:09:10 BST 2016, end=Sun Jun 19 02:11:10 BST 2016, operations=352.3951168234961, operationsPerMinute=176.19755841174805, mode=normal, start=Sun Jun 19 02:11:14 BST 2016, end=Sun Jun 19 02:15:14 BST 2016, operations=657.3846713673526, operationsPerMinute=164.34616784183814
