spec.jvm2008.report.run.location=BEDSONTC005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:21 BST 2016, end=Fri Jun 03 15:01:21 BST 2016, operations=1.0, operationsPerMinute=1132.0754716981132
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:21 BST 2016, end=Fri Jun 03 15:01:21 BST 2016, operations=1.0, operationsPerMinute=521.7391304347826
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:21 BST 2016, end=Fri Jun 03 15:01:35 BST 2016, operations=1.0, operationsPerMinute=4.256224728665673
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:35 BST 2016, end=Fri Jun 03 15:01:39 BST 2016, operations=1.0, operationsPerMinute=16.82085786375105
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:39 BST 2016, end=Fri Jun 03 15:01:40 BST 2016, operations=1.0, operationsPerMinute=44.84304932735426
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:40 BST 2016, end=Fri Jun 03 15:01:49 BST 2016, operations=1.0, operationsPerMinute=7.120816520294327
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:49 BST 2016, end=Fri Jun 03 15:01:56 BST 2016, operations=1.0, operationsPerMinute=8.126777732629012
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:56 BST 2016, end=Fri Jun 03 15:02:02 BST 2016, operations=1.0, operationsPerMinute=9.417673834562862
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:02 BST 2016, end=Fri Jun 03 15:02:05 BST 2016, operations=1.0, operationsPerMinute=24.979184013322232
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:05 BST 2016, end=Fri Jun 03 15:02:05 BST 2016, operations=1.0, operationsPerMinute=78.3289817232376
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:05 BST 2016, end=Fri Jun 03 15:02:06 BST 2016, operations=1.0, operationsPerMinute=60.91370558375635
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:06 BST 2016, end=Fri Jun 03 15:02:12 BST 2016, operations=1.0, operationsPerMinute=10.400416016640666
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:12 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=40.78857919782461
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:15 BST 2016, operations=1.0, operationsPerMinute=58.99705014749262
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:15 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=27.726432532347506
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=9.603072983354673
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:43 BST 2016, operations=1.0, operationsPerMinute=2.971326697370376
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:43 BST 2016, end=Fri Jun 03 15:02:44 BST 2016, operations=1.0, operationsPerMinute=72.81553398058253
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:54 BST 2016, end=Fri Jun 03 15:04:54 BST 2016, operations=440.0026645607659, operationsPerMinute=220.00133228038294, mode=normal, start=Fri Jun 03 15:04:56 BST 2016, end=Fri Jun 03 15:08:56 BST 2016, operations=869.729766692818, operationsPerMinute=217.4324416732045
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:01 BST 2016, end=Fri Jun 03 15:11:01 BST 2016, operations=170.60017869723788, operationsPerMinute=85.30008934861894, mode=normal, start=Fri Jun 03 15:11:04 BST 2016, end=Fri Jun 03 15:15:04 BST 2016, operations=360.9726446832773, operationsPerMinute=90.24316117081932
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:08 BST 2016, end=Fri Jun 03 15:17:08 BST 2016, operations=381.35980597204934, operationsPerMinute=190.67990298602467, mode=normal, start=Fri Jun 03 15:17:11 BST 2016, end=Fri Jun 03 15:21:11 BST 2016, operations=764.0967436233651, operationsPerMinute=191.02418590584128
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:13 BST 2016, end=Fri Jun 03 15:23:13 BST 2016, operations=135.68020923377173, operationsPerMinute=67.84010461688587, mode=normal, start=Fri Jun 03 15:23:18 BST 2016, end=Fri Jun 03 15:27:18 BST 2016, operations=282.112835307984, operationsPerMinute=70.528208826996
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:25 BST 2016, end=Fri Jun 03 15:29:25 BST 2016, operations=230.02942892860932, operationsPerMinute=115.01471446430466, mode=normal, start=Fri Jun 03 15:29:29 BST 2016, end=Fri Jun 03 15:33:29 BST 2016, operations=458.91983839691795, operationsPerMinute=114.72995959922949
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:33 BST 2016, end=Fri Jun 03 15:35:33 BST 2016, operations=392.03395428418804, operationsPerMinute=196.01697714209402, mode=normal, start=Fri Jun 03 15:35:35 BST 2016, end=Fri Jun 03 15:39:35 BST 2016, operations=779.6192707200086, operationsPerMinute=194.90481768000214
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:00 BST 2016, end=Fri Jun 03 15:42:00 BST 2016, operations=327.055092098096, operationsPerMinute=163.527546049048, mode=normal, start=Fri Jun 03 15:42:03 BST 2016, end=Fri Jun 03 15:46:03 BST 2016, operations=651.3176411905558, operationsPerMinute=162.82941029763896
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:06 BST 2016, end=Fri Jun 03 15:48:06 BST 2016, operations=200.73028258023487, operationsPerMinute=100.36514129011744, mode=normal, start=Fri Jun 03 15:48:10 BST 2016, end=Fri Jun 03 15:52:10 BST 2016, operations=403.1068680666702, operationsPerMinute=100.77671701666755
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:13 BST 2016, end=Fri Jun 03 15:54:13 BST 2016, operations=57.97148111167819, operationsPerMinute=28.985740555839094, mode=normal, start=Fri Jun 03 15:54:23 BST 2016, end=Fri Jun 03 15:58:23 BST 2016, operations=124.0786724440334, operationsPerMinute=31.01966811100835
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:34 BST 2016, end=Fri Jun 03 16:00:34 BST 2016, operations=12.841062513629833, operationsPerMinute=6.420531256814916, mode=normal, start=Fri Jun 03 16:01:31 BST 2016, end=Fri Jun 03 16:05:31 BST 2016, operations=27.72674494292695, operationsPerMinute=6.931686235731737
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:07 BST 2016, end=Fri Jun 03 16:08:07 BST 2016, operations=74.96799930943361, operationsPerMinute=37.483999654716804, mode=normal, start=Fri Jun 03 16:08:15 BST 2016, end=Fri Jun 03 16:12:15 BST 2016, operations=149.53705597603312, operationsPerMinute=37.38426399400828
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:25 BST 2016, end=Fri Jun 03 16:14:25 BST 2016, operations=43.02197807083861, operationsPerMinute=21.510989035419303, mode=normal, start=Fri Jun 03 16:14:36 BST 2016, end=Fri Jun 03 16:18:36 BST 2016, operations=86.59874920064041, operationsPerMinute=21.649687300160103
