spec.jvm2008.report.run.location=OLDLIB008
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sun Jun 19 00:40:46 BST 2016, end=Sun Jun 19 00:40:46 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:40:46 BST 2016, end=Sun Jun 19 00:40:47 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:40:47 BST 2016, end=Sun Jun 19 00:41:09 BST 2016, operations=1.0, operationsPerMinute=2.7141952411110104
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:09 BST 2016, end=Sun Jun 19 00:41:13 BST 2016, operations=1.0, operationsPerMinute=14.513788098693759
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:41:13 BST 2016, end=Sun Jun 19 00:41:14 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:41:14 BST 2016, end=Sun Jun 19 00:41:24 BST 2016, operations=1.0, operationsPerMinute=6.223420806970231
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:41:24 BST 2016, end=Sun Jun 19 00:41:32 BST 2016, operations=1.0, operationsPerMinute=7.483162883512097
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:41:32 BST 2016, end=Sun Jun 19 00:41:39 BST 2016, operations=1.0, operationsPerMinute=8.701957940536621
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:39 BST 2016, end=Sun Jun 19 00:41:42 BST 2016, operations=1.0, operationsPerMinute=21.978021978021978
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:42 BST 2016, end=Sun Jun 19 00:41:42 BST 2016, operations=1.0, operationsPerMinute=71.17437722419929
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:42 BST 2016, end=Sun Jun 19 00:41:43 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:43 BST 2016, end=Sun Jun 19 00:41:50 BST 2016, operations=1.0, operationsPerMinute=9.66339185053954
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:41:50 BST 2016, end=Sun Jun 19 00:41:51 BST 2016, operations=1.0, operationsPerMinute=39.656311962987445
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:41:51 BST 2016, end=Sun Jun 19 00:41:52 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:41:52 BST 2016, end=Sun Jun 19 00:41:55 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:41:55 BST 2016, end=Sun Jun 19 00:42:02 BST 2016, operations=1.0, operationsPerMinute=8.271298593879239
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:02 BST 2016, end=Sun Jun 19 00:42:29 BST 2016, operations=1.0, operationsPerMinute=2.251829611559392
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:42:29 BST 2016, end=Sun Jun 19 00:42:30 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:42:45 BST 2016, end=Sun Jun 19 00:44:45 BST 2016, operations=416.457327383866, operationsPerMinute=208.228663691933, mode=normal, start=Sun Jun 19 00:44:49 BST 2016, end=Sun Jun 19 00:48:49 BST 2016, operations=846.8710633002995, operationsPerMinute=211.71776582507488
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:48:56 BST 2016, end=Sun Jun 19 00:50:56 BST 2016, operations=167.3984348133281, operationsPerMinute=83.69921740666405, mode=normal, start=Sun Jun 19 00:51:04 BST 2016, end=Sun Jun 19 00:55:04 BST 2016, operations=333.91956187299286, operationsPerMinute=83.47989046824821
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:55:12 BST 2016, end=Sun Jun 19 00:57:12 BST 2016, operations=424.6582853366997, operationsPerMinute=212.32914266834985, mode=normal, start=Sun Jun 19 00:57:15 BST 2016, end=Sun Jun 19 01:01:15 BST 2016, operations=857.0328540083052, operationsPerMinute=214.2582135020763
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:01:19 BST 2016, end=Sun Jun 19 01:03:19 BST 2016, operations=107.24987243869695, operationsPerMinute=53.62493621934848, mode=normal, start=Sun Jun 19 01:03:31 BST 2016, end=Sun Jun 19 01:07:31 BST 2016, operations=245.82246718818553, operationsPerMinute=61.45561679704638
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:07:45 BST 2016, end=Sun Jun 19 01:09:45 BST 2016, operations=223.4792369468413, operationsPerMinute=111.73961847342065, mode=normal, start=Sun Jun 19 01:09:51 BST 2016, end=Sun Jun 19 01:13:51 BST 2016, operations=456.2395866850515, operationsPerMinute=114.05989667126288
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:13:58 BST 2016, end=Sun Jun 19 01:15:58 BST 2016, operations=391.78463312787153, operationsPerMinute=195.89231656393576, mode=normal, start=Sun Jun 19 01:16:02 BST 2016, end=Sun Jun 19 01:20:02 BST 2016, operations=789.2235713455867, operationsPerMinute=197.30589283639668
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:21:48 BST 2016, end=Sun Jun 19 01:23:48 BST 2016, operations=306.14512151966125, operationsPerMinute=153.07256075983062, mode=normal, start=Sun Jun 19 01:23:53 BST 2016, end=Sun Jun 19 01:27:53 BST 2016, operations=605.4437543197171, operationsPerMinute=151.36093857992927
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:27:58 BST 2016, end=Sun Jun 19 01:29:58 BST 2016, operations=220.0209701521818, operationsPerMinute=110.0104850760909, mode=normal, start=Sun Jun 19 01:30:04 BST 2016, end=Sun Jun 19 01:34:04 BST 2016, operations=441.57607900311575, operationsPerMinute=110.39401975077894
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:12 BST 2016, end=Sun Jun 19 01:36:12 BST 2016, operations=95.36704685410771, operationsPerMinute=47.683523427053856, mode=normal, start=Sun Jun 19 01:36:26 BST 2016, end=Sun Jun 19 01:40:26 BST 2016, operations=195.40949077428948, operationsPerMinute=48.85237269357237
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:46 BST 2016, end=Sun Jun 19 01:42:46 BST 2016, operations=20.67958288815152, operationsPerMinute=10.33979144407576, mode=normal, start=Sun Jun 19 01:43:44 BST 2016, end=Sun Jun 19 01:47:44 BST 2016, operations=41.61241944314588, operationsPerMinute=10.40310486078647
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:49:01 BST 2016, end=Sun Jun 19 01:51:01 BST 2016, operations=122.48316861828539, operationsPerMinute=61.241584309142695, mode=normal, start=Sun Jun 19 01:51:15 BST 2016, end=Sun Jun 19 01:55:15 BST 2016, operations=243.13729160310834, operationsPerMinute=60.784322900777084
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:55:26 BST 2016, end=Sun Jun 19 01:57:26 BST 2016, operations=63.1798574694355, operationsPerMinute=31.58992873471775, mode=normal, start=Sun Jun 19 01:57:42 BST 2016, end=Sun Jun 19 02:01:42 BST 2016, operations=126.42033369740454, operationsPerMinute=31.605083424351136
